relative_path	sha256	bytes	ir_version	opsets	inputs	outputs	node_count	initializer_count	initializer_payload_sha256	initializer_dtypes	qdq_count	qlinear_count	vendor_split_tensor_count	status	provenance_status
int8_rt204_forensics/manual_ort/manual_e2e_rep_conv_matmul_qdq.onnx	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	3072462	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x300x6	1069	1024	4bba7450058b8bff9330f291bd1ee922ba4eab27397ebf04e59f3f0d2b673ad8	FLOAT:410,INT32:204,INT8:204,UINT8:206	616	0	6	already-quantized-not-static-ptq-input	existing-read-only-project-evidence;external-publication-not-authorized
int8_rt204_forensics/manual_ort/manual_e2e_rep_conv_only_qdq.onnx	535947b2ea4d03aa33af2a0f18759405bad9aaa6994bb729b23e715545f4cc8f	3063675	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x300x6	1045	1000	de2082f35faf54866f11397fa61c8596681f1bec850d36e5b9492cd567ed5abb	FLOAT:398,INT32:204,INT8:204,UINT8:194	592	0	6	already-quantized-not-static-ptq-input	existing-read-only-project-evidence;external-publication-not-authorized
int8_rt204_forensics/manual_ort/manual_e2e_small_conv_matmul_qdq.onnx	e11f63609f6112d4faad9e573af24b2d63f5f7135221d5c730d7bd745521d77d	3072464	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x300x6	1069	1024	eb1d6b14d76f173891be2abbdb91859da9d6c6488257db48980f6821da49e325	FLOAT:410,INT32:204,INT8:204,UINT8:206	616	0	6	already-quantized-not-static-ptq-input	existing-read-only-project-evidence;external-publication-not-authorized
int8_rt204_forensics/manual_ort/manual_trad_rep_conv_matmul_qdq.onnx	c612fcbf5ce453198f75109d1907825a6d995a846bc0b5952f1b451323b14ca8	3044993	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x84x8400	1021	1024	d8d03463d70ade2b876be5f615aa917e965bda8389eb60a8b0092c11817f25fd	FLOAT:410,INT32:204,INT8:204,UINT8:206	616	0	0	already-quantized-not-static-ptq-input	existing-read-only-project-evidence;external-publication-not-authorized
int8_rt204_forensics/manual_ort/manual_trad_rep_conv_only_qdq.onnx	8ee866e0b0612ce8bf0d3fa18feea3fda06a7b73b0b3305238a929c54483e0af	3036206	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x84x8400	997	1000	e6441b35fcfee7be7b2356654431c3c3b705cfcbd97e44ac70d878c609b6f68e	FLOAT:398,INT32:204,INT8:204,UINT8:194	592	0	0	already-quantized-not-static-ptq-input	existing-read-only-project-evidence;external-publication-not-authorized
int8_rt204_forensics/traditional_rep_default/traditional_rep_default.onnx	4ea9ef008ed1e9672b80545a588603dff8693928c240ec1e1864935a5cbd298c	3049726	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x84x8400	1381	1290	dd2259711036090b46a6e483bfcd821ad502d5c4cf40fdada02591964c815b1f	FLOAT:543,INT32:204,INT8:543	976	0	0	already-quantized-not-static-ptq-input	existing-read-only-project-evidence;external-publication-not-authorized
int8_rt204_forensics/traditional_small_default/traditional_small_default.onnx	d8241d69de6b727c3702a8514a679992997faf04b48d21329467a57a8b3682c9	3049690	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x84x8400	1381	1290	41df981eaa033e184b308675a9fd9a61dc99975dd9778a9ce2909080a2186707	FLOAT:543,INT32:204,INT8:543	976	0	0	already-quantized-not-static-ptq-input	existing-read-only-project-evidence;external-publication-not-authorized
qdq_rt204_minimization/e2e_qdq_rep_conv_matmul_per_tensor.onnx	5e37aa2dd7a1a63345b2842d5f565189c47d877d25b0071c6102de8b7d6133b7	2955480	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x300x6	1069	1024	a6f4ba7ac819da0e2298e9ccc9cfbdef4952762a64b5cca32080b87e9d73a858	FLOAT:410,INT32:204,INT8:204,UINT8:206	616	0	6	already-quantized-not-static-ptq-input	existing-read-only-project-evidence;external-publication-not-authorized
qdq_rt204_minimization/e2e_qdq_rep_conv_matmul_reduce_range.onnx	0be83b4e2115046b4e61b4c885a26b7c60dc6ce1362bae0581ed85b5dab52ccd	3072462	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x300x6	1069	1024	f64c4b891863a4269c5773ac4a4444945e744af08e6ea861e904bce8ea822a8c	FLOAT:410,INT32:204,INT8:204,UINT8:206	616	0	6	already-quantized-not-static-ptq-input	existing-read-only-project-evidence;external-publication-not-authorized
qdq_rt204_minimization/e2e_qdq_rep_matmul_only.onnx	3e51b6ab5f91b6ec182098200e1756ce889a03d4cd9b93b847cfbedbcdad92fc	9933689	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x300x6	477	228	05ff7a4b862e768187f0a470659929f4871ef7c263485c7b2ba2b939c04910f0	FLOAT:216,UINT8:12	24	0	6	already-quantized-not-static-ptq-input	existing-read-only-project-evidence;external-publication-not-authorized
qdq_rt204_minimization/e2e_qdq_tiny_exclude_first_8_conv.onnx	e704a251d2f53e4657d44faeafc22ba3cc5207800efd783bb8b19a8134b6f6e8	3210956	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x300x6	1021	960	212c71bcb7b26badacb1a17160374d1933c3bf65739c6128d9b25d35afc2e807	FLOAT:394,INT32:188,INT8:188,UINT8:190	568	0	6	already-quantized-not-static-ptq-input	existing-read-only-project-evidence;external-publication-not-authorized
qdq_rt204_minimization/e2e_qdq_tiny_exclude_first_conv.onnx	e5c3685cb0e4bda60683325c947353da09740d7f68ef66ccf009eb6613e12242	3072007	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x300x6	1063	1016	454fd5a5e885c08ff9269ac0db2a2df5cf477a74f193470a4d63591721091454	FLOAT:408,INT32:202,INT8:202,UINT8:204	610	0	6	already-quantized-not-static-ptq-input	existing-read-only-project-evidence;external-publication-not-authorized
qdq_rt204_minimization/e2e_qoperator_rep_conv_matmul.onnx	aa657776ad24dae00834e8f457d6fb648934f2a97534979bf82ed33aef1f6f81	2897315	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x300x6	659	820	eead7f813b50aaff1fcdbfc0ef85f052cde8e70864ce3bf0e4ef682f7a1c9a39	FLOAT:308,INT32:102,INT8:204,UINT8:206	206	106	6	already-quantized-not-static-ptq-input	existing-read-only-project-evidence;external-publication-not-authorized
qdq_rt204_minimization/trad_qdq_rep_conv_only_per_tensor.onnx	da217cd95d6fb4b857f9f63e2324b4a718a02c18165f7ebf4798ba5f2faed89c	2919228	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x84x8400	997	1000	cbcc37ee182399b4dde96a6597f24a4230eb76d502ff633c350826441437f7a7	FLOAT:398,INT32:204,INT8:204,UINT8:194	592	0	0	already-quantized-not-static-ptq-input	existing-read-only-project-evidence;external-publication-not-authorized
qdq_rt204_minimization/trad_qdq_rep_matmul_only.onnx	da8d112ee98a253b382a6778e6fba0a41cb58c2a5f72da716249e261c76b98df	9919282	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x84x8400	429	228	1baefde5bd20ea12a0dd6ded5756dfc1aa026e7c7a1a3a5b70f01636da6359c7	FLOAT:216,UINT8:12	24	0	0	already-quantized-not-static-ptq-input	existing-read-only-project-evidence;external-publication-not-authorized
qdq_rt204_minimization/trad_qoperator_rep_conv_matmul.onnx	a56147084e0fbdbedf9516734c02ebf958808b83d33bba072f92ee230c65288f	2874358	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x84x8400	611	820	79e57f0575e0877c41aff475c8fa337876c735698d642cf94118b9c77545d36d	FLOAT:308,INT32:102,INT8:204,UINT8:206	206	106	0	already-quantized-not-static-ptq-input	existing-read-only-project-evidence;external-publication-not-authorized
xslim_gate/dynamic/e2e_xslim_dynq.onnx	ae220ace468dcae3555a4f60fa051ae2ea2d560780bd3f2dd959d4670225cb3c	2778792	9	ai.onnx:24	images:FLOAT:1x3x640x640	output0:FLOAT:1x300x6	486	338	575810011c786b85fda90d7fbd42e245974c5c1865530cd6bb46807e3adb735f	FLOAT:209,INT64:19,INT8:110	102	0	6	already-quantized-not-static-ptq-input	existing-read-only-project-evidence;external-publication-not-authorized
xslim_gate/dynamic/traditional_xslim_dynq.onnx	fda140f340acc0ee1ee5517ca63e80410497f5e80e760f890b83642d4c7822ef	2769670	9	ai.onnx:24	images:FLOAT:1x3x640x640	output0:FLOAT:1x84x8400	470	333	3415b95e7a9f4e3806449ebf53435a1a49723d880f8e2b23f0715f7de3ac08eb	FLOAT:210,INT64:13,INT8:110	102	0	0	already-quantized-not-static-ptq-input	existing-read-only-project-evidence;external-publication-not-authorized
yolo26n.onnx	794b0a9e88a440ac09649ba1a328022243d63681dd79018338ba7796df33d2e7	9757728	8	ai.onnx:18	images:FLOAT:1x3x320x320	output0:FLOAT:1x84x2100	402	204	5f0e5bbfbaeea2f2394ec8e89e5d8634afa84ff6546f687f6c64e749edb2d6c5	FLOAT:204	0	0	0	split-tensor-contract-missing	existing-read-only-project-evidence;external-publication-not-authorized
