source	surface	tensor	shape	dtype	sha256	nonfinite_count	minimum	maximum	mean	stddev	score_ge_0_25
bus_r640_nchw_f32_results	cpu	output0	1x300x6	float32	aa478c51923dd12eac04b16f0c5058fad85d626e136375cbbbb3e5a0a5eb1647	0	-0.500255585	561.483948	188.095749	169.954041	5
bus_r640_nchw_f32_results	spacemit	output0	1x300x6	float32	d316d7717a7a707130312522d8dd9a5f93f6a5944deb6500ac5965f53b05c9fe	0	-1.0972023	561.483948	186.802292	168.513657	5
images_F0_f32_results	cpu	output0	1x300x6	float32	044cae1b4300d6c4ba08287145872df14dd8cc874b6e55bd0c6987dfd532dfec	0	-4.20022583	662.589722	213.243652	266.292206	1
images_F0_f32_results	spacemit	output0	1x300x6	float32	ff5ccadf84b7e6625b794f0a94b180d5e12f8032bdcad87bce898bdc47f92e7c	0	-8.04725647	644.458862	209.523438	266.659119	1
zidane_r640_nchw_f32_results	cpu	output0	1x300x6	float32	f28ad7c78ffe046ef972ba386a2b0a420d81b046225b63b3dddb933781cc945e	0	-0.500255585	640.306885	259.072662	201.793152	2
zidane_r640_nchw_f32_results	spacemit	output0	1x300x6	float32	a89c5a37d691635177f4cdb2bfacff75c72da761c821a011443025252deb0232	0	-0.693638802	639.90332	256.942322	203.92601	2
R211_VENDOR_LITERAL_SPLIT_run1b_board_smoke_results	cpu	output0	1x300x6	float32	fc008b4aeae57aa06d442211d89df0ec345adb1ab2d9e4715a8b23f02e71b491	0	-5.84799194	650.585449	203.342438	265.120483	1
R211_VENDOR_LITERAL_SPLIT_run1b_board_smoke_results	spacemit	output0	1x300x6	float32	9cb9199b9fb04e702f6290a346ef52b35fd5ebc535a1b829ac493c638bbf2301	0	-4.66801453	648.346863	205.004944	265.015503	0
R211_VENDOR_LITERAL_SPLIT_run1b_bus_results	cpu	output0	1x300x6	float32	116cc4c0df4bb2868a48c660e151d5cf9570a0a0d7eedc06cdb21ee4de7cbaee	0	-0.095448494	561.579163	185.031601	166.380341	5
R211_VENDOR_LITERAL_SPLIT_run1b_bus_results	spacemit	output0	1x300x6	float32	6c1ec40a5eef871c290f1279d41a80850f7fd3f1dc561e8cf24a4edbb9cc8bf9	0	-0.286346436	802.429443	188.868912	168.591385	5
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_results	cpu	output0	1x300x6	float32	f13a4da2b8b1b7cedd87d4c88c580703148284b68ef2e20575ed94065efd32c2	0	-0.279457569	640.286377	261.774414	203.078156	2
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_results	spacemit	output0	1x300x6	float32	69bfd64a00e1ea96d4b2cb873f7ab54d54442edad399dfe077088b8a14102147	0	-0.904993057	640.286377	258.091278	199.419189	3
