candidate	image_index	image	surface	score_min	score_max	score_mean	positive_score_count	score_over_0_25_count	unique_class_count	collapsed
R211_PROJECT_EXACT_SPLIT_run1	8	000000001503.jpg	candidate-tail-on-fp32-boundaries	0.00025260448455810547	0.936506986618042	0.013494542799890041	300	4	39	0
R211_PROJECT_EXACT_SPLIT_run1	8	000000001503.jpg	split-s8	0.00020635128021240234	0.6054585576057434	0.009038569405674934	300	4	39	0
R211_PROJECT_EXACT_SPLIT_run1	9	000000001532.jpg	source-fp32	0.0015269219875335693	0.8679360151290894	0.026363324373960495	300	9	8	0
R211_PROJECT_EXACT_SPLIT_run1	9	000000001532.jpg	split-fp32	0.0015269219875335693	0.8679360151290894	0.026363324373960495	300	9	8	0
R211_PROJECT_EXACT_SPLIT_run1	9	000000001532.jpg	candidate-tail-on-fp32-boundaries	0.0015269219875335693	0.8679360151290894	0.026363324373960495	300	9	8	0
R211_PROJECT_EXACT_SPLIT_run1	9	000000001532.jpg	split-s8	0.001587510108947754	0.6054585576057434	0.020666010677814484	300	5	7	0
R211_PROJECT_EXACT_SPLIT_run1	10	000000001584.jpg	source-fp32	0.00090065598487854	0.9561581611633301	0.020545225590467453	300	6	17	0
R211_PROJECT_EXACT_SPLIT_run1	10	000000001584.jpg	split-fp32	0.00090065598487854	0.9561581611633301	0.020545225590467453	300	6	17	0
R211_PROJECT_EXACT_SPLIT_run1	10	000000001584.jpg	candidate-tail-on-fp32-boundaries	0.00090065598487854	0.9561581611633301	0.020545225590467453	300	6	17	0
R211_PROJECT_EXACT_SPLIT_run1	10	000000001584.jpg	split-s8	0.0008842349052429199	0.6054585576057434	0.016383729875087738	300	5	17	0
R211_PROJECT_EXACT_SPLIT_run1	11	000000001675.jpg	source-fp32	0.000248640775680542	0.9031744003295898	0.00773735623806715	300	2	25	0
R211_PROJECT_EXACT_SPLIT_run1	11	000000001675.jpg	split-fp32	0.000248640775680542	0.9031744003295898	0.00773735623806715	300	2	25	0
R211_PROJECT_EXACT_SPLIT_run1	11	000000001675.jpg	candidate-tail-on-fp32-boundaries	0.000248640775680542	0.9031744003295898	0.00773735623806715	300	2	25	0
R211_PROJECT_EXACT_SPLIT_run1	11	000000001675.jpg	split-s8	0.0004487037658691406	0.6054585576057434	0.010243113152682781	300	4	31	0
R211_PROJECT_EXACT_SPLIT_run1	12	000000001761.jpg	source-fp32	0.00027626752853393555	0.9227302074432373	0.007897257804870605	300	2	18	0
R211_PROJECT_EXACT_SPLIT_run1	12	000000001761.jpg	split-fp32	0.00027626752853393555	0.9227302074432373	0.007897257804870605	300	2	18	0
R211_PROJECT_EXACT_SPLIT_run1	12	000000001761.jpg	candidate-tail-on-fp32-boundaries	0.00027626752853393555	0.9227302074432373	0.007897257804870605	300	2	18	0
R211_PROJECT_EXACT_SPLIT_run1	12	000000001761.jpg	split-s8	0.0002741813659667969	0.5	0.005206461530178785	300	2	15	0
R211_PROJECT_EXACT_SPLIT_run1	13	000000001818.jpg	source-fp32	2.9325485229492188e-05	0.6456921696662903	0.00721346540376544	300	4	38	0
R211_PROJECT_EXACT_SPLIT_run1	13	000000001818.jpg	split-fp32	2.9325485229492188e-05	0.6456921696662903	0.00721346540376544	300	4	38	0
R211_PROJECT_EXACT_SPLIT_run1	13	000000001818.jpg	candidate-tail-on-fp32-boundaries	2.9325485229492188e-05	0.6456921696662903	0.00721346540376544	300	4	38	0
R211_PROJECT_EXACT_SPLIT_run1	13	000000001818.jpg	split-s8	5.269050598144531e-05	0.6054585576057434	0.008782031014561653	300	3	32	0
R211_PROJECT_EXACT_SPLIT_run1	14	000000001993.jpg	source-fp32	0.0004133880138397217	0.9039047360420227	0.01164842490106821	300	3	27	0
R211_PROJECT_EXACT_SPLIT_run1	14	000000001993.jpg	split-fp32	0.0004133880138397217	0.9039047360420227	0.01164842490106821	300	3	27	0
R211_PROJECT_EXACT_SPLIT_run1	14	000000001993.jpg	candidate-tail-on-fp32-boundaries	0.0004133880138397217	0.9039047360420227	0.01164842490106821	300	3	27	0
R211_PROJECT_EXACT_SPLIT_run1	14	000000001993.jpg	split-s8	0.0003781318664550781	0.6054585576057434	0.009426882490515709	300	4	25	0
R211_PROJECT_EXACT_SPLIT_run1	15	000000002006.jpg	source-fp32	0.0007161796092987061	0.9291515350341797	0.01339052990078926	300	3	16	0
R211_PROJECT_EXACT_SPLIT_run1	15	000000002006.jpg	split-fp32	0.0007161796092987061	0.9291515350341797	0.01339052990078926	300	3	16	0
R211_PROJECT_EXACT_SPLIT_run1	15	000000002006.jpg	candidate-tail-on-fp32-boundaries	0.0007161796092987061	0.9291515350341797	0.01339052990078926	300	3	16	0
R211_PROJECT_EXACT_SPLIT_run1	15	000000002006.jpg	split-s8	0.0008842349052429199	0.6054585576057434	0.01113456767052412	300	3	12	0
R211_PROJECT_EXACT_SPLIT_run1	16	000000002149.jpg	source-fp32	0.00017645955085754395	0.6641854047775269	0.014124398119747639	300	5	24	0
R211_PROJECT_EXACT_SPLIT_run1	16	000000002149.jpg	split-fp32	0.00017645955085754395	0.6641854047775269	0.014124398119747639	300	5	24	0
