role	path	sha256	bytes	node_count	input_names	output_names	qdq_count	qlinear_count
source-merged	/data/banana-yolo26-spacemit-demo/.deps/models/yolo26/fp32_fp16_xslim_effect_matrix/yolo26n_640_e2e_fp32.onnx	d71286588abe691ede49faa5ca9a471b7e9e5257669953ee59abbc2e9d115fc2	9894717	453	images	output0	0	0
quantized-inference	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/fp32-split/yolo26n_640_e2e_fp32.inference.onnx	72eb6136b41104753c53b8e13aeff50e7961c4cefba79e50b70894cbd169f8d8	9740610	364	images	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0,/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0,/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0,/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0,/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0,/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	0	0
float-postprocess-tail	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/fp32-split/yolo26n_640_e2e_fp32.postprocess.onnx	cd27158a5b393331305329f51d6194747dc7757b30c34453b61c123bb9568691	184163	89	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0,/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0,/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0,/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0,/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0,/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	output0	0	0
