surface	metric	profiling	samples	mean_us	stddev_us	cv_pct	median_us	p95_us	p99_us	p999_us	min_us	max_us	unique_output_hashes	output_hashes
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-matched500	tail	enabled	500	14855.441358	697.667151	4.696374	14690.905500	15698.535300	18307.698340	20698.643334	14537.778000	22326.548000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-matched500	two_stage_total	enabled	500	124213.312794	6707.534257	5.400012	122468.726500	130702.184000	162601.657520	165461.295411	120849.115000	166822.024000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-stability1000	inference	enabled	1000	106950.413864	1619.863600	1.514593	106477.934500	110267.223400	114840.482640	117530.828126	105112.187000	117629.855000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-stability1000	tail	enabled	1000	14739.024085	237.658893	1.612447	14699.091500	14972.023150	15904.522110	16837.688879	14492.067000	17053.352000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-stability1000	two_stage_total	enabled	1000	121689.437949	1687.406221	1.386650	121203.032000	124997.956250	130516.512440	132842.752088	119818.343000	133532.150000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/wrapper-default-smoke-cpu	inference	disabled	10	3013090.583600	2793.274467	0.092705	3013231.625500	3016752.555900	3016873.990380	3016901.313138	3008013.507000	3016904.349000	1	0x4db75efe897deb6a
R211_PROJECT_EXACT_SPLIT_run1/performance/wrapper-default-smoke-cpu	tail	disabled	10	14574.412100	113.870099	0.781301	14555.901500	14738.260750	14760.553750	14765.569675	14425.352000	14766.127000	1	0x4db75efe897deb6a
R211_PROJECT_EXACT_SPLIT_run1/performance/wrapper-default-smoke-cpu	two_stage_total	disabled	10	3027664.995700	2853.672679	0.094253	3027827.365000	3031389.062050	3031472.542810	3031491.325981	3022473.686000	3031493.413000	1	0x4db75efe897deb6a
R211_PROJECT_EXACT_SPLIT_run1/performance/wrapper-default-smoke-spacemit	inference	disabled	10	98705.009100	203.241942	0.205908	98731.921500	98925.829250	98931.407450	98932.662545	98232.315000	98932.802000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/wrapper-default-smoke-spacemit	tail	disabled	10	14671.559900	128.219492	0.873932	14627.037000	14899.398350	14913.768470	14917.001747	14506.095000	14917.361000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/wrapper-default-smoke-spacemit	two_stage_total	disabled	10	113376.569000	187.229057	0.165139	113425.735500	113606.545500	113615.498700	113617.513170	113116.640000	113617.737000	1	0x198e555969cee70e
