surface	kind	sha256	bytes	status
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/bus-spacemit	frequency_before	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/cpu-session-smoke	frequency_after	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/cpu-session-smoke	frequency_before	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-session-smoke	frequency_after	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-session-smoke	frequency_before	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-soak10000	frequency_after	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-soak10000	frequency_before	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000	frequency_after	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000	frequency_before	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000-hash	frequency_after	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
