lane	python	python_version	pip_version	xslim_version	xslim_path	numpy	torch	torch_cuda	onnx	onnxruntime	onnxslim	protobuf	opencv	pip_check
XSLIM_RELEASE_211	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/venvs/venv_release_211/bin/python	3.12.3	26.0.1	2.1.1	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/venvs/venv_release_211/lib/python3.12/site-packages/xslim/__init__.py	2.4.2	2.10.0+cpu	none	1.21.0	1.24.3	0.1.87	6.33.5	4.13.0	pass
XSLIM_VENDOR_REF_9A33	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/venvs/venv_vendor_ref_9a33/bin/python	3.12.3	26.0.1	2.1.2	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/venvs/venv_vendor_ref_9a33/lib/python3.12/site-packages/xslim/__init__.py	2.4.2	2.10.0+cpu	none	1.21.0	1.24.3	0.1.87	6.33.5	4.13.0	pass
