lane	model	model_sha256	returncode	elapsed_seconds	output_exists	output_sha256	checker	checker_error	host_semantic	max_abs_difference	classification	log
XSLIM_RELEASE_211	conv_reducemax_two_input_opset18.onnx	9ecc0cf608d2083a423bc9e9af0232355a8f72773a11c8247139ef15dc2925b6	1	11.241251	0	NA	not-run	NA	not-run	nan	still-broken-reducemax-two-input	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/reducemax/XSLIM_RELEASE_211/conv_reducemax_two_input_opset18/xslim.log
XSLIM_RELEASE_211	reducemax_attr_opset13.onnx	094c0b0e6275d3b2a6f809e0e465e4432e0bd10a6f4a83353db5cd9025e11cd6	1	10.878719	0	NA	not-run	NA	not-run	nan	still-broken-reducemax-two-input	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/reducemax/XSLIM_RELEASE_211/reducemax_attr_opset13/xslim.log
XSLIM_RELEASE_211	reducemax_two_input_opset18.onnx	ce66d2686448dc444dbbe6892f8fc624efd878122e095159a9736a0f2c66dcb3	1	10.801239	0	NA	not-run	NA	not-run	nan	still-broken-reducemax-two-input	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/reducemax/XSLIM_RELEASE_211/reducemax_two_input_opset18/xslim.log
XSLIM_VENDOR_REF_9A33	conv_reducemax_two_input_opset18.onnx	9ecc0cf608d2083a423bc9e9af0232355a8f72773a11c8247139ef15dc2925b6	0	32.000522	1	92232ad0ee945d93a26deb8dc2c97cc6a32840d08c24b1c902f69a3102d4c077	pass	NA	pass	0.014914602041244507	fixed	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/reducemax/XSLIM_VENDOR_REF_9A33/conv_reducemax_two_input_opset18/xslim.log
XSLIM_VENDOR_REF_9A33	reducemax_attr_opset13.onnx	094c0b0e6275d3b2a6f809e0e465e4432e0bd10a6f4a83353db5cd9025e11cd6	0	12.723886	1	15228ecf49c3c578a91bc1279e5093a4b0665de6925e26921903c464fcb9045c	pass	NA	pass	0.0	fixed	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/reducemax/XSLIM_VENDOR_REF_9A33/reducemax_attr_opset13/xslim.log
XSLIM_VENDOR_REF_9A33	reducemax_two_input_opset18.onnx	ce66d2686448dc444dbbe6892f8fc624efd878122e095159a9736a0f2c66dcb3	0	12.420635	1	aaa3c578f727cd3c16469249f76aedea45d04a66fbef8b7bac064fde155f26fd	pass	NA	pass	0.0	fixed	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/reducemax/XSLIM_VENDOR_REF_9A33/reducemax_two_input_opset18/xslim.log
