boundary_index	tensor_name	branch_kind	shape	dtype	quantized_inference_output	float_tail_input
0	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	bbox	1x4x80x80	float32	yes	yes
1	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	confidence	1x80x80x80	float32	yes	yes
2	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	bbox	1x4x40x40	float32	yes	yes
3	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	confidence	1x80x40x40	float32	yes	yes
4	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	bbox	1x4x20x20	float32	yes	yes
5	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	confidence	1x80x20x20	float32	yes	yes
