configuration	config_sha256	output_prefix	calibration_step	calibration_batch_size	calibration_type	preprocess_file	mean_value	std_value	truncate_tensor_count	precision_level	finetune_level	analysis_enable
R211_DIRECT_E2E	1ebe28064b6d0768e9f160dea3ecc18588f0efb3e18c2423d03f1c0aa6a67668	r211_direct_e2e	50	1	default	/data/worktrees/banana-yolo26-xslim211-s8-qdq-validation/vendor_ort_validation/stage64_preprocess.py:preprocess_impl	[0.0, 0.0, 0.0]	[1.0, 1.0, 1.0]	0	0	1	True
R211_PROJECT_EXACT_SPLIT	b528ac8d14d516cfd247660efa432a2716a2c8b1eb8544cdedba87e5dab9f8c9	r211_project_exact_split	50	1	default	/data/worktrees/banana-yolo26-xslim211-s8-qdq-validation/vendor_ort_validation/stage64_preprocess.py:preprocess_impl	[0.0, 0.0, 0.0]	[1.0, 1.0, 1.0]	6	0	1	True
R211_VENDOR_LITERAL_SPLIT	029c2e9b27d20e280448baa45c29ad2cd63870c0d2e79dd068d56c03098ec5e6	r211_vendor_literal_split	50	1	default	NA	[0.0, 0.0, 0.0]	[255.0, 255.0, 255.0]	6	0	1	True
V9A33_DIRECT_E2E	6bc025d1d2bf02232c99751af624f761f26ad1c0d82c19d83e14162970121d60	v9a33_direct_e2e	50	1	default	/data/worktrees/banana-yolo26-xslim211-s8-qdq-validation/vendor_ort_validation/stage64_preprocess.py:preprocess_impl	[0.0, 0.0, 0.0]	[1.0, 1.0, 1.0]	0	0	1	True
V9A33_PROJECT_EXACT_SPLIT	cf40a26692993a10ed0e3622918ef2643322f050f17fa965ea223be6987a041b	v9a33_project_exact_split	50	1	default	/data/worktrees/banana-yolo26-xslim211-s8-qdq-validation/vendor_ort_validation/stage64_preprocess.py:preprocess_impl	[0.0, 0.0, 0.0]	[1.0, 1.0, 1.0]	6	0	1	True
V9A33_VENDOR_LITERAL_SPLIT	98f849aea67e9d08633e349670ed1b43544cf3d74ed3a9e7dc9356c4e5450cc4	v9a33_vendor_literal_split	50	1	default	NA	[0.0, 0.0, 0.0]	[255.0, 255.0, 255.0]	6	0	1	True
