candidate	image_index	image	surface	shape	dtype	sha256	non_finite_count	minimum	maximum	mean	stddev	zero_count	nonzero_count	negative_count	positive_count	inference_ms	tail_ms	total_ms
R211_PROJECT_EXACT_SPLIT_run1	0	000000000139.jpg	source-fp32	1x300x6	float32	f4476cfd0705696bc7b6afeab36dca3aa0b1930992f37f22b31c5a5c469fa843	0	0.0	640.42626953125	257.2550964355469	179.82455444335938	12	1788	0	1788	nan	nan	nan
R211_PROJECT_EXACT_SPLIT_run1	0	000000000139.jpg	split-fp32	1x300x6	float32	f4476cfd0705696bc7b6afeab36dca3aa0b1930992f37f22b31c5a5c469fa843	0	0.0	640.42626953125	257.2550964355469	179.82455444335938	12	1788	0	1788	233.500996	29.540437	263.041433
R211_PROJECT_EXACT_SPLIT_run1	0	000000000139.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	f4476cfd0705696bc7b6afeab36dca3aa0b1930992f37f22b31c5a5c469fa843	0	0.0	640.42626953125	257.2550964355469	179.82455444335938	12	1788	0	1788	nan	6.774909	nan
R211_PROJECT_EXACT_SPLIT_run1	0	000000000139.jpg	split-s8	1x300x6	float32	35929e8f9d148ef5752a1bf3c80ef3779f42d470b8b29e3a43ca59a8dc91b925	0	0.0	640.306884765625	258.4783935546875	181.54635620117188	17	1783	0	1783	343.880236	23.188129	367.06836500000003
R211_PROJECT_EXACT_SPLIT_run1	1	000000000632.jpg	source-fp32	1x300x6	float32	00db4145b814ccb0a003be19e2861226c7441548f32c5015308f02f355ea2dd1	0	0.006760507822036743	639.9242553710938	266.1696472167969	192.9752197265625	0	1800	0	1800	nan	nan	nan
R211_PROJECT_EXACT_SPLIT_run1	1	000000000632.jpg	split-fp32	1x300x6	float32	00db4145b814ccb0a003be19e2861226c7441548f32c5015308f02f355ea2dd1	0	0.006760507822036743	639.9242553710938	266.1696472167969	192.9752197265625	0	1800	0	1800	220.237779	5.529908	225.767687
R211_PROJECT_EXACT_SPLIT_run1	1	000000000632.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	00db4145b814ccb0a003be19e2861226c7441548f32c5015308f02f355ea2dd1	0	0.006760507822036743	639.9242553710938	266.1696472167969	192.9752197265625	0	1800	0	1800	nan	3.918206	nan
R211_PROJECT_EXACT_SPLIT_run1	1	000000000632.jpg	split-s8	1x300x6	float32	65e0238f1bb2bd36fa9cb163d5d17a55011ab5c217303d96f2518dc1d5baa1e5	0	0.005736261606216431	639.1129760742188	263.64581298828125	192.0377960205078	0	1800	0	1800	437.281154	4.083605	441.364759
R211_PROJECT_EXACT_SPLIT_run1	2	000000000724.jpg	source-fp32	1x300x6	float32	99007d46394ca0a4448ebb157d7d965aff6e32775d8c015e093dae92105bc046	0	0.0	639.6116333007812	233.6514129638672	186.19566345214844	19	1781	0	1781	nan	nan	nan
R211_PROJECT_EXACT_SPLIT_run1	2	000000000724.jpg	split-fp32	1x300x6	float32	99007d46394ca0a4448ebb157d7d965aff6e32775d8c015e093dae92105bc046	0	0.0	639.6116333007812	233.6514129638672	186.19566345214844	19	1781	0	1781	199.350953	4.183605	203.534558
