runner_header_ep_version	runtime_ep_version	exit_code	output_sha256	execution_result	mismatch_contract
2.0.4	2.0.5	0	afc6013424b46b5aaaf991562841d790910e8a56c3f8caf06a2b091bffb685b9	exact-positive-control	reported-not-rejected
2.0.5	2.0.6	0	afc6013424b46b5aaaf991562841d790910e8a56c3f8caf06a2b091bffb685b9	exact-positive-control	reported-not-rejected
2.0.6	2.0.5	0	afc6013424b46b5aaaf991562841d790910e8a56c3f8caf06a2b091bffb685b9	exact-positive-control	reported-not-rejected
