candidate	model	index	node_name	op_type	classification	axis	scale_name	scale_shape	scale_min	scale_max
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	0	PPQ_Operation_698	QuantizeLinear	activation	NA	PPQ_Variable_610	scalar	0.003890811000019312	0.003890811000019312
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	1	PPQ_Operation_700	DequantizeLinear	weight	0	PPQ_Variable_616	16	0.0319632887840271	0.1851126253604889
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	2	PPQ_Operation_707	DequantizeLinear	weight	0	PPQ_Variable_637	32	0.0023143370635807514	0.013225710019469261
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	3	PPQ_Operation_714	DequantizeLinear	weight	0	PPQ_Variable_658	32	0.0021017782855778933	0.011224571615457535
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	4	PPQ_Operation_725	DequantizeLinear	weight	0	PPQ_Variable_691	8	0.0003474143159110099	0.001163169858045876
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	5	PPQ_Operation_732	DequantizeLinear	weight	0	PPQ_Variable_712	16	0.0761580541729927	0.23390048742294312
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	6	PPQ_Operation_743	DequantizeLinear	weight	0	PPQ_Variable_745	64	0.0011690715327858925	0.011136352084577084
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	7	PPQ_Operation_750	DequantizeLinear	weight	0	PPQ_Variable_766	64	0.0003673433093354106	0.0020795785821974277
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	8	PPQ_Operation_757	DequantizeLinear	weight	0	PPQ_Variable_787	64	0.00128812319599092	0.012525711208581924
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	9	PPQ_Operation_768	DequantizeLinear	weight	0	PPQ_Variable_820	16	0.0016756957629695535	0.006655756384134293
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	10	PPQ_Operation_775	DequantizeLinear	weight	0	PPQ_Variable_841	32	0.0025774945970624685	0.008143119513988495
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	11	PPQ_Operation_786	DequantizeLinear	weight	0	PPQ_Variable_874	128	0.0020462556276470423	0.009622002951800823
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	12	PPQ_Operation_793	DequantizeLinear	weight	0	PPQ_Variable_895	128	0.0009886265033856034	0.014081521891057491
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	13	PPQ_Operation_800	DequantizeLinear	weight	0	PPQ_Variable_916	128	0.0018930337391793728	0.01054936833679676
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	14	PPQ_Operation_811	DequantizeLinear	weight	0	PPQ_Variable_949	32	0.001387902768328786	0.005853165406733751
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	15	PPQ_Operation_814	DequantizeLinear	weight	0	PPQ_Variable_958	32	0.003950822167098522	0.027264388278126717
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	16	PPQ_Operation_825	DequantizeLinear	weight	0	PPQ_Variable_991	32	0.0026498762890696526	0.01264932844787836
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	17	PPQ_Operation_832	DequantizeLinear	weight	0	PPQ_Variable_1012	32	0.001492599374614656	0.007284419611096382
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	18	PPQ_Operation_841	DequantizeLinear	weight	0	PPQ_Variable_1039	32	0.0015532888937741518	0.006922717206180096
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	19	PPQ_Operation_848	DequantizeLinear	weight	0	PPQ_Variable_1060	32	0.0026004964020103216	0.010142615996301174
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	20	PPQ_Operation_859	DequantizeLinear	weight	0	PPQ_Variable_1093	64	0.001783988089300692	0.007445824798196554
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	21	PPQ_Operation_868	DequantizeLinear	weight	0	PPQ_Variable_1120	128	0.0012353727361187339	0.006749350111931562
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	22	PPQ_Operation_875	DequantizeLinear	weight	0	PPQ_Variable_1141	256	0.0008100937702693045	0.00918089970946312
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	23	PPQ_Operation_882	DequantizeLinear	weight	0	PPQ_Variable_1162	256	0.00153597432654351	0.014099660329520702
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	24	PPQ_Operation_893	DequantizeLinear	weight	0	PPQ_Variable_1195	64	0.0011272314004600048	0.006619206629693508
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	25	PPQ_Operation_896	DequantizeLinear	weight	0	PPQ_Variable_1204	64	0.004452035296708345	0.015917621552944183
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	26	PPQ_Operation_907	DequantizeLinear	weight	0	PPQ_Variable_1237	64	0.0022726047318428755	0.014955218881368637
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	27	PPQ_Operation_914	DequantizeLinear	weight	0	PPQ_Variable_1258	64	0.0011815684847533703	0.009580017067492008
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	28	PPQ_Operation_923	DequantizeLinear	weight	0	PPQ_Variable_1285	64	0.0004955253680236638	0.0038755477871745825
