surface	metric	samples	mean_us	stddev_us	cv_pct	median_us	p95_us	p99_us	p999_us	min_us	max_us	unique_output_hashes	output_hashes
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-cpu	inference	1	3240966.579000	0.000000	0.000000	3240966.579000	3240966.579000	3240966.579000	3240966.579000	3240966.579000	3240966.579000	1	0xfea943c4edb82e04
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-cpu	tail	1	19075.202000	0.000000	0.000000	19075.202000	19075.202000	19075.202000	19075.202000	19075.202000	19075.202000	1	0xfea943c4edb82e04
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-cpu	two_stage_total	1	3260041.781000	0.000000	0.000000	3260041.781000	3260041.781000	3260041.781000	3260041.781000	3260041.781000	3260041.781000	1	0xfea943c4edb82e04
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-spacemit	inference	1	117307.079000	0.000000	0.000000	117307.079000	117307.079000	117307.079000	117307.079000	117307.079000	117307.079000	1	0xe92f5d99f20ea11f
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-spacemit	tail	1	18323.359000	0.000000	0.000000	18323.359000	18323.359000	18323.359000	18323.359000	18323.359000	18323.359000	1	0xe92f5d99f20ea11f
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-spacemit	two_stage_total	1	135630.438000	0.000000	0.000000	135630.438000	135630.438000	135630.438000	135630.438000	135630.438000	135630.438000	1	0xe92f5d99f20ea11f
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-cpu	inference	1	3241585.472000	0.000000	0.000000	3241585.472000	3241585.472000	3241585.472000	3241585.472000	3241585.472000	3241585.472000	1	0x4db75efe897deb6a
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-cpu	tail	1	18773.574000	0.000000	0.000000	18773.574000	18773.574000	18773.574000	18773.574000	18773.574000	18773.574000	1	0x4db75efe897deb6a
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-cpu	two_stage_total	1	3260359.046000	0.000000	0.000000	3260359.046000	3260359.046000	3260359.046000	3260359.046000	3260359.046000	3260359.046000	1	0x4db75efe897deb6a
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-spacemit	inference	1	122513.064000	0.000000	0.000000	122513.064000	122513.064000	122513.064000	122513.064000	122513.064000	122513.064000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-spacemit	tail	1	17970.187000	0.000000	0.000000	17970.187000	17970.187000	17970.187000	17970.187000	17970.187000	17970.187000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-spacemit	two_stage_total	1	140483.251000	0.000000	0.000000	140483.251000	140483.251000	140483.251000	140483.251000	140483.251000	140483.251000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-cpu	inference	1	3239983.933000	0.000000	0.000000	3239983.933000	3239983.933000	3239983.933000	3239983.933000	3239983.933000	3239983.933000	1	0xa26502ea46499c8a
R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-cpu	tail	1	18806.532000	0.000000	0.000000	18806.532000	18806.532000	18806.532000	18806.532000	18806.532000	18806.532000	1	0xa26502ea46499c8a
R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-cpu	two_stage_total	1	3258790.465000	0.000000	0.000000	3258790.465000	3258790.465000	3258790.465000	3258790.465000	3258790.465000	3258790.465000	1	0xa26502ea46499c8a
R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-spacemit	inference	1	108276.796000	0.000000	0.000000	108276.796000	108276.796000	108276.796000	108276.796000	108276.796000	108276.796000	1	0xbb36a7bd47fe2cb5
R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-spacemit	tail	1	18433.402000	0.000000	0.000000	18433.402000	18433.402000	18433.402000	18433.402000	18433.402000	18433.402000	1	0xbb36a7bd47fe2cb5
R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-spacemit	two_stage_total	1	126710.198000	0.000000	0.000000	126710.198000	126710.198000	126710.198000	126710.198000	126710.198000	126710.198000	1	0xbb36a7bd47fe2cb5
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-matched500	inference	500	109357.871436	6131.816180	5.607110	107776.466000	115596.895650	144298.042560	147270.391336	106112.919000	148966.660000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-matched500	tail	500	14855.441358	697.667151	4.696374	14690.905500	15698.535300	18307.698340	20698.643334	14537.778000	22326.548000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-matched500	two_stage_total	500	124213.312794	6707.534257	5.400012	122468.726500	130702.184000	162601.657520	165461.295411	120849.115000	166822.024000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-stability1000	inference	1000	106950.413864	1619.863600	1.514593	106477.934500	110267.223400	114840.482640	117530.828126	105112.187000	117629.855000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-stability1000	tail	1000	14739.024085	237.658893	1.612447	14699.091500	14972.023150	15904.522110	16837.688879	14492.067000	17053.352000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-stability1000	two_stage_total	1000	121689.437949	1687.406221	1.386650	121203.032000	124997.956250	130516.512440	132842.752088	119818.343000	133532.150000	1	0x198e555969cee70e
R211_VENDOR_LITERAL_SPLIT_run1b/bus-cpu	inference	1	3231698.498000	0.000000	0.000000	3231698.498000	3231698.498000	3231698.498000	3231698.498000	3231698.498000	3231698.498000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/bus-cpu	tail	1	18923.937000	0.000000	0.000000	18923.937000	18923.937000	18923.937000	18923.937000	18923.937000	18923.937000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/bus-cpu	two_stage_total	1	3250622.435000	0.000000	0.000000	3250622.435000	3250622.435000	3250622.435000	3250622.435000	3250622.435000	3250622.435000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/bus-spacemit	inference	1	108156.807000	0.000000	0.000000	108156.807000	108156.807000	108156.807000	108156.807000	108156.807000	108156.807000	1	NA
