candidate	model	tensor	present	producer_name	producer_op	consumer_count
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1	PPQ_Operation_1241	DequantizeLinear	1
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1	PPQ_Operation_1281	DequantizeLinear	1
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1	PPQ_Operation_1373	DequantizeLinear	1
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1	PPQ_Operation_1406	DequantizeLinear	1
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1	PPQ_Operation_1492	DequantizeLinear	1
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1	PPQ_Operation_1509	DequantizeLinear	1
R211_VENDOR_LITERAL_SPLIT_run1b	r211_vendor_literal_split	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1	PPQ_Operation_1241	DequantizeLinear	1
R211_VENDOR_LITERAL_SPLIT_run1b	r211_vendor_literal_split	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1	PPQ_Operation_1281	DequantizeLinear	1
R211_VENDOR_LITERAL_SPLIT_run1b	r211_vendor_literal_split	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1	PPQ_Operation_1373	DequantizeLinear	1
R211_VENDOR_LITERAL_SPLIT_run1b	r211_vendor_literal_split	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1	PPQ_Operation_1406	DequantizeLinear	1
R211_VENDOR_LITERAL_SPLIT_run1b	r211_vendor_literal_split	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1	PPQ_Operation_1492	DequantizeLinear	1
R211_VENDOR_LITERAL_SPLIT_run1b	r211_vendor_literal_split	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1	PPQ_Operation_1509	DequantizeLinear	1
V9A33_PROJECT_EXACT_SPLIT_run1	v9a33_project_exact_split	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1	PPQ_Operation_1241	DequantizeLinear	1
V9A33_PROJECT_EXACT_SPLIT_run1	v9a33_project_exact_split	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1	PPQ_Operation_1281	DequantizeLinear	1
V9A33_PROJECT_EXACT_SPLIT_run1	v9a33_project_exact_split	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1	PPQ_Operation_1373	DequantizeLinear	1
V9A33_PROJECT_EXACT_SPLIT_run1	v9a33_project_exact_split	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1	PPQ_Operation_1406	DequantizeLinear	1
V9A33_PROJECT_EXACT_SPLIT_run1	v9a33_project_exact_split	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1	PPQ_Operation_1492	DequantizeLinear	1
V9A33_PROJECT_EXACT_SPLIT_run1	v9a33_project_exact_split	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1	PPQ_Operation_1509	DequantizeLinear	1
V9A33_VENDOR_LITERAL_SPLIT_run1	v9a33_vendor_literal_split	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1	PPQ_Operation_1241	DequantizeLinear	1
V9A33_VENDOR_LITERAL_SPLIT_run1	v9a33_vendor_literal_split	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1	PPQ_Operation_1281	DequantizeLinear	1
V9A33_VENDOR_LITERAL_SPLIT_run1	v9a33_vendor_literal_split	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1	PPQ_Operation_1373	DequantizeLinear	1
V9A33_VENDOR_LITERAL_SPLIT_run1	v9a33_vendor_literal_split	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1	PPQ_Operation_1406	DequantizeLinear	1
V9A33_VENDOR_LITERAL_SPLIT_run1	v9a33_vendor_literal_split	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1	PPQ_Operation_1492	DequantizeLinear	1
V9A33_VENDOR_LITERAL_SPLIT_run1	v9a33_vendor_literal_split	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1	PPQ_Operation_1509	DequantizeLinear	1
