case_id	signal	pc	nearest_symbol	instruction	disposition	gdb_sha256
c4_u8_conv_pc_explicit	SIGABRT	0x3ff62f3b14	__pthread_kill_implementation+236	mv a5,a0	explicit vendor unsupported-format exception terminated via abort; no illegal instruction	76ba52669d3b4402eebaabacd468aa5e825bc262e16942b8449e7bf18d945263
m3_u8_matmul	SIGABRT	0x3ff62f3b14	__pthread_kill_implementation+236	mv a5,a0	explicit vendor unsupported-format exception terminated via abort; no illegal instruction	3bf7513e6678c1a9aad22a6bf3561bfa1e9bf445ad3759c56036ec5af566d4fc
