case_id	test_id	provider	cpus	exit_code	signal	timed_out	classification	error_summary	log
c4_u8_conv_pc_explicit__spacemit__negative-once	c4_u8_conv_pc_explicit	spacemit	0	134	6	0	unsupported-abort	what():  operator compile failed at node (_token_2)[Conv], spine graph SpaceMITExecutionProvider_SpineSubgraph_7275293883509990629_1_0 error message: feature dtype u8 and weight dtype s8 not implemented for conv 2d quantize.	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/logs/c4_u8_conv_pc_explicit__spacemit__negative-once.log
m3_u8_matmul__spacemit__negative-once	m3_u8_matmul	spacemit	0	134	6	0	unsupported-abort	what():  operator compile failed at node ()[MatMul], spine graph SpaceMITExecutionProvider_SpineSubgraph_16543531749046972414_1_0 error message: feature dtype u8 not implemented for quantize.	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/logs/m3_u8_matmul__spacemit__negative-once.log
