runner	provider_runtime	ort_library_sha256	spacemit_ep_sha256	opencv_prefix	loaded_library_mixing	relocation_status	status
stage64_two_stage_runner	ORT-2.0.6	93bb75601d9eceb5aca192fa70c0c3e18b94a70b9f57acdc9b34c2ff426e09e3	dcc9503031bca22cf2b33a692f7b4c01d0fbb4a24c34f6e60c7faaddb78274ae	not-used	no	all-resolved	pass
stage64_two_stage_coco	ORT-2.0.6	93bb75601d9eceb5aca192fa70c0c3e18b94a70b9f57acdc9b34c2ff426e09e3	dcc9503031bca22cf2b33a692f7b4c01d0fbb4a24c34f6e60c7faaddb78274ae	accepted-OpenCV-4.13	no	all-resolved	pass
stage64_single_model_runner	ORT-2.0.6	93bb75601d9eceb5aca192fa70c0c3e18b94a70b9f57acdc9b34c2ff426e09e3	dcc9503031bca22cf2b33a692f7b4c01d0fbb4a24c34f6e60c7faaddb78274ae	not-used	no	all-resolved	pass
