ref	expected	local	github	gitlab	status	captured_utc
research_content_head	b6a5975ae3375ddf30f2e48822a49b49c7de6fa5	b6a5975ae3375ddf30f2e48822a49b49c7de6fa5	b6a5975ae3375ddf30f2e48822a49b49c7de6fa5	b6a5975ae3375ddf30f2e48822a49b49c7de6fa5	pass	2026-07-30T16:58:01Z
protected_main	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass	2026-07-30T16:58:01Z
stage63_research_head	94b86a6bf011cc83fefaf2a960191e97a8daf728	94b86a6bf011cc83fefaf2a960191e97a8daf728	94b86a6bf011cc83fefaf2a960191e97a8daf728	94b86a6bf011cc83fefaf2a960191e97a8daf728	pass	2026-07-30T16:58:01Z
stable_tag_peeled	d0e3611c8d99dfade049bd261cb557509222a456	d0e3611c8d99dfade049bd261cb557509222a456	d0e3611c8d99dfade049bd261cb557509222a456	d0e3611c8d99dfade049bd261cb557509222a456	pass	2026-07-30T16:58:01Z
integrated_tag_peeled	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass	2026-07-30T16:58:01Z
