source	surface	tensor	shape	dtype	sha256	nonfinite_count	minimum	maximum	mean	stddev	score_ge_0_25
R211_VENDOR_LITERAL_SPLIT_run1b_bus_results	spacemit	boundary-0	1x4x80x80	float32	8beb55dbb48cd3137a2b49291dbb9250e4397720956e218562144a5483a50a5e	0	-0.735531747	7.35531759	2.00575018	1.16135788	NA
R211_VENDOR_LITERAL_SPLIT_run1b_bus_results	spacemit	boundary-1	1x80x80x80	float32	909b02315621b721787daa30285720ef4cf0534fbcc1b02b30a7df0572890652	0	-28.4668179	-2.57673788	-18.7235088	2.33448148	NA
R211_VENDOR_LITERAL_SPLIT_run1b_bus_results	spacemit	boundary-2	1x4x40x40	float32	954480986734ebbddfaadedaf1aad7da8c1d734c5466791d653c6d4573942b8f	0	0.202386215	11.2324352	3.07748771	1.80891943	NA
R211_VENDOR_LITERAL_SPLIT_run1b_bus_results	spacemit	boundary-3	1x80x40x40	float32	b42d85b0041aa4b69fc0feb89115687a91ba55ed35a12550ee94c7ea6328a594	0	-69.1103821	0	-19.3690891	4.01770496	NA
R211_VENDOR_LITERAL_SPLIT_run1b_bus_results	spacemit	boundary-4	1x4x20x20	float32	198c52a0a58574c5daf04532a29a7d77f35973cbf248db08837ea7f707f4f2d4	0	0	11.612793	3.86995459	2.38306904	NA
R211_VENDOR_LITERAL_SPLIT_run1b_bus_results	spacemit	boundary-5	1x80x20x20	float32	f897aed5fd58a5cafa7bf12e74f7d1c663b06ad5f7511f97195f77c5156fc6ac	0	-70.3745728	0	-18.2304573	5.81661129	NA
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_results	cpu	output0	1x300x6	float32	f13a4da2b8b1b7cedd87d4c88c580703148284b68ef2e20575ed94065efd32c2	0	-0.279457569	640.286377	261.774414	203.078156	2
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_results	cpu	boundary-0	1x4x80x80	float32	9483201454f2a3c8f48c31108f9a77ed41bee75ad5e5987b7edd1af8bb6e411c	0	-0.334332615	7.08785152	2.57082057	1.15733731	NA
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_results	cpu	boundary-1	1x80x80x80	float32	5bab5ecc886a2c1daceed15976c65a534cff96b158808e5edc717d3408025926	0	-28.8349228	-1.96322882	-19.5793457	2.08905482	NA
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_results	cpu	boundary-2	1x4x40x40	float32	0e8e0d8013cfd4f3328849dc3d710fe7a6214b8ee2c8ec58835bec2acc7ce7b1	0	0.0505965538	11.3336277	3.41388392	1.60966647	NA
