surface	component	provider	create_us	scope_note	measurement	limitation
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-cpu	inference_session	CPUExecutionProvider	1226414.142000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-spacemit	inference_session	SpaceMITExecutionProvider	1809449.539000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-cpu	inference_session	CPUExecutionProvider	1223742.893000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-spacemit	inference_session	SpaceMITExecutionProvider	1815820.845000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-cpu	inference_session	CPUExecutionProvider	1241635.219000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-spacemit	inference_session	SpaceMITExecutionProvider	1823572.869000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_PROJECT_EXACT_SPLIT_run1/performance/cpu-matched500	inference_session	CPUExecutionProvider	1233381.174000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-matched500	inference_session	SpaceMITExecutionProvider	1833159.294000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-stability1000	inference_session	SpaceMITExecutionProvider	1809729.458000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_PROJECT_EXACT_SPLIT_run1/performance/wrapper-default-smoke-cpu	inference_session	CPUExecutionProvider	1234409.231000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_PROJECT_EXACT_SPLIT_run1/performance/wrapper-default-smoke-spacemit	inference_session	SpaceMITExecutionProvider	1800711.246000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_PROJECT_EXACT_SPLIT_run1/performance/wrapper-profile-optin-spacemit	inference_session	SpaceMITExecutionProvider	1818894.725000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_VENDOR_LITERAL_SPLIT_run1b/bus-cpu	inference_session	CPUExecutionProvider	1264804.460000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_VENDOR_LITERAL_SPLIT_run1b/bus-spacemit	inference_session	SpaceMITExecutionProvider	1877832.767000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_VENDOR_LITERAL_SPLIT_run1b/cpu-session-smoke	inference_session	CPUExecutionProvider	1265192.988000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-session-smoke	inference_session	SpaceMITExecutionProvider	1868870.172000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-soak10000	inference_session	SpaceMITExecutionProvider	1832509.909000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000	inference_session	SpaceMITExecutionProvider	1875928.344000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000-hash	inference_session	SpaceMITExecutionProvider	1818964.679000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-1	inference_session	CPUExecutionProvider	1215705.826000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-2	inference_session	CPUExecutionProvider	1229209.489000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-4	inference_session	CPUExecutionProvider	1230666.788000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_VENDOR_LITERAL_SPLIT_run1b/zidane-cpu	inference_session	CPUExecutionProvider	1266880.456000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
R211_VENDOR_LITERAL_SPLIT_run1b/zidane-spacemit	inference_session	SpaceMITExecutionProvider	1852471.569000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
performance/R211_PROJECT_EXACT_SPLIT_run1/spacemit-soak10000	inference_session	SpaceMITExecutionProvider	1843225.672000	includes model load, graph transforms, and provider compilation	session-create-inclusive	ORT does not expose provider compile as a separate timer
