case_id	test_id	provider	cpus	suffix	exit_code	signal	timed_out	session_created	exact	output_sha256	oracle_sha256	spacemit_kernel_events	cpu_kernel_events	spacemit_unique_nodes	cpu_unique_nodes	classification	error_summary	log	profile_json
c3_s8_conv_pc_no_kernel__spacemit__primary	c3_s8_conv_pc_no_kernel	spacemit	0-3	primary	0	0	0	1	1	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	0	12	0	3	placement-not-proven		/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/logs/c3_s8_conv_pc_no_kernel__spacemit__primary.log	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/c3_s8_conv_pc_no_kernel__spacemit__primary/ort-profile_2026-07-30_09-55-53.json
c5_s8_conv_pt_explicit__spacemit__primary	c5_s8_conv_pt_explicit	spacemit	0-3	primary	0	0	0	1	1	95bfc33d1954f88b97b5b14d55238e2e234e689863a09ec13f28c58b4eeb8c76	95bfc33d1954f88b97b5b14d55238e2e234e689863a09ec13f28c58b4eeb8c76	2	0	1	0	exact-spacemit-assigned		/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/logs/c5_s8_conv_pt_explicit__spacemit__primary.log	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/c5_s8_conv_pt_explicit__spacemit__primary/ort-profile_2026-07-30_09-55-53.json
m1_s8_matmul__spacemit__primary	m1_s8_matmul	spacemit	0-3	primary	0	0	0	1	1	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	2	0	1	0	exact-spacemit-assigned		/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/logs/m1_s8_matmul__spacemit__primary.log	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/m1_s8_matmul__spacemit__primary/ort-profile_2026-07-30_09-55-53.json
m2_s8_matmul_nonzero_zp__spacemit__primary	m2_s8_matmul_nonzero_zp	spacemit	0-3	primary	0	0	0	1	1	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	2	0	1	0	exact-spacemit-assigned		/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/logs/m2_s8_matmul_nonzero_zp__spacemit__primary.log	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/m2_s8_matmul_nonzero_zp__spacemit__primary/ort-profile_2026-07-30_09-55-53.json
c4_u8_conv_pc_explicit__spacemit__negative-once	c4_u8_conv_pc_explicit	spacemit	0	negative-once	134	6	0	0	0		98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	0	0	0	0	unsupported-abort	what():  operator compile failed at node (_token_2)[Conv], spine graph SpaceMITExecutionProvider_SpineSubgraph_7275293883509990629_1_0 error message: feature dtype u8 and weight dtype s8 not implemented for conv 2d quantize.	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/logs/c4_u8_conv_pc_explicit__spacemit__negative-once.log	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/c4_u8_conv_pc_explicit__spacemit__negative-once/ort-profile_2026-07-30_09-55-54.json
m3_u8_matmul__spacemit__negative-once	m3_u8_matmul	spacemit	0	negative-once	134	6	0	0	0		655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	0	0	0	0	unsupported-abort	what():  operator compile failed at node ()[MatMul], spine graph SpaceMITExecutionProvider_SpineSubgraph_16543531749046972414_1_0 error message: feature dtype u8 not implemented for quantize.	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/logs/m3_u8_matmul__spacemit__negative-once.log	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/m3_u8_matmul__spacemit__negative-once/ort-profile_2026-07-30_09-55-56.json
c1_s8_conv_pc_explicit__spacemit__affinity-0	c1_s8_conv_pc_explicit	spacemit	0	affinity-0	0	0	0	1	1	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	2	0	1	0	exact-spacemit-assigned		/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/logs/c1_s8_conv_pc_explicit__spacemit__affinity-0.log	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/c1_s8_conv_pc_explicit__spacemit__affinity-0/ort-profile_2026-07-30_09-55-58.json
c1_s8_conv_pc_explicit__spacemit__affinity-0_3	c1_s8_conv_pc_explicit	spacemit	0-3	affinity-0_3	0	0	0	1	1	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	2	0	1	0	exact-spacemit-assigned		/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/logs/c1_s8_conv_pc_explicit__spacemit__affinity-0_3.log	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/c1_s8_conv_pc_explicit__spacemit__affinity-0_3/ort-profile_2026-07-30_09-55-59.json
c1_s8_conv_pc_explicit__spacemit__affinity-4	c1_s8_conv_pc_explicit	spacemit	4	affinity-4	0	0	0	1	1	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	2	0	1	0	exact-spacemit-assigned		/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/logs/c1_s8_conv_pc_explicit__spacemit__affinity-4.log	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/c1_s8_conv_pc_explicit__spacemit__affinity-4/ort-profile_2026-07-30_09-55-59.json
c1_s8_conv_pc_explicit__spacemit__affinity-4_7	c1_s8_conv_pc_explicit	spacemit	4-7	affinity-4_7	0	0	0	1	1	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	2	0	1	0	exact-spacemit-assigned		/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/logs/c1_s8_conv_pc_explicit__spacemit__affinity-4_7.log	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/c1_s8_conv_pc_explicit__spacemit__affinity-4_7/ort-profile_2026-07-30_09-55-59.json
c1_s8_conv_pc_explicit__spacemit__affinity-0_7	c1_s8_conv_pc_explicit	spacemit	0-7	affinity-0_7	0	0	0	1	1	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	2	0	1	0	exact-spacemit-assigned		/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/logs/c1_s8_conv_pc_explicit__spacemit__affinity-0_7.log	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/c1_s8_conv_pc_explicit__spacemit__affinity-0_7/ort-profile_2026-07-30_09-56-00.json
m1_s8_matmul__spacemit__affinity-0	m1_s8_matmul	spacemit	0	affinity-0	0	0	0	1	1	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	2	0	1	0	exact-spacemit-assigned		/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/logs/m1_s8_matmul__spacemit__affinity-0.log	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/m1_s8_matmul__spacemit__affinity-0/ort-profile_2026-07-30_09-56-00.json
m1_s8_matmul__spacemit__affinity-0_3	m1_s8_matmul	spacemit	0-3	affinity-0_3	0	0	0	1	1	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	2	0	1	0	exact-spacemit-assigned		/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/logs/m1_s8_matmul__spacemit__affinity-0_3.log	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/m1_s8_matmul__spacemit__affinity-0_3/ort-profile_2026-07-30_09-56-00.json
m1_s8_matmul__spacemit__affinity-4	m1_s8_matmul	spacemit	4	affinity-4	0	0	0	1	1	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	2	0	1	0	exact-spacemit-assigned		/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/logs/m1_s8_matmul__spacemit__affinity-4.log	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/m1_s8_matmul__spacemit__affinity-4/ort-profile_2026-07-30_09-56-01.json
m1_s8_matmul__spacemit__affinity-4_7	m1_s8_matmul	spacemit	4-7	affinity-4_7	0	0	0	1	1	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	2	0	1	0	exact-spacemit-assigned		/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/logs/m1_s8_matmul__spacemit__affinity-4_7.log	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/m1_s8_matmul__spacemit__affinity-4_7/ort-profile_2026-07-30_09-56-01.json
m1_s8_matmul__spacemit__affinity-0_7	m1_s8_matmul	spacemit	0-7	affinity-0_7	0	0	0	1	1	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	2	0	1	0	exact-spacemit-assigned		/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/logs/m1_s8_matmul__spacemit__affinity-0_7.log	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/m1_s8_matmul__spacemit__affinity-0_7/ort-profile_2026-07-30_09-56-01.json
