case_id	test_id	cpus	spacemit_kernel_events	cpu_kernel_events	spacemit_unique_nodes	cpu_unique_nodes	classification	profile_json
c1_s8_conv_pc_explicit__spacemit__primary	c1_s8_conv_pc_explicit	0-3	2	0	1	0	exact-spacemit-assigned	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/c1_s8_conv_pc_explicit__spacemit__primary/ort-profile_2026-07-30_09-55-52.json
c2_s8_conv_pc_nonzero_zp__spacemit__primary	c2_s8_conv_pc_nonzero_zp	0-3	2	0	1	0	exact-spacemit-assigned	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/c2_s8_conv_pc_nonzero_zp__spacemit__primary/ort-profile_2026-07-30_09-55-52.json
c3_s8_conv_pc_no_kernel__spacemit__primary	c3_s8_conv_pc_no_kernel	0-3	0	12	0	3	placement-not-proven	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/c3_s8_conv_pc_no_kernel__spacemit__primary/ort-profile_2026-07-30_09-55-53.json
c5_s8_conv_pt_explicit__spacemit__primary	c5_s8_conv_pt_explicit	0-3	2	0	1	0	exact-spacemit-assigned	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/c5_s8_conv_pt_explicit__spacemit__primary/ort-profile_2026-07-30_09-55-53.json
m1_s8_matmul__spacemit__primary	m1_s8_matmul	0-3	2	0	1	0	exact-spacemit-assigned	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/m1_s8_matmul__spacemit__primary/ort-profile_2026-07-30_09-55-53.json
m2_s8_matmul_nonzero_zp__spacemit__primary	m2_s8_matmul_nonzero_zp	0-3	2	0	1	0	exact-spacemit-assigned	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/m2_s8_matmul_nonzero_zp__spacemit__primary/ort-profile_2026-07-30_09-55-53.json
c4_u8_conv_pc_explicit__spacemit__negative-once	c4_u8_conv_pc_explicit	0	0	0	0	0	unsupported-abort	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/c4_u8_conv_pc_explicit__spacemit__negative-once/ort-profile_2026-07-30_09-55-54.json
m3_u8_matmul__spacemit__negative-once	m3_u8_matmul	0	0	0	0	0	unsupported-abort	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/m3_u8_matmul__spacemit__negative-once/ort-profile_2026-07-30_09-55-56.json
c1_s8_conv_pc_explicit__spacemit__affinity-0	c1_s8_conv_pc_explicit	0	2	0	1	0	exact-spacemit-assigned	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/c1_s8_conv_pc_explicit__spacemit__affinity-0/ort-profile_2026-07-30_09-55-58.json
c1_s8_conv_pc_explicit__spacemit__affinity-0_3	c1_s8_conv_pc_explicit	0-3	2	0	1	0	exact-spacemit-assigned	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/board-evidence/tiny-controls/profiles/c1_s8_conv_pc_explicit__spacemit__affinity-0_3/ort-profile_2026-07-30_09-55-59.json
