surface	model	provider	fixture	output_sha256	boundary_manifest_sha256
B2_cpu_F0	B2	cpu	F0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	6130f7086ec57b391a1d313cb5864fa6ea03f12c708a1bdd096d2d923b7cb896
B2_spacemit_F0	B2	spacemit	F0	990f1bc423375d1d078a24ca849d810436576ccf1a4f6869169ab0541795f32c	e70182b7f25679722529bb2d077c7376a883f937ea13018091d728345624818d
A1_cpu_F0	A1	cpu	F0	a899436285eb428e6b0759f05cfeaf2728e00f9c32b3c38c662c9d6cd6addcbc	2ba0446da9ebb3bcef4bff335d96f92e8516b230d016c778cad2e5dffb1c5bfb
A1_spacemit_F0	A1	spacemit	F0	67d8afb11cf396adbf76eceaf95f4bb2791db2ebf7e3be6ec3444ba22b1fb5b8	7e5a314af47846dc6f25cc822314e32c2c45371c21e563486cd3d24830539268
B2_cpu_bus	B2	cpu	bus	df49a01e1758b52cc2edb3727cd1b10eae415a95c80f2a205f99a7cfe96beb63	8528988fdc2905da5f0cf4a719e261862df67cf63c6b52bd9a920da5418b4b53
B2_spacemit_bus	B2	spacemit	bus	bb7b5736de6db7edcf3eff6dfafc79e1d6eed3fe6ed33591070bd22c8f2217f7	d418ce8035ab303b994dd7eac2bf153573b9392a89a849ebbf38506d5ec62935
A1_cpu_bus	A1	cpu	bus	ad460f9ee88c12f2b08c6e9cab8106e48ec17987fa484a0a1bc9e504042da97b	344f540deaf2874eb142baa99ed1721091cd4dc75b2abbb73760c4cf94995d18
A1_spacemit_bus	A1	spacemit	bus	3d73b4719990f07a4cfa8881b7f37e2fc2213d339eb8eba23b3be00dd8f9389c	06a253961cd51799c74a7a93aa46cf9b311c77871083e8840c5f845b67f5a867
B2_cpu_zidane	B2	cpu	zidane	c5b79d60e6a1968a54be4adc83942629aed712ba68e97b30a01354c833d8ed28	a61ebed4d3b7befd9e40dd8ec002eaadfc6ef9519ccdb1be380e1331d694543e
B2_spacemit_zidane	B2	spacemit	zidane	c526c20ba65a733238985f188daaff628c722e909ad1373a6add7795be228813	15913cf2d8c95e16123bb2265dac37bfd87cac9922db379ac8f60c726ccfa37a
A1_cpu_zidane	A1	cpu	zidane	197b2e922ff2a38e67c6046102e5a7a5838a5660d9cec9f4ae56b06058b5f822	278756eb291ffc956e49970af6a979c311dc44d8dea8653dd2956f0548d8673f
A1_spacemit_zidane	A1	spacemit	zidane	2c9678b448950f715e13462142163990f8f0e32c3f99a81de151862956e6a13a	fe8026847ebf035eaea157ad67d9e6b63d153c9d87a2a4768995736569e57e6b
B2_cpu_canonical	B2	cpu	canonical	1954db9385391851bb4d5256cffe5512911f358a5b08204fa5584cb532f1644d	1508b26fdebc0a6c9a36145939cac413d70cad37a41cd1c331ada0e5403c2788
B2_spacemit_canonical	B2	spacemit	canonical	898b4a8144175083b5e46d2e173e0cea833a1bb6f4c924161f1b835f6c28893f	5362dacb8b91e6e6c7c69ebead4bb750834488b6cfc6175757901a604dd6b434
A1_cpu_canonical	A1	cpu	canonical	c9d9b1140cc9a0bd606dffad1be5551db881bdf0fd38db6d3c2365a7f07b102d	051e0c74a77014d19ed3f756dcf9dc0d29f3c4918f21bf62edf06bf6c628f0ff
A1_spacemit_canonical	A1	spacemit	canonical	feff7269302b8baa0bdb58e1e94ecf571362667c997f9ed194f3605f22737f2c	e1dac460952836ad2d666beaef6d161d86ef72b915f3fc0b0bbfbc81b78f0c62
