surface	observed	expected	status	note
local_head	3e275c6496d603d3f75f363ed00aa633ffc00408	3e275c6496d603d3f75f363ed00aa633ffc00408	pass	read-only
local_tree	acdd6d64f35c7554f2559c781c5cbe0806acac1a	acdd6d64f35c7554f2559c781c5cbe0806acac1a	pass	read-only
github_head	3e275c6496d603d3f75f363ed00aa633ffc00408	3e275c6496d603d3f75f363ed00aa633ffc00408	pass	live ls-remote
gitlab_head	3e275c6496d603d3f75f363ed00aa633ffc00408	3e275c6496d603d3f75f363ed00aa633ffc00408	pass	live ls-remote
development_version	2.1.2+riscy.2.dev1	2.1.2+riscy.2.dev1	pass	VERSION_NUMBER
release_tag_object	604507c45c8eb2ff5c548d30d981203fedc61ea3	604507c45c8eb2ff5c548d30d981203fedc61ea3	pass	unchanged
release_tag_peeled	12647b4a79fe5ec9a3973515a17cece4cb83daf4	12647b4a79fe5ec9a3973515a17cece4cb83daf4	pass	unchanged
published_wheel_sha256	635441d26458c6754627dd9595132cfd9a16d762d3ed0252f0039be668c01784	635441d26458c6754627dd9595132cfd9a16d762d3ed0252f0039be668c01784	pass	unchanged release asset
worktree_status	clean	clean	pass	no Stage65C mutation
