comparison	fixture	max_abs	mean_abs	cosine
B2_spacemit-vs-cpu	F0	636.3975677490234	139.15735557736622	0.7537128692893696
B2_spacemit-vs-cpu_boundary-0	F0	1.8206501007080078	0.2060219895275077	0.9965755161421862
B2_spacemit-vs-cpu_boundary-1	F0	2.401050567626953	0.3224486841093749	0.9997754474067174
B2_spacemit-vs-cpu_boundary-2	F0	2.012467861175537	0.19845710389083251	0.9983441717881528
B2_spacemit-vs-cpu_boundary-3	F0	13.386613845825195	1.0522692314311861	0.9971411370850267
B2_spacemit-vs-cpu_boundary-4	F0	2.948596954345703	0.17218294266611336	0.9989283934956049
B2_spacemit-vs-cpu_boundary-5	F0	12.591489791870117	1.3069637040104718	0.9953849623299136
B2_spacemit-vs-cpu	bus	491.86182022094727	102.59839640724991	0.7962139714928518
B2_spacemit-vs-cpu_boundary-0	bus	3.0560911893844604	0.1409301958384458	0.9954966633337016
B2_spacemit-vs-cpu_boundary-1	bus	4.038130760192871	0.3414290031157434	0.9997211732264901
B2_spacemit-vs-cpu_boundary-2	bus	3.715325951576233	0.13609155044017826	0.997377462784903
B2_spacemit-vs-cpu_boundary-3	bus	23.684011459350586	1.0257574350684882	0.996741950686671
B2_spacemit-vs-cpu_boundary-4	bus	2.010406494140625	0.1464665040001273	0.9984716512624572
B2_spacemit-vs-cpu_boundary-5	bus	12.997665405273438	1.1738010627478361	0.9964908295700133
B2_spacemit-vs-cpu	zidane	531.4440879821777	69.66239821496937	0.9348270105124693
B2_spacemit-vs-cpu_boundary-0	zidane	1.690603494644165	0.1689612972945906	0.9962728444713397
B2_spacemit-vs-cpu_boundary-1	zidane	4.4746856689453125	0.37530568594066427	0.9996998840650907
B2_spacemit-vs-cpu_boundary-2	zidane	4.437750339508057	0.16316634349524975	0.9974571980855512
B2_spacemit-vs-cpu_boundary-3	zidane	16.99070167541504	0.9487884251112119	0.9977171635966073
B2_spacemit-vs-cpu_boundary-4	zidane	2.881582260131836	0.1988208444789052	0.9974292219197339
B2_spacemit-vs-cpu_boundary-5	zidane	17.05944061279297	1.3111777791380883	0.9960371299827768
B2_spacemit-vs-cpu	canonical	612.0775718688965	91.39692662497362	0.8490485721658408
B2_spacemit-vs-cpu_boundary-0	canonical	1.8531615734100342	0.12962098217743914	0.9969697415809479
B2_spacemit-vs-cpu_boundary-1	canonical	7.639705657958984	0.3468720796571579	0.9997205871340927
B2_spacemit-vs-cpu_boundary-2	canonical	2.683290719985962	0.12115929446707013	0.9980301780387784
B2_spacemit-vs-cpu_boundary-3	canonical	22.139400482177734	0.9582652299040928	0.9974697381778587
B2_spacemit-vs-cpu_boundary-4	canonical	2.881582736968994	0.14156612876802682	0.9976295848617339
B2_spacemit-vs-cpu_boundary-5	canonical	25.182981491088867	1.3798597780019044	0.9942116163731713
A1_spacemit-vs-cpu	F0	636.6416816711426	137.21693702573577	0.7531123960533369
A1_spacemit-vs-cpu_boundary-0	F0	1.8265259265899658	0.20587850093885207	0.9965785961031799
A1_spacemit-vs-cpu_boundary-1	F0	2.680898666381836	0.32584104070812464	0.9997749040674514
A1_spacemit-vs-cpu_boundary-2	F0	2.032909393310547	0.19824298441410065	0.9983479165880632
A1_spacemit-vs-cpu_boundary-3	F0	13.602315902709961	1.0507525176107884	0.9971513847393688
A1_spacemit-vs-cpu_boundary-4	F0	2.9027719497680664	0.1723986005783081	0.9989198706412343
A1_spacemit-vs-cpu_boundary-5	F0	10.26382064819336	1.3011825756076723	0.9955231512950619
A1_spacemit-vs-cpu	bus	508.2407703399658	95.70321307458812	0.8144363049350225
A1_spacemit-vs-cpu_boundary-0	bus	3.022069811820984	0.14077090730439523	0.995503812370455
A1_spacemit-vs-cpu_boundary-1	bus	4.244758605957031	0.3445425452985801	0.9997168073112392
A1_spacemit-vs-cpu_boundary-2	bus	3.736157536506653	0.13667193534842226	0.9973651402123885
A1_spacemit-vs-cpu_boundary-3	bus	22.528839111328125	1.021807721791789	0.9968332391187212
A1_spacemit-vs-cpu_boundary-4	bus	2.0096116065979004	0.14653415784239768	0.9984653650708509
A1_spacemit-vs-cpu_boundary-5	bus	13.095218658447266	1.1672330692857504	0.9965178352073389
A1_spacemit-vs-cpu	zidane	617.6700630187988	64.47813185057706	0.9411903990472774
A1_spacemit-vs-cpu_boundary-0	zidane	1.6936876773834229	0.1690651878179051	0.9962703764664809
A1_spacemit-vs-cpu_boundary-1	zidane	4.356463432312012	0.3774880755990744	0.9996969083609673
A1_spacemit-vs-cpu_boundary-2	zidane	4.450423240661621	0.16314782420406118	0.9974538247406376
A1_spacemit-vs-cpu_boundary-3	zidane	17.853042602539062	0.9504719254020602	0.997727958920219
A1_spacemit-vs-cpu_boundary-4	zidane	2.828341484069824	0.19603013642132283	0.9974476257191238
A1_spacemit-vs-cpu_boundary-5	zidane	16.98839569091797	1.301558594763279	0.9960627889117905
A1_spacemit-vs-cpu	canonical	587.7808151245117	94.62605547802316	0.8470842657294672
A1_spacemit-vs-cpu_boundary-0	canonical	1.8265256881713867	0.12964051702845608	0.9969676493068526
A1_spacemit-vs-cpu_boundary-1	canonical	7.595883369445801	0.34974224332801535	0.9997181623879622
A1_spacemit-vs-cpu_boundary-2	canonical	2.6922309398651123	0.12126200088707265	0.9980288483733396
A1_spacemit-vs-cpu_boundary-3	canonical	21.253620147705078	0.9738907492067664	0.9974556342092771
A1_spacemit-vs-cpu_boundary-4	canonical	2.8283419609069824	0.14085886970162392	0.9976450642820608
A1_spacemit-vs-cpu_boundary-5	canonical	25.482589721679688	1.3600557403601705	0.9943069881710044
A1-vs-B2_cpu	F0	635.6793942451477	116.41981774335106	0.7970659398944969
A1-vs-B2_cpu	bus	468.7798156738281	92.08111781310704	0.8285598079427992
A1-vs-B2_cpu	zidane	562.4671592712402	68.96814089235332	0.9323199561137478
A1-vs-B2_cpu	canonical	613.2148685455322	104.83263360940748	0.8276805235807856
A1-vs-B2_spacemit	F0	636.8616027832031	114.11560237369603	0.7904829713913462
A1-vs-B2_spacemit	bus	506.8734664916992	98.44197235393855	0.8091069507020177
A1-vs-B2_spacemit	zidane	558.3410720825195	73.17633979136745	0.9299219573663955
A1-vs-B2_spacemit	canonical	588.7842102050781	92.7105817326241	0.8561792223633904
