arm	exit_code	exact	output_sha256	oracle_sha256	log	status	status
official_qgelu	0	1	01ee09e81fab391cfe46d3fa26fe5329d13964ec8c2a65ffbb7c76a353221e50	01ee09e81fab391cfe46d3fa26fe5329d13964ec8c2a65ffbb7c76a353221e50	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/plugin/official_qgelu.log	pass	pass
independent_u8_xor	0	1	8f04c27407f8082faf5e54b853caf7889a5fccca357e8f653799ab5a10d0d114	8f04c27407f8082faf5e54b853caf7889a5fccca357e8f653799ab5a10d0d114	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/plugin/independent_u8_xor.log	pass	pass
