surface	protocol	mode	camera_profile	recording	measured_frames	duration_s	raw_v4l2_buffer_fps	opencv_decoded_frame_fps	processed_displayed_fps	recording_fps	application_slot_replacement_pct	consumer_mean_ms	consumer_p95_ms	consumer_p99_ms	decoded_call_mean_ms	decoded_call_p95_ms	decoded_call_p99_ms	status
v4l2_quality_raw	one_180s_MMAP_probe	1280x720_MJPG_60_requested_reported	not-applicable	off	5395	180	30.001628	not-applicable	not-applicable	0	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	pass_zero_sequence_gaps_monotonic_SOE
v4l2_performance_raw	one_180s_MMAP_probe	640x480_MJPG_60_requested_reported	not-applicable	off	5395	180	30.001626	not-applicable	not-applicable	0	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	pass_zero_sequence_gaps_monotonic_SOE
matched_quality	3x180s_full_GUI	1280x720_MJPG_60_requested_reported	none	off	3229	540	30.001628	9.999262	5.976975	0	40.225839	167.189429	170.627054	176.910926	219.142928	262.564245	not-pooled	pass
matched_performance	3x180s_full_GUI	640x480_MJPG_60_requested_reported	none	off	3576	540	30.001626	14.993076	6.619983	0	55.846398	150.939745	154.097659	158.835964	184.200227	214.406446	not-pooled	pass_selected_preset
matched_performance_camera_profile	one_180s_full_GUI	640x480_MJPG_60_requested_reported	camera_CPU5_xHCI_IRQ_CPU5	off	1229	180	30.001626	14.996945	6.826387	0	54.481481	146.148333	148.736016	152.033658	179.411220	209.825572	213.441864	pass_selected_profile
matched_async_recording	one_180s_full_GUI	640x480_MJPG_60_requested_reported	none	async_MJPG_CPU6_queue2	1182	180	30.001626	15.002716	6.562994	6.522417	56.254626	152.030855	156.640612	161.352438	185.374894	215.091419	219.261282	pass_selected_recording
quality_30min	one_1830s_full_GUI	1280x720_MJPG_60_requested_reported	none	off	10945	1830.140008	30.001628	9.999235	5.980417	0	40.191257	167.092851	170.499456	176.441335	218.780725	262.519866	266.192729	pass
performance_30min	one_1830s_full_GUI	640x480_MJPG_60_requested_reported	camera_CPU5_xHCI_IRQ_CPU5	off	12478	1830.038197	30.001626	14.983294	6.818437	0	54.493071	146.540016	149.710342	154.882199	180.007208	210.390199	214.226385	pass
async_recording_30min	one_1830s_full_GUI	640x480_MJPG_60_requested_reported	camera_CPU5_xHCI_IRQ_CPU5	async_MJPG_CPU6_queue2	12292	1830.002438	30.001626	14.983587	6.716931	6.712772	55.171408	148.755668	151.967393	158.163933	182.481184	212.580363	216.636661	pass_12322_readable_frames_zero_queue_replacements_zero_failures
