soname	role
ld-linux-riscv64-lp64d.so.1	supported-board-system
libc.so.6	supported-board-system
libcairo.so.2	supported-board-system
libgcc_s.so.1	supported-board-system
libgdk-3.so.0	supported-board-system
libgdk_pixbuf-2.0.so.0	supported-board-system
libglib-2.0.so.0	supported-board-system
libgobject-2.0.so.0	supported-board-system
libgstapp-1.0.so.0	supported-board-system
libgstaudio-1.0.so.0	supported-board-system
libgstbase-1.0.so.0	supported-board-system
libgstpbutils-1.0.so.0	supported-board-system
libgstreamer-1.0.so.0	supported-board-system
libgstriff-1.0.so.0	supported-board-system
libgstvideo-1.0.so.0	supported-board-system
libgtk-3.so.0	supported-board-system
libm.so.6	supported-board-system
libstdc++.so.6	supported-board-system
