arm	samples	total_mean_us	total_median_us	total_p95_us	total_p99_us	total_max_us	total_stddev_us	total_cv_pct	pure_executor_mean_us	pure_executor_median_us	pure_executor_p95_us	pure_executor_p99_us	pure_executor_max_us	process_cpu_mean_us	voluntary_cs_mean	involuntary_cs_mean	output_hash	affinity_failures	cpu4_7_ime_count
stage57	1000	133356.369000	133127.000000	134949.350000	135336.040000	135718.000000	700.776048	0.525491	130699.600000	130698.000000	131153.200000	131409.550000	132193.000000	659008.322000	0.538000	0.647000	0xd43f5e018b415631	0	0
stage59	1000	134100.921000	133846.000000	135724.150000	136137.060000	136465.000000	742.160586	0.553434	131422.434000	131402.500000	131865.050000	132085.040000	132566.000000	663267.233000	0.459000	0.616000	0xd43f5e018b415631	0	0
