surface	mode	camera_profile	recording	measured_frames	measured_seconds	opencv_decoded_frame_fps	processed_displayed_fps	application_slot_replacement_pct	consumer_mean_ms	consumer_p95_ms	consumer_p99_ms	consumer_max_ms	decoded_call_mean_ms	decoded_call_p95_ms	decoded_call_p99_ms	decoded_call_max_ms	executor_mean_ms	executor_p95_ms	executor_p99_ms	executor_max_ms	temp_min_mC	temp_max_mC	frequency_min_khz	frequency_max_khz	status	evidence
quality_30min	1280x720_MJPG_60_requested_reported	none	off	10945	1830.140008	9.999235	5.980417	40.191257	167.092851	170.499456	176.441335	194.367927	218.780725	262.519866	266.192729	311.601708	138.768314	141.856323	148.176467	166.033312	47000	61000	1600000	1600000	pass	board camera/quality-soak
performance_30min	640x480_MJPG_60_requested_reported	camera_CPU5_xHCI_IRQ_CPU5	off	12478	1830.038197	14.983294	6.818437	54.493071	146.540016	149.710342	154.882199	175.466352	180.007208	210.390199	214.226385	239.028599	133.151421	136.124728	140.857453	156.693147	48000	62000	1600000	1600000	pass	board camera/performance-soak
async_recording_30min	640x480_MJPG_60_requested_reported	camera_CPU5_xHCI_IRQ_CPU5	async_MJPG_CPU6_queue2	12292	1830.002438	14.983587	6.716931	55.171408	148.755668	151.967393	158.163933	181.120981	182.481184	212.580363	216.636661	243.720089	134.448882	137.379023	143.049238	167.218794	52000	61000	1600000	1600000	pass_12322_recorded_zero_queue_replacements_zero_failures	board camera/async-recording-soak
