surface	samples	total_mean_us	total_median_us	total_p90_us	total_p95_us	total_p99_us	total_p99_9_us	total_max_us	pure_executor_mean_us	output_hash	status
same_session_stage57_o2_control	1000	133356.369000	133127.000000	134504.200000	134949.350000	135336.040000	135630.088000	135718.000000	130699.600000	0xd43f5e018b415631	control
final_0.9.2_o2_abba	1000	134100.921000	133846.000000	135403.000000	135724.150000	136137.060000	136458.007000	136465.000000	131422.434000	0xd43f5e018b415631	pass-within-1pct-equivalence
final_0.9.2_o2_soak	13500	133381.666593	133355.000000	133765.100000	133912.000000	134478.050000	135151.521000	135853.000000	not-separated	0xd43f5e018b415631	pass
