arm	elf_sha256	text_bytes	text_sha256	total_allocated_section_bytes	mtune_x60	funroll_loops	status
stage58_published	d10c370f623eaff428a975f4cf83018f8e2b592e5a24dd0dfa31c3118026e270	241652	e920ef38343e6c9517ceaea9bb9ce08ddc42137004519704f9bf3e9db2e1dc3b	314270	0	0	regressed
stage58_clean_accepted_flags	d745601bc060e2f0ea6ddb3aeac10bbf82ddf12e76ac0f8de5f0a948e2b1cb7c	320558	d17a5ed182d6905644b192f89c071dcd2b10cae55eb7d67a60edc4a534666c97	394694	1	1	repaired
