mode	index	buffer_index	buffer_count	sequence	kernel_timestamp_sec	kernel_timestamp_usec	kernel_timestamp_ns	timestamp_clock	timestamp_source	bytesused	flags_hex	dqbuf_return_monotonic_ns	wait_us	requeue_us	sequence_gap
1280x720-mjpg	0	0	4	0	144377	890491	144377890491000	monotonic	soe	21001	0x12001	144378106612112	219729	13	0
1280x720-mjpg	1	1	4	1	144378	106491	144378106491000	monotonic	soe	90145	0x12001	144378138592688	31891	5	0
1280x720-mjpg	2	2	4	2	144378	138494	144378138494000	monotonic	soe	91703	0x12001	144378174560940	35951	4	0
1280x720-mjpg	3	3	4	3	144378	174485	144378174485000	monotonic	soe	93463	0x12001	144378206561641	31988	3	0
1280x720-mjpg	4	0	4	4	144378	206490	144378206490000	monotonic	soe	96535	0x12001	144378238576425	31977	4	0
1280x720-mjpg	5	1	4	5	144378	238494	144378238494000	monotonic	soe	96808	0x12001	144378274553386	35964	3	0
1280x720-mjpg	6	2	4	6	144378	274486	144378274486000	monotonic	soe	100296	0x12001	144378306561462	31997	3	0
1280x720-mjpg	7	3	4	7	144378	306491	144378306491000	monotonic	soe	100857	0x12001	144378338577246	32004	3	0
1280x720-mjpg	8	0	4	8	144378	338495	144378338495000	monotonic	soe	107669	0x12001	144378374552207	35964	2	0
1280x720-mjpg	9	1	4	9	144378	374487	144378374487000	monotonic	soe	96740	0x12001	144378406565449	31956	3	0
1280x720-mjpg	10	2	4	10	144378	406493	144378406493000	monotonic	soe	99549	0x12001	144378438574067	31998	2	0
1280x720-mjpg	11	3	4	11	144378	438497	144378438497000	monotonic	soe	99809	0x12001	144378474605403	36020	5	0
1280x720-mjpg	12	0	4	12	144378	474493	144378474493000	monotonic	soe	105970	0x12001	144378506609438	31984	8	0
1280x720-mjpg	13	1	4	13	144378	506495	144378506495000	monotonic	soe	109238	0x12001	144378538595097	31960	4	0
1280x720-mjpg	14	2	4	14	144378	538499	144378538499000	monotonic	soe	111470	0x12001	144378574562890	35952	3	0
1280x720-mjpg	15	3	4	15	144378	574492	144378574492000	monotonic	soe	114920	0x12001	144378606568175	31993	3	0
1280x720-mjpg	16	0	4	16	144378	606494	144378606494000	monotonic	soe	120027	0x12001	144378638586709	32008	3	0
1280x720-mjpg	17	1	4	17	144378	638499	144378638499000	monotonic	soe	120082	0x12001	144378674557961	35959	3	0
1280x720-mjpg	18	2	4	18	144378	674492	144378674492000	monotonic	soe	129078	0x12001	144378706569746	32001	2	0
1280x720-mjpg	19	3	4	19	144378	706496	144378706496000	monotonic	soe	131562	0x12001	144378738583780	32004	2	0
1280x720-mjpg	20	0	4	20	144378	738501	144378738501000	monotonic	soe	139235	0x12001	144378774561907	35919	2	0
1280x720-mjpg	21	1	4	21	144378	774494	144378774494000	monotonic	soe	143220	0x12001	144378806573650	32001	3	0
1280x720-mjpg	22	2	4	22	144378	806499	144378806499000	monotonic	soe	151251	0x12001	144378838586559	32002	2	0
1280x720-mjpg	23	3	4	23	144378	838502	144378838502000	monotonic	soe	150665	0x12001	144378874571561	35975	3	0
1280x720-mjpg	24	0	4	24	144378	874494	144378874494000	monotonic	soe	153271	0x12001	144378906573471	31988	3	0
1280x720-mjpg	25	1	4	25	144378	906499	144378906499000	monotonic	soe	153634	0x12001	144378938596797	32012	3	0
1280x720-mjpg	26	2	4	26	144378	938504	144378938504000	monotonic	soe	153591	0x12001	144378974562966	35955	3	0
1280x720-mjpg	27	3	4	27	144378	974495	144378974495000	monotonic	soe	153532	0x12001	144379006574583	32000	2	0
1280x720-mjpg	28	0	4	28	144379	6500	144379006500000	monotonic	soe	153556	0x12001	144379038596201	32011	2	0
1280x720-mjpg	29	1	4	29	144379	38504	144379038504000	monotonic	soe	153453	0x12001	144379074564828	35959	2	0
1280x720-mjpg	30	2	4	30	144379	74497	144379074497000	monotonic	soe	153689	0x12001	144379106575029	32000	3	0
1280x720-mjpg	31	3	4	31	144379	106501	144379106501000	monotonic	soe	154084	0x12001	144379138589147	32003	2	0
1280x720-mjpg	32	0	4	32	144379	138506	144379138506000	monotonic	soe	153761	0x12001	144379174562857	35964	2	0
1280x720-mjpg	33	1	4	33	144379	174498	144379174498000	monotonic	soe	153642	0x12001	144379206576809	32004	3	0
1280x720-mjpg	34	2	4	34	144379	206503	144379206503000	monotonic	soe	154009	0x12001	144379238633760	32047	2	0
1280x720-mjpg	35	3	4	35	144379	238549	144379238549000	monotonic	soe	154105	0x12001	144379274566345	35923	2	0
1280x720-mjpg	36	0	4	36	144379	274499	144379274499000	monotonic	soe	153857	0x12001	144379306575254	31999	2	0
1280x720-mjpg	37	1	4	37	144379	306504	144379306504000	monotonic	soe	154036	0x12001	144379338677165	32092	10	0
1280x720-mjpg	38	2	4	38	144379	338549	144379338549000	monotonic	soe	153906	0x12001	144379374574874	35865	5	0
1280x720-mjpg	39	3	4	39	144379	374500	144379374500000	monotonic	soe	154134	0x12001	144379406583617	31994	3	0
1280x720-mjpg	40	0	4	40	144379	406506	144379406506000	monotonic	soe	154449	0x12001	144379438636152	32041	3	0
1280x720-mjpg	41	1	4	41	144379	438547	144379438547000	monotonic	soe	153978	0x12001	144379474570654	35922	3	0
1280x720-mjpg	42	2	4	42	144379	474501	144379474501000	monotonic	soe	153964	0x12001	144379506587438	31944	3	0
1280x720-mjpg	43	3	4	43	144379	506507	144379506507000	monotonic	soe	154446	0x12001	144379538632806	32033	2	0
1280x720-mjpg	44	0	4	44	144379	538552	144379538552000	monotonic	soe	154334	0x12001	144379574568266	35925	2	0
1280x720-mjpg	45	1	4	45	144379	574502	144379574502000	monotonic	soe	153716	0x12001	144379606580800	32002	3	0
1280x720-mjpg	46	2	4	46	144379	606508	144379606508000	monotonic	soe	154200	0x12001	144379638634044	32043	3	0
1280x720-mjpg	47	3	4	47	144379	638551	144379638551000	monotonic	soe	154116	0x12001	144379674568462	35924	2	0
1280x720-mjpg	48	0	4	48	144379	674504	144379674504000	monotonic	soe	154588	0x12001	144379706583621	32006	3	0
1280x720-mjpg	49	1	4	49	144379	706510	144379706510000	monotonic	soe	154481	0x12001	144379738639365	32045	4	0
1280x720-mjpg	50	2	4	50	144379	738554	144379738554000	monotonic	soe	154289	0x12001	144379774571199	35919	3	0
1280x720-mjpg	51	3	4	51	144379	774505	144379774505000	monotonic	soe	154392	0x12001	144379806586692	32004	3	0
1280x720-mjpg	52	0	4	52	144379	806511	144379806511000	monotonic	soe	154429	0x12001	144379838637811	32040	2	0
1280x720-mjpg	53	1	4	53	144379	838554	144379838554000	monotonic	soe	154543	0x12001	144379874573895	35925	3	0
1280x720-mjpg	54	2	4	54	144379	874507	144379874507000	monotonic	soe	154888	0x12001	144379906584138	32000	3	0
1280x720-mjpg	55	3	4	55	144379	906512	144379906512000	monotonic	soe	154448	0x12001	144379938637673	32043	3	0
1280x720-mjpg	56	0	4	56	144379	938558	144379938558000	monotonic	soe	154503	0x12001	144379974574091	35926	3	0
1280x720-mjpg	57	1	4	57	144379	974508	144379974508000	monotonic	soe	154205	0x12001	144380006593417	32009	3	0
1280x720-mjpg	58	2	4	58	144380	6516	144380006516000	monotonic	soe	154471	0x12001	144380038637994	32033	3	0
1280x720-mjpg	59	3	4	59	144380	38557	144380038557000	monotonic	soe	154081	0x12001	144380074577787	35929	2	0
1280x720-mjpg	60	0	4	60	144380	74509	144380074509000	monotonic	soe	153986	0x12001	144380106587655	32000	3	0
1280x720-mjpg	61	1	4	61	144380	106515	144380106515000	monotonic	soe	154243	0x12001	144380138669315	32071	5	0
1280x720-mjpg	62	2	4	62	144380	138562	144380138562000	monotonic	soe	154407	0x12001	144380174581816	35891	3	0
1280x720-mjpg	63	3	4	63	144380	174511	144380174511000	monotonic	soe	154315	0x12001	144380206586851	31993	3	0
1280x720-mjpg	64	0	4	64	144380	206516	144380206516000	monotonic	soe	154458	0x12001	144380238644677	32047	3	0
1280x720-mjpg	65	1	4	65	144380	238561	144380238561000	monotonic	soe	154556	0x12001	144380274576512	35922	3	0
1280x720-mjpg	66	2	4	66	144380	274511	144380274511000	monotonic	soe	154700	0x12001	144380306588005	32001	3	0
1280x720-mjpg	67	3	4	67	144380	306516	144380306516000	monotonic	soe	154505	0x12001	144380338642748	32044	2	0
1280x720-mjpg	68	0	4	68	144380	338559	144380338559000	monotonic	soe	154575	0x12001	144380374576416	35924	2	0
1280x720-mjpg	69	1	4	69	144380	374513	144380374513000	monotonic	soe	154778	0x12001	144380406589826	32004	2	0
1280x720-mjpg	70	2	4	70	144380	406520	144380406520000	monotonic	soe	154380	0x12001	144380438647194	32047	2	0
1280x720-mjpg	71	3	4	71	144380	438563	144380438563000	monotonic	soe	154600	0x12001	144380474576529	35920	2	0
1280x720-mjpg	72	0	4	72	144380	474515	144380474515000	monotonic	soe	154564	0x12001	144380506587188	32001	2	0
1280x720-mjpg	73	1	4	73	144380	506519	144380506519000	monotonic	soe	154598	0x12001	144380538648265	32051	2	0
1280x720-mjpg	74	2	4	74	144380	538561	144380538561000	monotonic	soe	154460	0x12001	144380574575933	35917	2	0
1280x720-mjpg	75	3	4	75	144380	574516	144380574516000	monotonic	soe	155012	0x12001	144380606629260	32044	10	0
1280x720-mjpg	76	0	4	76	144380	606521	144380606521000	monotonic	soe	154407	0x12001	144380638618085	31956	4	0
1280x720-mjpg	77	1	4	77	144380	638526	144380638526000	monotonic	soe	154591	0x12001	144380674584087	35953	3	0
1280x720-mjpg	78	2	4	78	144380	674518	144380674518000	monotonic	soe	154813	0x12001	144380706595997	32001	2	0
1280x720-mjpg	79	3	4	79	144380	706521	144380706521000	monotonic	soe	154736	0x12001	144380738609031	32003	2	0
1280x720-mjpg	80	0	4	80	144380	738525	144380738525000	monotonic	soe	154830	0x12001	144380774577241	35957	2	0
1280x720-mjpg	81	1	4	81	144380	774518	144380774518000	monotonic	soe	154626	0x12001	144380806595651	32009	3	0
1280x720-mjpg	82	2	4	82	144380	806522	144380806522000	monotonic	soe	154757	0x12001	144380838613352	32007	3	0
1280x720-mjpg	83	3	4	83	144380	838527	144380838527000	monotonic	soe	154700	0x12001	144380874577645	35954	2	0
1280x720-mjpg	84	0	4	84	144380	874519	144380874519000	monotonic	soe	154879	0x12001	144380906597472	32010	2	0
1280x720-mjpg	85	1	4	85	144380	906524	144380906524000	monotonic	soe	154980	0x12001	144380938618631	31945	3	0
1280x720-mjpg	86	2	4	86	144380	938529	144380938529000	monotonic	soe	154572	0x12001	144380974587133	35958	2	0
1280x720-mjpg	87	3	4	87	144380	974520	144380974520000	monotonic	soe	154904	0x12001	144381006606043	32008	3	0
1280x720-mjpg	88	0	4	88	144381	6525	144381006525000	monotonic	soe	155012	0x12001	144381038616577	31997	3	0
1280x720-mjpg	89	1	4	89	144381	38530	144381038530000	monotonic	soe	154821	0x12001	144381074585204	35958	3	0
1280x720-mjpg	90	2	4	90	144381	74522	144381074522000	monotonic	soe	154906	0x12001	144381106596697	32001	2	0
1280x720-mjpg	91	3	4	91	144381	106526	144381106526000	monotonic	soe	154681	0x12001	144381138611856	32006	2	0
1280x720-mjpg	92	0	4	92	144381	138531	144381138531000	monotonic	soe	154805	0x12001	144381174592066	35971	3	0
1280x720-mjpg	93	1	4	93	144381	174523	144381174523000	monotonic	soe	154759	0x12001	144381206603768	32000	3	0
1280x720-mjpg	94	2	4	94	144381	206528	144381206528000	monotonic	soe	154767	0x12001	144381238626802	32013	2	0
1280x720-mjpg	95	3	4	95	144381	238532	144381238532000	monotonic	soe	154970	0x12001	144381274588054	35950	2	0
1280x720-mjpg	96	0	4	96	144381	274524	144381274524000	monotonic	soe	154246	0x12001	144381306603005	32006	3	0
1280x720-mjpg	97	1	4	97	144381	306529	144381306529000	monotonic	soe	154805	0x12001	144381338618290	32005	2	0
1280x720-mjpg	98	2	4	98	144381	338535	144381338535000	monotonic	soe	154977	0x12001	144381374587833	35960	2	0
1280x720-mjpg	99	3	4	99	144381	374525	144381374525000	monotonic	soe	154861	0x12001	144381406604367	32006	2	0
1280x720-mjpg	100	0	4	100	144381	406530	144381406530000	monotonic	soe	154741	0x12001	144381438626402	32012	2	0
1280x720-mjpg	101	1	4	101	144381	438537	144381438537000	monotonic	soe	154852	0x12001	144381474584362	35948	3	0
1280x720-mjpg	102	2	4	102	144381	474527	144381474527000	monotonic	soe	154796	0x12001	144381506599147	32005	2	0
1280x720-mjpg	103	3	4	103	144381	506532	144381506532000	monotonic	soe	155066	0x12001	144381538615389	32007	2	0
1280x720-mjpg	104	0	4	104	144381	538536	144381538536000	monotonic	soe	155332	0x12001	144381574586516	35962	2	0
1280x720-mjpg	105	1	4	105	144381	574528	144381574528000	monotonic	soe	155135	0x12001	144381606602134	32006	2	0
1280x720-mjpg	106	2	4	106	144381	606533	144381606533000	monotonic	soe	155323	0x12001	144381638622377	32011	4	0
1280x720-mjpg	107	3	4	107	144381	638537	144381638537000	monotonic	soe	155210	0x12001	144381674593962	35959	2	0
1280x720-mjpg	108	0	4	108	144381	674529	144381674529000	monotonic	soe	154830	0x12001	144381706605747	32001	2	0
1280x720-mjpg	109	1	4	109	144381	706535	144381706535000	monotonic	soe	155378	0x12001	144381738623156	32007	3	0
1280x720-mjpg	110	2	4	110	144381	738539	144381738539000	monotonic	soe	155274	0x12001	144381774591533	35956	2	0
1280x720-mjpg	111	3	4	111	144381	774531	144381774531000	monotonic	soe	155543	0x12001	144381806610276	32008	3	0
1280x720-mjpg	112	0	4	112	144381	806536	144381806536000	monotonic	soe	155312	0x12001	144381838670227	32049	11	0
1280x720-mjpg	113	1	4	113	144381	838541	144381838541000	monotonic	soe	155429	0x12001	144381874601229	35895	5	0
1280x720-mjpg	114	2	4	114	144381	874533	144381874533000	monotonic	soe	154979	0x12001	144381906614680	31998	3	0
1280x720-mjpg	115	3	4	115	144381	906537	144381906537000	monotonic	soe	155678	0x12001	144381938626381	31999	3	0
1280x720-mjpg	116	0	4	116	144381	938542	144381938542000	monotonic	soe	155140	0x12001	144381974594091	35956	3	0
1280x720-mjpg	117	1	4	117	144381	974534	144381974534000	monotonic	soe	155293	0x12001	144382006613334	32009	3	0
1280x720-mjpg	118	2	4	118	144382	6537	144382006537000	monotonic	soe	155184	0x12001	144382038625910	32002	3	0
