arm	record_mode	measured_frames	opencv_decoded_frame_fps	processed_fps	displayed_fps	application_slot_replacement_pct	consumer_loop_mean_ms	consumer_loop_p95_ms	consumer_loop_p99_ms	decoded_call_mean_ms	decoded_call_p95_ms	decoded_call_p99_ms	executor_mean_ms	executor_p95_ms	executor_p99_ms	recorded_frames	recording_fps	recording_queue_replacements	recording_failures	processed_delta_vs_no_record_pct	selection
no-record-reuse	off	1185	14.995530	6.578935	6.578935	56.127360	151.655175	154.709390	160.108894	185.501941	215.324735	218.964183	138.027464	141.071118	146.882006	0	0.000000	0	0	0.000000	control
sync-record-reuse	sync	1094	14.999321	6.077503	6.077503	59.481481	164.001587	169.088339	172.723960	197.928913	227.524893	234.043048	138.070842	142.121848	145.934376	1124	6.029614	0	0	-7.621781	rejected
async-record-reuse	async	1182	15.002716	6.562994	6.562994	56.254626	152.030855	156.640612	161.352438	185.374894	215.091419	219.261282	137.880885	141.490728	146.812865	1212	6.522417	0	0	-0.242304	selected
