arm	camera_mode	capture_cpu	camera_irq	irq_effective_cpu	measured_frames	opencv_decoded_frame_fps	processed_displayed_fps	application_slot_replacement_pct	consumer_mean_ms	consumer_p95_ms	consumer_p99_nearest_ms	decoded_call_mean_ms	decoded_call_p95_ms	decoded_call_p99_nearest_ms	executor_mean_ms	processed_delta_vs_control_pct	selection
control	640x480_MJPG_60_requested	5-7	89	0	1192	15.000552	6.620014	55.868197	150.718060	154.712168	160.715639	184.267071	214.364147	217.875557	137.139189	0.000000	control
camera_cpu_irq_profile	640x480_MJPG_60_requested	5	89	5	1229	14.996945	6.826387	54.481481	146.148333	148.736016	152.033658	179.411220	209.825572	213.441864	132.733949	3.117410	selected
