arm	block	cycle	position	sample	total_us	pure_executor_us	process_cpu_us	voluntary_cs	involuntary_cs	output_hash	affinity_ok	cpu4_7_ime_count
stage58	0	16	2	34	133307	131127	659851	0	2	0xd43f5e018b415631	1	0
stage57	0	16	3	34	133157	130648	653739	0	0	0xd43f5e018b415631	1	0
stage58	0	17	0	35	134177	131537	665249	1	0	0xd43f5e018b415631	1	0
stage57	0	17	1	35	133954	130448	655452	2	0	0xd43f5e018b415631	1	0
stage57	0	17	2	36	133144	130962	662062	0	0	0xd43f5e018b415631	1	0
stage58	0	17	3	36	133541	131356	656908	0	2	0xd43f5e018b415631	1	0
stage57	0	18	0	37	132402	130192	648836	1	0	0xd43f5e018b415631	1	0
stage58	0	18	1	37	133635	131398	663570	3	0	0xd43f5e018b415631	1	0
stage58	0	18	2	38	132953	130750	655415	2	1	0xd43f5e018b415631	1	0
stage57	0	18	3	38	133215	130972	651122	0	0	0xd43f5e018b415631	1	0
stage58	0	19	0	39	133249	131063	661434	2	0	0xd43f5e018b415631	1	0
stage57	0	19	1	39	133688	130079	655870	0	0	0xd43f5e018b415631	1	0
stage57	0	19	2	40	132705	130418	663363	0	0	0xd43f5e018b415631	1	0
stage58	0	19	3	40	136014	131405	678929	1	1	0xd43f5e018b415631	1	0
stage57	0	20	0	41	132624	130469	658646	0	1	0xd43f5e018b415631	1	0
stage58	0	20	1	41	133773	131570	656445	2	1	0xd43f5e018b415631	1	0
stage58	0	20	2	42	133086	130755	663961	0	0	0xd43f5e018b415631	1	0
stage57	0	20	3	42	132604	130352	658277	0	0	0xd43f5e018b415631	1	0
stage58	0	21	0	43	134800	131145	673191	0	0	0xd43f5e018b415631	1	0
stage57	0	21	1	43	133917	130392	660267	1	0	0xd43f5e018b415631	1	0
stage57	0	21	2	44	133421	131018	667240	0	2	0xd43f5e018b415631	1	0
stage58	0	21	3	44	133791	131592	661022	1	0	0xd43f5e018b415631	1	0
stage57	0	22	0	45	133121	130667	652237	0	2	0xd43f5e018b415631	1	0
stage58	0	22	1	45	133301	130910	663099	0	1	0xd43f5e018b415631	1	0
stage58	0	22	2	46	133531	131335	657320	1	0	0xd43f5e018b415631	1	0
stage57	0	22	3	46	132720	130511	649549	0	0	0xd43f5e018b415631	1	0
stage58	0	23	0	47	133507	131250	662561	2	0	0xd43f5e018b415631	1	0
stage57	0	23	1	47	134427	130822	656594	0	1	0xd43f5e018b415631	1	0
stage57	0	23	2	48	132735	130582	660272	0	0	0xd43f5e018b415631	1	0
stage58	0	23	3	48	133683	131200	657437	0	0	0xd43f5e018b415631	1	0
stage57	0	24	0	49	133199	130761	665192	0	2	0xd43f5e018b415631	1	0
stage58	0	24	1	49	133514	131319	659987	2	0	0xd43f5e018b415631	1	0
stage58	0	24	2	50	133229	131011	652899	0	0	0xd43f5e018b415631	1	0
