fixture	optimized_exit	scalar_exit	diff_status	boundary_files
F0	0	0	exact	216
F1	0	0	exact	216
F2	0	0	exact	216
F3	0	0	exact	216
F4	0	0	exact	216
F5	0	0	exact	216
F6	0	0	exact	216
F7	0	0	exact	216
bus	0	0	exact	216
zidane	0	0	exact	216
