surface	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
stage56_compatibility_500	0	31	156344	2578.36	21858	75630.3	16199.2	17409.9	10375.9	5941.91	3332.8	2885.79	580375	1230	2	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	32	155221	2484.78	21586.8	75177.6	16247.2	17470.8	9897.93	6063.08	3346.55	2815.78	577109	1218	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	33	155645	2744.28	21837.6	75162	16206.5	17391.1	10095.5	5822.2	3342.09	2909.99	578730	1222	2	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	34	156029	2586.19	21667.8	75898.2	16283.8	17486	9791.8	5991.04	3339.22	2806.7	578921	1229	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	35	155797	2689.07	21634	75733.1	16447.2	17453.7	9676.18	5915.28	3350.59	2771.91	578393	1223	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	36	156479	2534.19	21585.6	75638.4	16373.6	17410.4	10351.7	6225.46	3373.84	2850.33	580387	1226	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	37	159172	2616.95	22067.7	78392.2	16294	17460.3	9988.6	6090.66	3386	2747.82	581281	1220	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	38	155914	2698.41	21664.3	75665.7	16447.9	17449.3	9832.35	5989.99	3335.71	2704.07	578893	1228	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	39	155777	2517.57	21698.5	75494.2	16255.8	17417.9	10075.9	6090.66	3392.71	2706.53	579317	1222	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	40	155780	2678.32	21622.7	75551.3	16370	17356.7	10125.8	5938.33	3350.25	2659.57	579085	1226	2	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	41	156394	2554.69	21910	75891	16308.4	17377.6	10138.8	5839.49	3393.34	2849.24	581328	1222	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	42	167879	2563.74	21595.3	81365.9	16242.1	17431.9	12612.7	9551.55	3480.18	2873.08	582893	1226	7	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	43	155913	2633.07	21642	75775.3	16321.6	17361.6	9933.56	5890.99	3364.51	2854.74	579516	1220	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	44	157108	2531.94	21627	76400.3	16736.6	17439.1	9983.1	5923.95	3386.46	2940.83	580483	1240	5	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	45	157084	2550.07	21745.1	75963.7	16553.2	17623.5	10311.2	5869.7	3415.97	2913.24	582438	1229	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	46	156100	2680.11	21661.2	75640.8	16268.8	17435.3	9895.14	6117.12	3370.22	2906.79	579439	1227	4	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	47	155501	2667.95	21443.3	75405.4	16261.2	17510.4	9883.01	5971.04	3329.25	2900.99	578422	1230	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	48	155621	2540.78	21606.9	75549.9	16185.8	17508.4	9839.22	6030.75	3308.59	2916.41	578509	1223	0	1	0	0xd43f5e018b415631
