index	image_id	width	height	decode_letterbox_us	executor_us	decode_output_us	detections	output_hash
0	139	640	426	30659.4	133299	76.168	299	0x95c5770d8878f858
1	285	586	640	38443.8	133811	38.667	11	0xd979bcddbcf1aa7
2	632	640	483	27206.7	133328	73.543	300	0xe945449ed6f22e88
3	724	375	500	25151.5	132927	45.459	74	0xbf25d44c8d059e83
4	776	428	640	26067.5	133380	45.209	69	0x2705458d328a3ece
5	785	640	425	23768.8	132790	42.209	61	0x4b564353bafcd65e
6	802	424	640	21041.8	132511	37.25	21	0x9bd932c97717c29b
7	872	621	640	38318.5	132884	47.167	84	0x3eb9836db8767126
8	885	640	427	23534.6	132132	67.084	231	0x82cba532f8dea5fb
9	1000	640	480	32495.8	133427	73.21	286	0xd9eaa865ccf323a
10	1268	640	427	25524.2	132958	72.46	300	0xe8ae2026fd85cb64
11	1296	427	640	24555.3	133412	51.96	142	0xefaaa24be1f8f511
12	1353	375	500	21137.3	132865	55.626	150	0x27472789c57664b0
13	1425	640	512	22751.2	132916	52.334	107	0xd9aac1b013a28b8f
14	1490	640	315	15863.8	132061	43.959	61	0x7724d40570725a75
15	1503	320	240	11082.6	133374	48.084	87	0x8c18b098a59b35e8
16	1532	640	480	27692.1	132722	72.126	295	0xa8dc13fe2effd902
17	1584	612	612	35591.9	133104	72.877	288	0x180b6f28feb830e
18	1675	640	480	24333.2	133087	48.751	92	0x8c451c65fb4ce92d
19	1761	427	640	22595.3	132939	48.835	102	0x23ed271cbf0c148f
20	1818	640	425	24180.8	132697	41.209	48	0xf2a9b1a2d01d8571
21	1993	640	419	22643.7	132661	49.96	118	0x4df8bfb3f4d64921
22	2006	640	480	27885.3	132908	66.793	241	0x8dd69485296d3a26
23	2149	640	427	20683.5	132732	53.751	137	0x4d0777df89df377e
24	2153	640	480	26805	132230	42.459	65	0x1a479a63c040fe6a
25	2157	640	427	23727.2	133327	72.877	292	0xaacc5cadd8cb2744
26	2261	640	427	26066	132438	37.667	29	0xcca883adb8afad64
27	2299	500	302	16643.8	132872	70.668	296	0x39e1f4b0ba8e0415
28	2431	457	640	25201.8	133349	65.918	223	0xe1a16cd6e4aebac3
29	2473	640	427	22282.7	132904	53.918	142	0x8a519d7da1ab3024
30	2532	480	640	28969.3	132783	45.501	79	0xb7784aae4c401911
31	2587	500	375	22091.8	132960	47.417	90	0xdf3b94810f0a818f
32	2592	640	366	20432.7	133247	41.501	34	0xacb4322622889677
33	2685	640	555	34367.9	133815	75.459	292	0x383ecda3a36da766
34	2923	500	375	21549.1	132515	70.168	275	0x6f2a34d126c27d95
35	3156	443	640	21419.9	132978	50.126	115	0x4ffdc0d3ba40d5dc
36	3255	640	363	21877.6	132638	46.668	93	0x5dfcd021fd73b60e
37	3501	612	612	35882.1	133628	42.668	63	0xe6fa6aed355447fe
38	3553	640	427	24264.1	133053	42.917	53	0xfca07dcf496d4e3
39	3661	640	384	21101.9	132772	56.251	136	0xd8a33c6cd7f6f142
40	3845	500	375	23662.9	133351	48.96	126	0xa40084886ea78a43
41	3934	375	500	22970.7	133689	74.585	300	0xba64248e2dbd9fc7
42	4134	640	425	24716.9	133588	74.168	298	0x3740619deb6919bf
43	4395	425	640	21303.2	133010	41.209	49	0x69eb3d8e8af41d0b
44	4495	500	375	22131.9	132964	40.084	31	0x511554f075e02786
45	4765	612	612	35031.2	132359	35.084	9	0xdedb3ee5787effe2
46	4795	640	480	27633	132914	54.668	125	0x9508f6ab73576892
47	5001	640	480	27760.4	133718	74.751	298	0x3f144b95912dcb6d
48	5037	640	425	25250.2	132791	72.126	300	0xeb78b85dff7d2794
49	5060	480	640	27498.7	132494	58.584	201	0x2dd582d52a143859
50	5193	640	425	22231.7	132953	72.792	300	0x971458c7e9a001ca
51	5477	640	349	20683.5	132153	46.292	85	0x480da622592fb619
