surface	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	max_us	output_hashes	cpu4_7_ime_count	process_cpu_mean_us	voluntary_cs_mean	involuntary_cs_mean
low_latency_dedicated_o2_13500	13500	135040.532889	430.726037	0.318961	134995.000000	135445.000000	135637.000000	136675.070000	138660.577000	140242.000000	0xd43f5e018b415631	0	667363.276444	0.282444	0.564148
compatibility_10000	10000	147746.662500	2083.652681	1.410287	147181.500000	149644.000000	151137.950000	157663.060000	163959.195000	181280.000000	0xd43f5e018b415631	0	545220.509600	1218.679400	1.334100
