surface	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	max_us	output_hashes	cpu4_7_ime_count	process_cpu_mean_us	voluntary_cs_mean	involuntary_cs_mean	speedup_vs_ort_pct
matched_b120_ort_500	500	463234.270786	1911.565933	0.412656	463109.082000	465470.445100	466201.426200	469321.220990	473800.842096	473991.508000		0	1852423.316244	not-recorded	not-recorded
release_low_latency_dedicated_o2_500	500	133305.232000	313.744422	0.235358	133307.500000	133667.400000	133825.050000	134031.490000	134956.415000	135413.000000	0xd43f5e018b415631	0	658802.706000	0.332000	0.558000	71.222934
