test	exit_code	restored	result
command_failure	1	yes	pass
nested_invocation	1	yes	pass
signal_term	143	yes	pass
signal_int	130	yes	pass
signal_hup	129	yes	pass
sigkill_restore_stale	137	yes	pass
invalid_package	1	yes	pass
timeout	143	yes	pass
