arm	group_event	operation_index	M	N	K	worker	worker_cpu	event	status	errno	event_id	iteration_count	raw_u64	time_enabled	time_running
control	backend_stalls	5	25600	32	32	0	0	cycles	available	0	477	10	27033337	16901292	16901292
control	backend_stalls	5	25600	32	32	0	0	backend_stalls	available	0	478	10	11023663	16901292	16901292
control	backend_stalls	5	25600	32	32	1	1	cycles	available	0	473	10	27039940	16882123	16882123
control	backend_stalls	5	25600	32	32	1	1	backend_stalls	available	0	475	10	10944028	16882123	16882123
control	backend_stalls	5	25600	32	32	2	2	cycles	available	0	474	10	26982061	16860707	16860707
control	backend_stalls	5	25600	32	32	2	2	backend_stalls	available	0	476	10	10884228	16860707	16860707
control	backend_stalls	5	25600	32	32	3	3	cycles	available	0	479	10	27003363	16857667	16857667
control	backend_stalls	5	25600	32	32	3	3	backend_stalls	available	0	480	10	10890533	16857667	16857667
control	backend_stalls	12	25600	64	48	0	0	cycles	available	0	477	10	70819637	44284749	44284749
control	backend_stalls	12	25600	64	48	0	0	backend_stalls	available	0	478	10	37980722	44284749	44284749
control	backend_stalls	12	25600	64	48	1	1	cycles	available	0	473	10	70405472	43986503	43986503
control	backend_stalls	12	25600	64	48	1	1	backend_stalls	available	0	475	10	37536092	43986503	43986503
control	backend_stalls	12	25600	64	48	2	2	cycles	available	0	474	10	70384057	44000501	44000501
control	backend_stalls	12	25600	64	48	2	2	backend_stalls	available	0	476	10	37581214	44000501	44000501
control	backend_stalls	12	25600	64	48	3	3	cycles	available	0	479	10	70452073	44022876	44022876
control	backend_stalls	12	25600	64	48	3	3	backend_stalls	available	0	480	10	37557371	44022876	44022876
control	backend_stalls	124	6400	64	96	0	0	cycles	available	0	477	10	19256805	12030583	12030583
control	backend_stalls	124	6400	64	96	0	0	backend_stalls	available	0	478	10	9991466	12030583	12030583
control	backend_stalls	124	6400	64	96	1	1	cycles	available	0	473	10	20142368	12595875	12595875
control	backend_stalls	124	6400	64	96	1	1	backend_stalls	available	0	475	10	10931622	12595875	12595875
control	backend_stalls	124	6400	64	96	2	2	cycles	available	0	474	10	19758190	12341330	12341330
control	backend_stalls	124	6400	64	96	2	2	backend_stalls	available	0	476	10	10532121	12341330	12341330
control	backend_stalls	124	6400	64	96	3	3	cycles	available	0	479	10	20736651	12986127	12986127
control	backend_stalls	124	6400	64	96	3	3	backend_stalls	available	0	480	10	11453841	12986127	12986127
control	backend_stalls	133	6400	80	64	0	0	cycles	available	0	477	10	20594467	12893832	12893832
control	backend_stalls	133	6400	80	64	0	0	backend_stalls	available	0	478	10	7743843	12893832	12893832
control	backend_stalls	133	6400	80	64	1	1	cycles	available	0	473	10	18046723	11285832	11285832
control	backend_stalls	133	6400	80	64	1	1	backend_stalls	available	0	475	10	7283093	11285832	11285832
control	backend_stalls	133	6400	80	64	2	2	cycles	available	0	474	10	17805122	11128373	11128373
control	backend_stalls	133	6400	80	64	2	2	backend_stalls	available	0	476	10	7094952	11128373	11128373
control	backend_stalls	133	6400	80	64	3	3	cycles	available	0	479	10	18201607	11376083	11376083
control	backend_stalls	133	6400	80	64	3	3	backend_stalls	available	0	480	10	7427338	11376083	11376083
control	backend_stalls	144	6400	80	80	0	0	cycles	available	0	477	10	21247002	13298416	13298416
control	backend_stalls	144	6400	80	80	0	0	backend_stalls	available	0	478	10	10241090	13298416	13298416
control	backend_stalls	144	6400	80	80	1	1	cycles	available	0	473	10	21097047	13179790	13179790
control	backend_stalls	144	6400	80	80	1	1	backend_stalls	available	0	475	10	9969963	13179790	13179790
control	backend_stalls	144	6400	80	80	2	2	cycles	available	0	474	10	20687678	12930872	12930872
control	backend_stalls	144	6400	80	80	2	2	backend_stalls	available	0	476	10	9634895	12930872	12930872
control	backend_stalls	144	6400	80	80	3	3	cycles	available	0	479	10	21348600	13344166	13344166
control	backend_stalls	144	6400	80	80	3	3	backend_stalls	available	0	480	10	10167353	13344166	13344166
control	backend_stalls	206	400	80	256	0	0	cycles	available	0	477	10	2363967	1485377	1485377
control	backend_stalls	206	400	80	256	0	0	backend_stalls	available	0	478	10	1331380	1485377	1485377
control	backend_stalls	206	400	80	256	1	1	cycles	available	0	473	10	2514917	1587539	1587539
control	backend_stalls	206	400	80	256	1	1	backend_stalls	available	0	475	10	1423443	1587539	1587539
control	backend_stalls	206	400	80	256	2	2	cycles	available	0	474	10	2358950	1478045	1478045
control	backend_stalls	206	400	80	256	2	2	backend_stalls	available	0	476	10	1314814	1478045	1478045
control	backend_stalls	206	400	80	256	3	3	cycles	available	0	479	10	2448877	1548164	1548164
control	backend_stalls	206	400	80	256	3	3	backend_stalls	available	0	480	10	1338141	1548164	1548164
control	backend_stalls	161	1600	16	1152	0	0	cycles	available	0	477	10	20195986	12620916	12620916
control	backend_stalls	161	1600	16	1152	0	0	backend_stalls	available	0	478	10	11170875	12620916	12620916
control	backend_stalls	161	1600	16	1152	1	1	cycles	available	0	473	10	20864188	13058292	13058292
control	backend_stalls	161	1600	16	1152	1	1	backend_stalls	available	0	475	10	11609510	13058292	13058292
control	backend_stalls	161	1600	16	1152	2	2	cycles	available	0	474	10	20188324	12626374	12626374
control	backend_stalls	161	1600	16	1152	2	2	backend_stalls	available	0	476	10	11265223	12626374	12626374
control	backend_stalls	161	1600	16	1152	3	3	cycles	available	0	479	10	20601920	12895165	12895165
control	backend_stalls	161	1600	16	1152	3	3	backend_stalls	available	0	480	10	11400926	12895165	12895165
control	backend_stalls	201	400	16	2304	0	0	cycles	available	0	477	10	8767239	5487541	5487541
control	backend_stalls	201	400	16	2304	0	0	backend_stalls	available	0	478	10	4178243	5487541	5487541
control	backend_stalls	201	400	16	2304	1	1	cycles	available	0	473	10	10126437	6348915	6348915
control	backend_stalls	201	400	16	2304	1	1	backend_stalls	available	0	475	10	4982842	6348915	6348915
control	backend_stalls	201	400	16	2304	2	2	cycles	available	0	474	10	8922804	5591750	5591750
control	backend_stalls	201	400	16	2304	2	2	backend_stalls	available	0	476	10	4372432	5591750	5591750
control	backend_stalls	201	400	16	2304	3	3	cycles	available	0	479	10	9718839	6091126	6091126
control	backend_stalls	201	400	16	2304	3	3	backend_stalls	available	0	480	10	4721555	6091126	6091126
control	instructions	5	25600	32	32	0	0	cycles	available	0	465	10	37112291	23256372	23256372
control	instructions	5	25600	32	32	0	0	instructions	available	0	472	10	24151674	23256372	23256372
control	instructions	5	25600	32	32	1	1	cycles	available	0	466	10	27778296	17356584	17356584
control	instructions	5	25600	32	32	1	1	instructions	available	0	470	10	22200549	17356584	17356584
control	instructions	5	25600	32	32	2	2	cycles	available	0	467	10	27827525	17401584	17401584
control	instructions	5	25600	32	32	2	2	instructions	available	0	471	10	22160838	17401584	17401584
control	instructions	5	25600	32	32	3	3	cycles	available	0	468	10	27846001	17428957	17428957
control	instructions	5	25600	32	32	3	3	instructions	available	0	469	10	22194284	17428957	17428957
control	instructions	12	25600	64	48	0	0	cycles	available	0	465	10	70851977	44296625	44296625
control	instructions	12	25600	64	48	0	0	instructions	available	0	472	10	45099267	44296625	44296625
control	instructions	12	25600	64	48	1	1	cycles	available	0	466	10	70285679	43893914	43893914
control	instructions	12	25600	64	48	1	1	instructions	available	0	470	10	45180306	43893914	43893914
control	instructions	12	25600	64	48	2	2	cycles	available	0	467	10	70426511	44000538	44000538
control	instructions	12	25600	64	48	2	2	instructions	available	0	471	10	45109498	44000538	44000538
control	instructions	12	25600	64	48	3	3	cycles	available	0	468	10	70528210	44111788	44111788
control	instructions	12	25600	64	48	3	3	instructions	available	0	469	10	45172747	44111788	44111788
control	instructions	124	6400	64	96	0	0	cycles	available	0	465	10	18826708	11772124	11772124
control	instructions	124	6400	64	96	0	0	instructions	available	0	472	10	12200431	11772124	11772124
control	instructions	124	6400	64	96	1	1	cycles	available	0	466	10	20041771	12540419	12540419
control	instructions	124	6400	64	96	1	1	instructions	available	0	470	10	12283034	12540419	12540419
control	instructions	124	6400	64	96	2	2	cycles	available	0	467	10	18952820	11847666	11847666
control	instructions	124	6400	64	96	2	2	instructions	available	0	471	10	12191802	11847666	11847666
control	instructions	124	6400	64	96	3	3	cycles	available	0	468	10	21871248	13688499	13688499
control	instructions	124	6400	64	96	3	3	instructions	available	0	469	10	12326146	13688499	13688499
control	instructions	133	6400	80	64	0	0	cycles	available	0	465	10	18204053	11402792	11402792
control	instructions	133	6400	80	64	0	0	instructions	available	0	472	10	14496372	11402792	11402792
control	instructions	133	6400	80	64	1	1	cycles	available	0	466	10	18053218	11292582	11292582
control	instructions	133	6400	80	64	1	1	instructions	available	0	470	10	14605629	11292582	11292582
control	instructions	133	6400	80	64	2	2	cycles	available	0	467	10	17861161	11153918	11153918
control	instructions	133	6400	80	64	2	2	instructions	available	0	471	10	14492888	11153918	11153918
control	instructions	133	6400	80	64	3	3	cycles	available	0	468	10	18181622	11377377	11377377
control	instructions	133	6400	80	64	3	3	instructions	available	0	469	10	14616172	11377377	11377377
control	instructions	144	6400	80	80	0	0	cycles	available	0	465	10	20724055	12967123	12967123
control	instructions	144	6400	80	80	0	0	instructions	available	0	472	10	14869143	12967123	12967123
control	instructions	144	6400	80	80	1	1	cycles	available	0	466	10	20622774	12871039	12871039
control	instructions	144	6400	80	80	1	1	instructions	available	0	470	10	14967163	12871039	12871039
control	instructions	144	6400	80	80	2	2	cycles	available	0	467	10	20902967	13071376	13071376
control	instructions	144	6400	80	80	2	2	instructions	available	0	471	10	14857040	13071376	13071376
control	instructions	144	6400	80	80	3	3	cycles	available	0	468	10	20919309	13072169	13072169
control	instructions	144	6400	80	80	3	3	instructions	available	0	469	10	14997545	13072169	13072169
control	instructions	206	400	80	256	0	0	cycles	available	0	465	10	2422927	1515166	1515166
control	instructions	206	400	80	256	0	0	instructions	available	0	472	10	1186141	1515166	1515166
control	instructions	206	400	80	256	1	1	cycles	available	0	466	10	2560047	1618582	1618582
control	instructions	206	400	80	256	1	1	instructions	available	0	470	10	1327760	1618582	1618582
control	instructions	206	400	80	256	2	2	cycles	available	0	467	10	2373359	1479043	1479043
control	instructions	206	400	80	256	2	2	instructions	available	0	471	10	1186257	1479043	1479043
control	instructions	206	400	80	256	3	3	cycles	available	0	468	10	2527701	1596626	1596626
control	instructions	206	400	80	256	3	3	instructions	available	0	469	10	1323820	1596626	1596626
control	instructions	161	1600	16	1152	0	0	cycles	available	0	465	10	20134234	12579709	12579709
control	instructions	161	1600	16	1152	0	0	instructions	available	0	472	10	12436509	12579709	12579709
control	instructions	161	1600	16	1152	1	1	cycles	available	0	466	10	20907312	13081998	13081998
control	instructions	161	1600	16	1152	1	1	instructions	available	0	470	10	12856318	13081998	13081998
control	instructions	161	1600	16	1152	2	2	cycles	available	0	467	10	20267537	12674751	12674751
control	instructions	161	1600	16	1152	2	2	instructions	available	0	471	10	12384501	12674751	12674751
control	instructions	161	1600	16	1152	3	3	cycles	available	0	468	10	20607240	12905833	12905833
control	instructions	161	1600	16	1152	3	3	instructions	available	0	469	10	12793204	12905833	12905833
control	instructions	201	400	16	2304	0	0	cycles	available	0	465	10	8870484	5544290	5544290
control	instructions	201	400	16	2304	0	0	instructions	available	0	472	10	6261029	5544290	5544290
control	instructions	201	400	16	2304	1	1	cycles	available	0	466	10	10302503	6459293	6459293
control	instructions	201	400	16	2304	1	1	instructions	available	0	470	10	7168723	6459293	6459293
control	instructions	201	400	16	2304	2	2	cycles	available	0	467	10	9106984	5703873	5703873
control	instructions	201	400	16	2304	2	2	instructions	available	0	471	10	6241243	5703873	5703873
control	instructions	201	400	16	2304	3	3	cycles	available	0	468	10	9869024	6192252	6192252
control	instructions	201	400	16	2304	3	3	instructions	available	0	469	10	6918275	6192252	6192252
control	l1d_read_miss	5	25600	32	32	0	0	cycles	available	0	485	10	26987330	16868628	16868628
control	l1d_read_miss	5	25600	32	32	0	0	l1d_read_miss	available	0	486	10	64572	16868628	16868628
control	l1d_read_miss	5	25600	32	32	1	1	cycles	available	0	481	10	26897897	16801665	16801665
control	l1d_read_miss	5	25600	32	32	1	1	l1d_read_miss	available	0	483	10	63901	16801665	16801665
control	l1d_read_miss	5	25600	32	32	2	2	cycles	available	0	482	10	26998336	16860709	16860709
control	l1d_read_miss	5	25600	32	32	2	2	l1d_read_miss	available	0	484	10	66941	16860709	16860709
control	l1d_read_miss	5	25600	32	32	3	3	cycles	available	0	487	10	27078436	16930834	16930834
control	l1d_read_miss	5	25600	32	32	3	3	l1d_read_miss	available	0	488	10	67923	16930834	16930834
control	l1d_read_miss	12	25600	64	48	0	0	cycles	available	0	485	10	70826595	44260415	44260415
control	l1d_read_miss	12	25600	64	48	0	0	l1d_read_miss	available	0	486	10	298312	44260415	44260415
control	l1d_read_miss	12	25600	64	48	1	1	cycles	available	0	481	10	70532556	44063375	44063375
control	l1d_read_miss	12	25600	64	48	1	1	l1d_read_miss	available	0	483	10	301128	44063375	44063375
control	l1d_read_miss	12	25600	64	48	2	2	cycles	available	0	482	10	70453261	44030708	44030708
control	l1d_read_miss	12	25600	64	48	2	2	l1d_read_miss	available	0	484	10	299379	44030708	44030708
control	l1d_read_miss	12	25600	64	48	3	3	cycles	available	0	487	10	70908655	44340915	44340915
control	l1d_read_miss	12	25600	64	48	3	3	l1d_read_miss	available	0	488	10	309305	44340915	44340915
control	l1d_read_miss	124	6400	64	96	0	0	cycles	available	0	485	10	20401160	12778374	12778374
control	l1d_read_miss	124	6400	64	96	0	0	l1d_read_miss	available	0	486	10	61985	12778374	12778374
control	l1d_read_miss	124	6400	64	96	1	1	cycles	available	0	481	10	19822753	12369420	12369420
control	l1d_read_miss	124	6400	64	96	1	1	l1d_read_miss	available	0	483	10	56382	12369420	12369420
control	l1d_read_miss	124	6400	64	96	2	2	cycles	available	0	482	10	20243591	12663456	12663456
control	l1d_read_miss	124	6400	64	96	2	2	l1d_read_miss	available	0	484	10	61156	12663456	12663456
control	l1d_read_miss	124	6400	64	96	3	3	cycles	available	0	487	10	18831511	11765000	11765000
control	l1d_read_miss	124	6400	64	96	3	3	l1d_read_miss	available	0	488	10	53781	11765000	11765000
control	l1d_read_miss	133	6400	80	64	0	0	cycles	available	0	485	10	18058631	11289873	11289873
control	l1d_read_miss	133	6400	80	64	0	0	l1d_read_miss	available	0	486	10	28479	11289873	11289873
control	l1d_read_miss	133	6400	80	64	1	1	cycles	available	0	481	10	17869301	11198500	11198500
control	l1d_read_miss	133	6400	80	64	1	1	l1d_read_miss	available	0	483	10	25936	11198500	11198500
control	l1d_read_miss	133	6400	80	64	2	2	cycles	available	0	482	10	17668910	11034165	11034165
control	l1d_read_miss	133	6400	80	64	2	2	l1d_read_miss	available	0	484	10	23965	11034165	11034165
control	l1d_read_miss	133	6400	80	64	3	3	cycles	available	0	487	10	18090120	11322207	11322207
control	l1d_read_miss	133	6400	80	64	3	3	l1d_read_miss	available	0	488	10	28009	11322207	11322207
control	l1d_read_miss	144	6400	80	80	0	0	cycles	available	0	485	10	21152576	13228669	13228669
control	l1d_read_miss	144	6400	80	80	0	0	l1d_read_miss	available	0	486	10	50215	13228669	13228669
control	l1d_read_miss	144	6400	80	80	1	1	cycles	available	0	481	10	20489943	12804621	12804621
control	l1d_read_miss	144	6400	80	80	1	1	l1d_read_miss	available	0	483	10	45069	12804621	12804621
control	l1d_read_miss	144	6400	80	80	2	2	cycles	available	0	482	10	20317659	12687834	12687834
control	l1d_read_miss	144	6400	80	80	2	2	l1d_read_miss	available	0	484	10	43042	12687834	12687834
control	l1d_read_miss	144	6400	80	80	3	3	cycles	available	0	487	10	21589287	13513504	13513504
control	l1d_read_miss	144	6400	80	80	3	3	l1d_read_miss	available	0	488	10	51314	13513504	13513504
control	l1d_read_miss	206	400	80	256	0	0	cycles	available	0	485	10	2436909	1522705	1522705
control	l1d_read_miss	206	400	80	256	0	0	l1d_read_miss	available	0	486	10	11015	1522705	1522705
control	l1d_read_miss	206	400	80	256	1	1	cycles	available	0	481	10	2676881	1694959	1694959
control	l1d_read_miss	206	400	80	256	1	1	l1d_read_miss	available	0	483	10	12392	1694959	1694959
control	l1d_read_miss	206	400	80	256	2	2	cycles	available	0	482	10	2437780	1530041	1530041
control	l1d_read_miss	206	400	80	256	2	2	l1d_read_miss	available	0	484	10	10635	1530041	1530041
control	l1d_read_miss	206	400	80	256	3	3	cycles	available	0	487	10	2598537	1641208	1641208
