surface	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	max_us	output_hashes	cpu4_7_ime_count	process_cpu_mean_us	voluntary_cs_mean	involuntary_cs_mean
release_compatibility_500	500	147156.530000	2247.810713	1.527496	146493.000000	148995.300000	151343.100000	157373.510000	162881.304000	164031.000000	0xd43f5e018b415631	0	543628.572000	1216.770000	1.604000
release_low_latency_500	500	133674.926000	831.073956	0.621713	133479.500000	134093.700000	135944.150000	136817.000000	138291.851000	139465.000000	0xd43f5e018b415631	0	660454.920000	0.172000	1.214000
release_low_latency_dedicated_o2_500	500	133305.232000	313.744422	0.235358	133307.500000	133667.400000	133825.050000	134031.490000	134956.415000	135413.000000	0xd43f5e018b415631	0	658802.706000	0.332000	0.558000
release_low_latency_dedicated_o2_soak_13500	13500	135040.532889	430.726037	0.318961	134995.000000	135445.000000	135637.000000	136675.070000	138660.577000	140242.000000	0xd43f5e018b415631	0	667363.276444	0.282444	0.564148
release_compatibility_soak_10000	10000	147746.662500	2083.652681	1.410287	147181.500000	149644.000000	151137.950000	157663.060000	163959.195000	181280.000000	0xd43f5e018b415631	0	545220.509600	1218.679400	1.334100
matched_b120_ort_500	500	463234.270786	1911.565933	0.412656	463109.082000	465470.445100	466201.426200	469321.220990	473800.842096	473991.508000		0	1852423.316244	not-recorded	not-recorded
