record	phase	samples	mean_us	stddev_us	median_us	p90_us	p95_us	p99_us	max_us
summary	preprocessor	500	52942.786622	871.202291144	52802.3185	53140.5989	53560.67575	55468.03096	62495.52
summary	executor	500	140393.380784	2291.56121288	139913.6955	142598.3414	144730.36445	150205.0381	155719.528
summary	pipeline_interval	500	140555.107644	2291.22547076	140072.0155	142750.7346	144883.56185	150362.88419	155869.738
