scope	pair	left_prediction_sha256	right_prediction_sha256	metric	replicates	seed	point_delta	bootstrap_mean	bootstrap_median	percentile_2_5	percentile_97_5	probability_delta_gt_zero	reused_screening_prefix_replicates
screening	L3-D8	70079ab14f1f30361e8f728683bb4b5e6c4a6059e8fdd321bfc4aab5323a62b4	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	map50_95	1000	65003	0.0184083613291533	0.018048960626190987	0.01800650294208153	0.015622751710677906	0.020467658155973283	1.0	not-applicable
screening	L3-D8	70079ab14f1f30361e8f728683bb4b5e6c4a6059e8fdd321bfc4aab5323a62b4	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	map50	1000	65003	0.01745854761887755	0.017134086610781047	0.017129316345778522	0.014162080903840815	0.02001925271489912	1.0	not-applicable
screening	L3-D8	70079ab14f1f30361e8f728683bb4b5e6c4a6059e8fdd321bfc4aab5323a62b4	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	ap_small	1000	65003	0.011164043001805624	0.010867425386597155	0.010672980811197788	0.003236686826920527	0.018574062681670066	0.997	not-applicable
screening	L3-D8	70079ab14f1f30361e8f728683bb4b5e6c4a6059e8fdd321bfc4aab5323a62b4	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	ap_medium	1000	65003	0.012913742865077127	0.012576088737047403	0.012568262624998022	0.008996853348813701	0.016234929569820263	1.0	not-applicable
screening	L3-D8	70079ab14f1f30361e8f728683bb4b5e6c4a6059e8fdd321bfc4aab5323a62b4	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	ap_large	1000	65003	0.022455439193855065	0.021087848788309615	0.02081638728632984	0.012621901785663771	0.030341530713795268	1.0	not-applicable
screening	L2-D8	5382e69a8344d7b02414a844c567525210c8b18addfdd599e7020bb256922bcb	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	map50_95	1000	65003	0.0147954375967696	0.014628533286224226	0.014665443491016478	0.012371527497708461	0.01685417598863416	1.0	not-applicable
screening	L2-D8	5382e69a8344d7b02414a844c567525210c8b18addfdd599e7020bb256922bcb	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	map50	1000	65003	0.014231588495376202	0.013923215357610732	0.013996053356067406	0.011105459778309937	0.01649269102025732	1.0	not-applicable
screening	L2-D8	5382e69a8344d7b02414a844c567525210c8b18addfdd599e7020bb256922bcb	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	ap_small	1000	65003	0.0105332708115915	0.010344337231045208	0.010141660434564936	0.0029166277451393146	0.01845941384759843	0.997	not-applicable
screening	L2-D8	5382e69a8344d7b02414a844c567525210c8b18addfdd599e7020bb256922bcb	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	ap_medium	1000	65003	0.012490592575412462	0.012186247760723747	0.012232043127945152	0.00853773953650019	0.015592668086581033	1.0	not-applicable
screening	L2-D8	5382e69a8344d7b02414a844c567525210c8b18addfdd599e7020bb256922bcb	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	ap_large	1000	65003	0.01595884790090174	0.01593416667076218	0.01581619049949401	0.008589191909863732	0.023688501074152882	1.0	not-applicable
screening	E1-D8	75aaf70c9dba15c75fb4d01174f0d2bc2be83d12f096f467192c2f47565ebb32	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	map50_95	1000	65003	0.0001988881407772869	0.00017996950798821	0.00017950949146344763	-0.00227186920220897	0.0026492109789051014	0.568	not-applicable
screening	E1-D8	75aaf70c9dba15c75fb4d01174f0d2bc2be83d12f096f467192c2f47565ebb32	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	map50	1000	65003	-0.0007884760822969294	-0.0007657123059711795	-0.0006777926247857335	-0.003955394793582515	0.0021362082148408427	0.316	not-applicable
screening	E1-D8	75aaf70c9dba15c75fb4d01174f0d2bc2be83d12f096f467192c2f47565ebb32	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	ap_small	1000	65003	0.0013244160221750068	0.001865793951208297	0.0017273252437396691	-0.0053091370997467	0.010532783405485257	0.68	not-applicable
screening	E1-D8	75aaf70c9dba15c75fb4d01174f0d2bc2be83d12f096f467192c2f47565ebb32	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	ap_medium	1000	65003	0.0010573038985229322	0.0010796240600533587	0.0011663810662278506	-0.0024691189171219875	0.004345136690037025	0.735	not-applicable
screening	E1-D8	75aaf70c9dba15c75fb4d01174f0d2bc2be83d12f096f467192c2f47565ebb32	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	ap_large	1000	65003	-0.0019112294431369303	-0.0012381490800319212	-0.0014900609320450675	-0.009330276797048068	0.007066013960617588	0.371	not-applicable
screening	L3-L2	70079ab14f1f30361e8f728683bb4b5e6c4a6059e8fdd321bfc4aab5323a62b4	5382e69a8344d7b02414a844c567525210c8b18addfdd599e7020bb256922bcb	map50_95	1000	65003	0.0036129237323836993	0.0034204273399667607	0.003349127866488555	0.0020604758860537043	0.0052204429904065775	1.0	not-applicable
screening	L3-L2	70079ab14f1f30361e8f728683bb4b5e6c4a6059e8fdd321bfc4aab5323a62b4	5382e69a8344d7b02414a844c567525210c8b18addfdd599e7020bb256922bcb	map50	1000	65003	0.0032269591235013495	0.003210871253170316	0.0031808638482113682	0.001660109721892311	0.00513856794819554	1.0	not-applicable
