scope	pair	left_prediction_sha256	right_prediction_sha256	metric	replicates	seed	point_delta	bootstrap_mean	bootstrap_median	percentile_2_5	percentile_97_5	probability_delta_gt_zero	reused_screening_prefix_replicates
screening	L3-L2	70079ab14f1f30361e8f728683bb4b5e6c4a6059e8fdd321bfc4aab5323a62b4	5382e69a8344d7b02414a844c567525210c8b18addfdd599e7020bb256922bcb	ap_small	1000	65003	0.0006307721902141239	0.0005230881555519456	0.000613694807213877	-0.002033859192395455	0.0023860193146553457	0.723	not-applicable
screening	L3-L2	70079ab14f1f30361e8f728683bb4b5e6c4a6059e8fdd321bfc4aab5323a62b4	5382e69a8344d7b02414a844c567525210c8b18addfdd599e7020bb256922bcb	ap_medium	1000	65003	0.0004231502896646644	0.0003898409763236571	0.00028110369792980205	-0.001603252921981052	0.0030347253176525035	0.616	not-applicable
screening	L3-L2	70079ab14f1f30361e8f728683bb4b5e6c4a6059e8fdd321bfc4aab5323a62b4	5382e69a8344d7b02414a844c567525210c8b18addfdd599e7020bb256922bcb	ap_large	1000	65003	0.006496591292953324	0.005153682117547433	0.004862060895826692	-0.0007348264049414742	0.01277526985858841	0.949	not-applicable
screening	H8-QF-L3	b9ff8fa19cba9682970d8e932f3318cdf5833094ab22256a24062019309b5b2a	78b4667451ec75599794f746df5ff26f09840023e53d9d8ad19550ba95350ff6	map50_95	1000	65003	0.017771616407477153	0.017596887265853747	0.017556895700834768	0.015361737145034388	0.0200847892763938	1.0	not-applicable
screening	H8-QF-L3	b9ff8fa19cba9682970d8e932f3318cdf5833094ab22256a24062019309b5b2a	78b4667451ec75599794f746df5ff26f09840023e53d9d8ad19550ba95350ff6	map50	1000	65003	0.016953705769597316	0.016906265114632953	0.016830260475045877	0.014003831203993702	0.02000434490750146	1.0	not-applicable
screening	H8-QF-L3	b9ff8fa19cba9682970d8e932f3318cdf5833094ab22256a24062019309b5b2a	78b4667451ec75599794f746df5ff26f09840023e53d9d8ad19550ba95350ff6	ap_small	1000	65003	0.01145505275439651	0.010807267575798623	0.01054214810972584	0.003537030219757603	0.01851862794189871	0.998	not-applicable
screening	H8-QF-L3	b9ff8fa19cba9682970d8e932f3318cdf5833094ab22256a24062019309b5b2a	78b4667451ec75599794f746df5ff26f09840023e53d9d8ad19550ba95350ff6	ap_medium	1000	65003	0.010580169870793965	0.01064160739014384	0.010653532193824394	0.006952700321292045	0.014366010950654647	1.0	not-applicable
screening	H8-QF-L3	b9ff8fa19cba9682970d8e932f3318cdf5833094ab22256a24062019309b5b2a	78b4667451ec75599794f746df5ff26f09840023e53d9d8ad19550ba95350ff6	ap_large	1000	65003	0.026013251354514266	0.023959394030845238	0.023808069454715475	0.015718790871861628	0.03359608342559557	1.0	not-applicable
final-top-region	L3-D8	70079ab14f1f30361e8f728683bb4b5e6c4a6059e8fdd321bfc4aab5323a62b4	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	map50_95	10000	65003	0.0184083613291533	0.018028778261299856	0.017996836718626757	0.015608969946009028	0.020717267481725775	1.0	1000
final-top-region	L3-D8	70079ab14f1f30361e8f728683bb4b5e6c4a6059e8fdd321bfc4aab5323a62b4	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	map50	10000	65003	0.01745854761887755	0.01711877700683402	0.017102491494100147	0.014169336673154342	0.02021563439575948	1.0	1000
final-top-region	L3-D8	70079ab14f1f30361e8f728683bb4b5e6c4a6059e8fdd321bfc4aab5323a62b4	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	ap_small	10000	65003	0.011164043001805624	0.010769585308300446	0.010620512757263348	0.002892299324909324	0.01880151456039507	0.9953	1000
final-top-region	L3-D8	70079ab14f1f30361e8f728683bb4b5e6c4a6059e8fdd321bfc4aab5323a62b4	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	ap_medium	10000	65003	0.012913742865077127	0.012582189624475472	0.012574125236196054	0.008893031117506531	0.016254054921678553	1.0	1000
final-top-region	L3-D8	70079ab14f1f30361e8f728683bb4b5e6c4a6059e8fdd321bfc4aab5323a62b4	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	ap_large	10000	65003	0.022455439193855065	0.02088427253234617	0.02058412738964399	0.012874537626623236	0.030558079455167825	1.0	1000
