frontier	region	mode	anchor	source_upstream_nodes	source_downstream_nodes	cut_tensor_count	cut_tensors	selection_status	build_status
E0	R0-model0-stem	cutoff	/model.0/act/Mul	3	361	1	/model.0/act/Mul_output_0	frozen-before-task-metrics	pass
E1	R0-model1-downsample	cutoff	/model.1/act/Mul	6	358	1	/model.1/act/Mul_output_0	frozen-before-task-metrics	pass
E2	R0-model2-entry	cutoff	/model.2/cv1/act/Mul	9	355	1	/model.2/cv1/act/Mul_output_0	frozen-before-task-metrics	pass
L1	R7-six-head-first-prefix-blocks	multi-anchor	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul;/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul;/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul;/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul;/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul;/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul	322	42	6	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0;/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul_output_0;/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul_output_0;/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0;/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul_output_0;/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul_output_0	frozen-before-task-metrics	pass
L2	R7-six-head-second-prefix-blocks	multi-anchor	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul;/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul;/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul;/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul;/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul;/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul	340	24	6	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0;/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0;/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0;/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0;/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul_output_0;/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul_output_0	frozen-before-task-metrics	pass
L3	R7-confidence-second-depthwise-block	multi-anchor	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul;/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul;/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul;/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul;/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul;/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul	349	15	6	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0;/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0;/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0;/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0;/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0;/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul_output_0	frozen-before-task-metrics	pass
