source_tensor	source_producer	source_op	source_output_index	shape	dtype	candidate_producer	candidate_raw_tensor	quantize_node	dequantize_node	candidate_float_tensor	scale_initializer	scale_dtype	scale_shape	scale_min_max	zero_point_initializer	zero_point_dtype	zero_point_shape	zero_point_min_max	axis	q_output_consumer_count	mapping_status
/model.2/cv2/act/Mul_output_0	/model.2/cv2/act/Mul	Mul	0	1x64x160x160	FLOAT	/model.2/cv2/act/Mul	PPQ_Variable_759	PPQ_Operation_748	PPQ_Operation_749	/model.2/cv2/act/Mul_output_0	PPQ_Variable_760	FLOAT	scalar	0.0692739263176918:0.0692739263176918	PPQ_Variable_761	INT8	scalar	-124.0:-124.0		1	pass
/model.4/cv2/act/Mul_output_0	/model.4/cv2/act/Mul	Mul	0	1x128x80x80	FLOAT	/model.4/cv2/act/Mul	PPQ_Variable_888	PPQ_Operation_791	PPQ_Operation_792	/model.4/cv2/act/Mul_output_0	PPQ_Variable_889	FLOAT	scalar	0.01643732748925686:0.01643732748925686	PPQ_Variable_890	INT8	scalar	-111.0:-111.0		1	pass
/model.6/cv2/act/Mul_output_0	/model.6/cv2/act/Mul	Mul	0	1x128x40x40	FLOAT	/model.6/cv2/act/Mul	PPQ_Variable_1134	PPQ_Operation_873	PPQ_Operation_874	/model.6/cv2/act/Mul_output_0	PPQ_Variable_1135	FLOAT	scalar	0.01971076987683773:0.01971076987683773	PPQ_Variable_1136	INT8	scalar	-114.0:-114.0		1	pass
/model.8/cv2/act/Mul_output_0	/model.8/cv2/act/Mul	Mul	0	1x256x20x20	FLOAT	/model.8/cv2/act/Mul	PPQ_Variable_1380	PPQ_Operation_955	PPQ_Operation_956	/model.8/cv2/act/Mul_output_0	PPQ_Variable_1381	FLOAT	scalar	0.0235946923494339:0.0235946923494339	PPQ_Variable_1382	INT8	scalar	-116.0:-116.0		1	pass
/model.10/cv2/act/Mul_output_0	/model.10/cv2/act/Mul	Mul	0	1x256x20x20	FLOAT	/model.10/cv2/act/Mul	PPQ_Variable_1620	PPQ_Operation_1035	PPQ_Operation_1036	/model.10/cv2/act/Mul_output_0	PPQ_Variable_1621	FLOAT	scalar	0.02728351019322872:0.02728351019322872	PPQ_Variable_1622	INT8	scalar	-118.0:-118.0		1	pass
/model.13/cv2/act/Mul_output_0	/model.13/cv2/act/Mul	Mul	0	1x128x40x40	FLOAT	/model.13/cv2/act/Mul	PPQ_Variable_1857	PPQ_Operation_1114	PPQ_Operation_1115	/model.13/cv2/act/Mul_output_0	PPQ_Variable_1858	FLOAT	scalar	0.016986047849059105:0.016986047849059105	PPQ_Variable_1859	INT8	scalar	-112.0:-112.0		1	pass
/model.16/cv2/act/Mul_output_0	/model.16/cv2/act/Mul	Mul	0	1x64x80x80	FLOAT	/model.16/cv2/act/Mul	PPQ_Variable_2094	PPQ_Operation_1193	PPQ_Operation_1194	/model.16/cv2/act/Mul_output_0	PPQ_Variable_2095	FLOAT	scalar	0.019380010664463043:0.019380010664463043	PPQ_Variable_2096	INT8	scalar	-114.0:-114.0		1	pass
/model.19/cv2/act/Mul_output_0	/model.19/cv2/act/Mul	Mul	0	1x128x40x40	FLOAT	/model.19/cv2/act/Mul	PPQ_Variable_2490	PPQ_Operation_1325	PPQ_Operation_1326	/model.19/cv2/act/Mul_output_0	PPQ_Variable_2491	FLOAT	scalar	0.0185712743550539:0.0185712743550539	PPQ_Variable_2492	INT8	scalar	-113.0:-113.0		1	pass
/model.20/act/Mul_output_0	/model.20/act/Mul	Mul	0	1x128x20x20	FLOAT	/model.20/act/Mul	PPQ_Variable_2541	PPQ_Operation_1342	PPQ_Operation_1343	/model.20/act/Mul_output_0	PPQ_Variable_2542	FLOAT	scalar	0.02156987600028515:0.02156987600028515	PPQ_Variable_2543	INT8	scalar	-115.0:-115.0		1	pass
/model.22/cv2/act/Mul_output_0	/model.22/cv2/act/Mul	Mul	0	1x256x20x20	FLOAT	/model.22/cv2/act/Mul	PPQ_Variable_2895	PPQ_Operation_1460	PPQ_Operation_1461	/model.22/cv2/act/Mul_output_0	PPQ_Variable_2896	FLOAT	scalar	0.04650913178920746:0.04650913178920746	PPQ_Variable_2897	INT8	scalar	-122.0:-122.0		1	pass
/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul	Mul	0	1x16x80x80	FLOAT	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul	PPQ_Variable_2214	PPQ_Operation_1233	PPQ_Operation_1234	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0	PPQ_Variable_2215	FLOAT	scalar	0.016445327550172806:0.016445327550172806	PPQ_Variable_2216	INT8	scalar	-111.0:-111.0		1	pass
/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul	Mul	0	1x16x40x40	FLOAT	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul	PPQ_Variable_2610	PPQ_Operation_1365	PPQ_Operation_1366	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0	PPQ_Variable_2611	FLOAT	scalar	0.030483150854706764:0.030483150854706764	PPQ_Variable_2612	INT8	scalar	-119.0:-119.0		1	pass
/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul	Mul	0	1x16x20x20	FLOAT	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul	PPQ_Variable_2973	PPQ_Operation_1486	PPQ_Operation_1487	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0	PPQ_Variable_2974	FLOAT	scalar	0.05434941127896309:0.05434941127896309	PPQ_Variable_2975	INT8	scalar	-123.0:-123.0		1	pass
/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul	Mul	0	1x80x80x80	FLOAT	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul	PPQ_Variable_2340	PPQ_Operation_1275	PPQ_Operation_1276	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0	PPQ_Variable_2341	FLOAT	scalar	0.11163072288036346:0.11163072288036346	PPQ_Variable_2342	INT8	scalar	-126.0:-126.0		1	pass
/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul	Mul	0	1x80x40x40	FLOAT	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul	PPQ_Variable_2715	PPQ_Operation_1400	PPQ_Operation_1401	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0	PPQ_Variable_2716	FLOAT	scalar	0.6061956286430359:0.6061956286430359	PPQ_Variable_2717	INT8	scalar	-128.0:-128.0		1	pass
/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul	Mul	0	1x80x20x20	FLOAT	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul	PPQ_Variable_3030	PPQ_Operation_1505	PPQ_Operation_1506	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0	PPQ_Variable_3031	FLOAT	scalar	0.36928942799568176:0.36928942799568176	PPQ_Variable_3032	INT8	scalar	-127.0:-127.0		1	pass
/model.0/act/Mul_output_0	/model.0/act/Mul	Mul	0	1x16x320x320	FLOAT	/model.0/act/Mul	PPQ_Variable_630	PPQ_Operation_705	PPQ_Operation_706	/model.0/act/Mul_output_0	PPQ_Variable_631	FLOAT	scalar	0.24115771055221558:0.24115771055221558	PPQ_Variable_632	INT8	scalar	-127.0:-127.0		1	pass
/model.1/act/Mul_output_0	/model.1/act/Mul	Mul	0	1x32x160x160	FLOAT	/model.1/act/Mul	PPQ_Variable_651	PPQ_Operation_712	PPQ_Operation_713	/model.1/act/Mul_output_0	PPQ_Variable_652	FLOAT	scalar	0.38254737854003906:0.38254737854003906	PPQ_Variable_653	INT8	scalar	-127.0:-127.0		1	pass
/model.2/cv1/act/Mul_output_0	/model.2/cv1/act/Mul	Mul	0	1x32x160x160	FLOAT	/model.2/cv1/act/Mul	PPQ_Variable_672	PPQ_Operation_719	PPQ_Operation_720	/model.2/cv1/act/Mul_output_0	PPQ_Variable_673	FLOAT	scalar	0.20057618618011475:0.20057618618011475	PPQ_Variable_674	INT8	scalar	-127.0:-127.0		1	pass
/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul	Mul	0	1x16x80x80	FLOAT	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul	PPQ_Variable_2151	PPQ_Operation_1212	PPQ_Operation_1213	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0	PPQ_Variable_2152	FLOAT	scalar	0.05690943822264671:0.05690943822264671	PPQ_Variable_2153	INT8	scalar	-123.0:-123.0		1	pass
