scope	frontier	control	images	boundary_exact	tail_exact	max_boundary_abs	max_tail_abs	non_finite	status
fixed-fixtures	C0	fp32	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C0	b2	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C0	d8	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C1	fp32	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C1	b2	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C1	d8	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C2	fp32	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C2	b2	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C2	d8	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C3	fp32	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C3	b2	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C3	d8	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C4	fp32	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C4	b2	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C4	d8	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C5	fp32	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C5	b2	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C5	d8	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C6	fp32	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C6	b2	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C6	d8	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C7	fp32	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C7	b2	3	3	3	0.0	0.0	0	pass
fixed-fixtures	C7	d8	3	3	3	0.0	0.0	0	pass
H500	C0	fp32	500	500	500	0.0	0.0	0	pass
H500	C0	b2	500	500	500	0.0	0.0	0	pass
H500	C0	d8	500	500	500	0.0	0.0	0	pass
H500	C1	fp32	500	500	500	0.0	0.0	0	pass
H500	C1	b2	500	500	500	0.0	0.0	0	pass
H500	C1	d8	500	500	500	0.0	0.0	0	pass
H500	C2	fp32	500	500	500	0.0	0.0	0	pass
H500	C2	b2	500	500	500	0.0	0.0	0	pass
H500	C2	d8	500	500	500	0.0	0.0	0	pass
H500	C3	fp32	500	500	500	0.0	0.0	0	pass
H500	C3	b2	500	500	500	0.0	0.0	0	pass
H500	C3	d8	500	500	500	0.0	0.0	0	pass
H500	C4	fp32	500	500	500	0.0	0.0	0	pass
H500	C4	b2	500	500	500	0.0	0.0	0	pass
H500	C4	d8	500	500	500	0.0	0.0	0	pass
H500	C5	fp32	500	500	500	0.0	0.0	0	pass
H500	C5	b2	500	500	500	0.0	0.0	0	pass
H500	C5	d8	500	500	500	0.0	0.0	0	pass
H500	C6	fp32	500	500	500	0.0	0.0	0	pass
H500	C6	b2	500	500	500	0.0	0.0	0	pass
H500	C6	d8	500	500	500	0.0	0.0	0	pass
H500	C7	fp32	500	500	500	0.0	0.0	0	pass
H500	C7	b2	500	500	500	0.0	0.0	0	pass
H500	C7	d8	500	500	500	0.0	0.0	0	pass
refined-fixed	E0	fp32	3	3	3	0.0	0.0	0	pass
refined-fixed	E0	b2	3	3	3	0.0	0.0	0	pass
refined-fixed	E0	d8	3	3	3	0.0	0.0	0	pass
refined-fixed	E1	fp32	3	3	3	0.0	0.0	0	pass
refined-fixed	E1	b2	3	3	3	0.0	0.0	0	pass
refined-fixed	E1	d8	3	3	3	0.0	0.0	0	pass
refined-fixed	E2	fp32	3	3	3	0.0	0.0	0	pass
refined-fixed	E2	b2	3	3	3	0.0	0.0	0	pass
refined-fixed	E2	d8	3	3	3	0.0	0.0	0	pass
refined-fixed	L1	fp32	3	3	3	0.0	0.0	0	pass
refined-fixed	L1	b2	3	3	3	0.0	0.0	0	pass
refined-fixed	L1	d8	3	3	3	0.0	0.0	0	pass
refined-fixed	L2	fp32	3	3	3	0.0	0.0	0	pass
refined-fixed	L2	b2	3	3	3	0.0	0.0	0	pass
refined-fixed	L2	d8	3	3	3	0.0	0.0	0	pass
refined-fixed	L3	fp32	3	3	3	0.0	0.0	0	pass
refined-fixed	L3	b2	3	3	3	0.0	0.0	0	pass
refined-fixed	L3	d8	3	3	3	0.0	0.0	0	pass
refined-H500	E0	fp32	500	500	500	0.0	0.0	0	pass
refined-H500	E0	b2	500	500	500	0.0	0.0	0	pass
refined-H500	E0	d8	500	500	500	0.0	0.0	0	pass
refined-H500	E1	fp32	500	500	500	0.0	0.0	0	pass
refined-H500	E1	b2	500	500	500	0.0	0.0	0	pass
refined-H500	E1	d8	500	500	500	0.0	0.0	0	pass
refined-H500	E2	fp32	500	500	500	0.0	0.0	0	pass
refined-H500	E2	b2	500	500	500	0.0	0.0	0	pass
refined-H500	E2	d8	500	500	500	0.0	0.0	0	pass
refined-H500	L1	fp32	500	500	500	0.0	0.0	0	pass
refined-H500	L1	b2	500	500	500	0.0	0.0	0	pass
refined-H500	L1	d8	500	500	500	0.0	0.0	0	pass
refined-H500	L2	fp32	500	500	500	0.0	0.0	0	pass
refined-H500	L2	b2	500	500	500	0.0	0.0	0	pass
refined-H500	L2	d8	500	500	500	0.0	0.0	0	pass
refined-H500	L3	fp32	500	500	500	0.0	0.0	0	pass
refined-H500	L3	b2	500	500	500	0.0	0.0	0	pass
refined-H500	L3	d8	500	500	500	0.0	0.0	0	pass
