surface	images	images_with_predictions	failures	non_finite_predictions	prediction_count	prediction_sha256	map50_95	map50	map75	ap_small	ap_medium	ap_large	ar_1	ar_10	ar_100	ar_small	ar_medium	ar_large	mean_precision_grid	mean_recall_grid
QF-C0	500	500	0	0	74263	951d77a12fd8e98124a87052f24f187c33d4c4ff1099a186dbc33e67fe0ffaea	0.47188455094468396	0.6384998913534329	0.5150155334819307	0.2536196345768114	0.5379360855832793	0.7083792046714297	0.34716419184652486	0.5937802444628184	0.6540083508176904	0.42889474002510736	0.7186049938147153	0.838508043169421	0.47188455094468396	0.6540083508176904
QF-C6	500	500	0	0	73757	3bfc3aab952806114a858cf0a163498653d85b95bd504f8e8d380d5b5fb72954	0.47049120240420833	0.6336238853082123	0.5112851308366796	0.24072650342286656	0.5319038779251402	0.7082927762333521	0.3512536653012833	0.5925923378878806	0.65710209619589	0.4376577737182456	0.7211550164796069	0.8298651646126491	0.47049120240420833	0.65710209619589
QF-L3	500	500	0	0	72170	e2cb9b57a37b674c135fc1dce6257cea088a8dd5efd40ea68fed9bc9e53fb493	0.4619121538536038	0.6277096245891013	0.5030787394526228	0.24181508567657248	0.5308675667601265	0.6979708560427953	0.34633001454111745	0.5915619160368363	0.6529817538830267	0.43576086658274454	0.7129029836138236	0.8257738862015179	0.4619121538536038	0.6529817538830267
