pair	left_prediction_sha256	right_prediction_sha256	metric	replicates	seed	point_delta	bootstrap_mean	bootstrap_median	percentile_2_5	percentile_97_5	probability_delta_gt_zero
C3-D8	b5cf3b047f08c526bd3b932e98ab666b3de4472d7e49e558aff28ead85f6fbf2	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_medium	1000	65003	0.010468803585830577	0.00802724274518959	0.008140669651128418	-0.0049667657696251255	0.019643437686460565	0.892
C3-D8	b5cf3b047f08c526bd3b932e98ab666b3de4472d7e49e558aff28ead85f6fbf2	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_large	1000	65003	0.015048277770360219	0.014581505777587987	0.01444688955212381	0.003277779955529814	0.02725664472371585	0.989
C4-D8	781f001f125a3913a28de0061663010aa05e03d683fbc92b097f1b65ec569ba0	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	map50_95	1000	65003	0.010143547894557403	0.009934775870357687	0.009850796016401098	0.00408322730610147	0.016414614216059147	1.0
C4-D8	781f001f125a3913a28de0061663010aa05e03d683fbc92b097f1b65ec569ba0	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	map50	1000	65003	0.01282862997979306	0.012540210342976596	0.01244599465449342	0.003782926736479597	0.02121003583791629	0.999
C4-D8	781f001f125a3913a28de0061663010aa05e03d683fbc92b097f1b65ec569ba0	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_small	1000	65003	-0.00501872401156081	-0.0009387726106168179	-0.001401927487165111	-0.010376642773669401	0.010448031445557919	0.403
C4-D8	781f001f125a3913a28de0061663010aa05e03d683fbc92b097f1b65ec569ba0	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_medium	1000	65003	0.008465252627792852	0.007439697803478944	0.007502976734078459	-0.0030567882607802992	0.018876288715132087	0.903
C4-D8	781f001f125a3913a28de0061663010aa05e03d683fbc92b097f1b65ec569ba0	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_large	1000	65003	0.01607216139968659	0.01528557003327857	0.015097766562925108	0.003935594616643098	0.026701445611859508	0.994
C5-D8	5bcd4bf24bd387bcf7ed553923f4c285be060bd400387ab83b18e07276d610ca	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	map50_95	1000	65003	0.010767860993407763	0.01131879287812459	0.011328063146749251	0.004444512634253312	0.018197691171786483	0.998
C5-D8	5bcd4bf24bd387bcf7ed553923f4c285be060bd400387ab83b18e07276d610ca	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	map50	1000	65003	0.010685988533474466	0.011171935652179943	0.011196954021328254	0.002253585467300662	0.020269921381375858	0.992
C5-D8	5bcd4bf24bd387bcf7ed553923f4c285be060bd400387ab83b18e07276d610ca	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_small	1000	65003	-0.0025544947518703065	-0.00012992929614426323	-0.0002492071181925959	-0.008697130922444452	0.009302229342816251	0.47
C5-D8	5bcd4bf24bd387bcf7ed553923f4c285be060bd400387ab83b18e07276d610ca	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_medium	1000	65003	0.013292173506179283	0.010410271015294204	0.0105876582848215	-0.0016271445707557173	0.022032307390498666	0.95
C5-D8	5bcd4bf24bd387bcf7ed553923f4c285be060bd400387ab83b18e07276d610ca	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_large	1000	65003	0.009630088634161371	0.010976799975145264	0.011111216994117379	-0.0027816541901789418	0.02463860902682006	0.936
C6-D8	f64b180a354a854235321ed71f8f1593775f97d2b99b35cda4be35a71e0b5e89	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	map50_95	1000	65003	0.012584231898493392	0.01231517775801743	0.012360693076013618	0.0066000642692320005	0.01889019298325731	1.0
C6-D8	f64b180a354a854235321ed71f8f1593775f97d2b99b35cda4be35a71e0b5e89	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	map50	1000	65003	0.013122524237108357	0.01258553236705263	0.012468532350746575	0.0046797168347335605	0.020727047475769218	1.0
C6-D8	f64b180a354a854235321ed71f8f1593775f97d2b99b35cda4be35a71e0b5e89	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_small	1000	65003	-0.002531777887794795	-0.0001027496032494462	-0.0002356719181210165	-0.008582545307251116	0.009350033259800857	0.474
C6-D8	f64b180a354a854235321ed71f8f1593775f97d2b99b35cda4be35a71e0b5e89	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_medium	1000	65003	0.013233939143417084	0.009749570775285168	0.009897652548229607	-0.002810545840718423	0.022243339333620733	0.922
C6-D8	f64b180a354a854235321ed71f8f1593775f97d2b99b35cda4be35a71e0b5e89	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_large	1000	65003	0.01818171354670739	0.016532686901594287	0.016491144228374555	0.004885883187300838	0.027989242884060545	0.996
C7-D8	999041a97b74c4e16f5b9ce5174832ecceda4f7180de034d0d80817b7057ad7c	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	map50_95	1000	65003	0.021791242396796584	0.020800841541498485	0.020689160062324297	0.014730917111972382	0.026970703990148226	1.0
C7-D8	999041a97b74c4e16f5b9ce5174832ecceda4f7180de034d0d80817b7057ad7c	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	map50	1000	65003	0.022462806975449112	0.021334508241492696	0.021249543430175766	0.01350958220850477	0.029771611010064036	1.0
C7-D8	999041a97b74c4e16f5b9ce5174832ecceda4f7180de034d0d80817b7057ad7c	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_small	1000	65003	0.0033155972320654536	0.007530203911743478	0.0074410751819010135	-0.0030352231210491044	0.01837146399997836	0.901
C7-D8	999041a97b74c4e16f5b9ce5174832ecceda4f7180de034d0d80817b7057ad7c	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_medium	1000	65003	0.019079258057621118	0.016013895563407814	0.016096286057293407	0.0032003089612413884	0.028981650650765082	0.992
C7-D8	999041a97b74c4e16f5b9ce5174832ecceda4f7180de034d0d80817b7057ad7c	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_large	1000	65003	0.025323312334639025	0.022644987643955655	0.022507039128022654	0.010349513614368292	0.03556681071967673	1.0
C1-C0	7ab3285db1085b9fff57384c08de6b46755083a4bd679b303b70f9ec1f452278	b89bc475fa07625afe3a4c8e96446c15d79aa67a48efde2ced96395238e87032	map50_95	1000	65003	0.0008613648289905185	0.0011919030709810273	0.0010886387931615948	-0.005235564675593459	0.007136166589373042	0.673
C1-C0	7ab3285db1085b9fff57384c08de6b46755083a4bd679b303b70f9ec1f452278	b89bc475fa07625afe3a4c8e96446c15d79aa67a48efde2ced96395238e87032	map50	1000	65003	0.002014934007749436	0.002106513937200229	0.0020070513139911483	-0.005203278112904414	0.010646734766052062	0.692
C1-C0	7ab3285db1085b9fff57384c08de6b46755083a4bd679b303b70f9ec1f452278	b89bc475fa07625afe3a4c8e96446c15d79aa67a48efde2ced96395238e87032	ap_small	1000	65003	-0.0018431722929503347	-0.000760083989917131	-0.0010340788384814725	-0.009802303124970255	0.009945331928354563	0.416
C1-C0	7ab3285db1085b9fff57384c08de6b46755083a4bd679b303b70f9ec1f452278	b89bc475fa07625afe3a4c8e96446c15d79aa67a48efde2ced96395238e87032	ap_medium	1000	65003	0.013215013976774714	0.01187732105286977	0.011969880033465441	0.0007978398429735412	0.02307185760330578	0.982
C1-C0	7ab3285db1085b9fff57384c08de6b46755083a4bd679b303b70f9ec1f452278	b89bc475fa07625afe3a4c8e96446c15d79aa67a48efde2ced96395238e87032	ap_large	1000	65003	-0.004881386989679881	-0.0035762271836038122	-0.00338900189459157	-0.01391472141736925	0.005831530641522772	0.242
C2-C1	cc469f01db0173e3621775ecad12e530cd9a5956ae9825b9fe083bb831dac5f2	7ab3285db1085b9fff57384c08de6b46755083a4bd679b303b70f9ec1f452278	map50_95	1000	65003	0.0010385283733639894	0.0004732646808336946	0.0003499447368505437	-0.004782108762400869	0.006724488748810949	0.555
C2-C1	cc469f01db0173e3621775ecad12e530cd9a5956ae9825b9fe083bb831dac5f2	7ab3285db1085b9fff57384c08de6b46755083a4bd679b303b70f9ec1f452278	map50	1000	65003	0.001424124553509265	0.001179243009749937	0.0012255982369921425	-0.004073187503932851	0.006080660620092478	0.685
C2-C1	cc469f01db0173e3621775ecad12e530cd9a5956ae9825b9fe083bb831dac5f2	7ab3285db1085b9fff57384c08de6b46755083a4bd679b303b70f9ec1f452278	ap_small	1000	65003	0.000545044731266292	0.0010957587612311376	0.000949083687780225	-0.0047437262588536245	0.007760576638119772	0.637
C2-C1	cc469f01db0173e3621775ecad12e530cd9a5956ae9825b9fe083bb831dac5f2	7ab3285db1085b9fff57384c08de6b46755083a4bd679b303b70f9ec1f452278	ap_medium	1000	65003	-0.0035432923811936634	-0.004699439232410009	-0.004478739818811306	-0.0147057255815442	0.0037352306244882575	0.162
C2-C1	cc469f01db0173e3621775ecad12e530cd9a5956ae9825b9fe083bb831dac5f2	7ab3285db1085b9fff57384c08de6b46755083a4bd679b303b70f9ec1f452278	ap_large	1000	65003	0.005957108666740041	0.005233467614219218	0.00504130579897738	-0.004926911628563066	0.01674982154742859	0.824
C3-C2	b5cf3b047f08c526bd3b932e98ab666b3de4472d7e49e558aff28ead85f6fbf2	cc469f01db0173e3621775ecad12e530cd9a5956ae9825b9fe083bb831dac5f2	map50_95	1000	65003	-0.00032871520869742765	0.000201190648768799	0.00022547328249697407	-0.00479038188166341	0.004718764785322094	0.537
C3-C2	b5cf3b047f08c526bd3b932e98ab666b3de4472d7e49e558aff28ead85f6fbf2	cc469f01db0173e3621775ecad12e530cd9a5956ae9825b9fe083bb831dac5f2	map50	1000	65003	0.0020254340354773914	0.0019239068938630094	0.0019931225409498543	-0.0040844052123151925	0.00781097371255342	0.775
C3-C2	b5cf3b047f08c526bd3b932e98ab666b3de4472d7e49e558aff28ead85f6fbf2	cc469f01db0173e3621775ecad12e530cd9a5956ae9825b9fe083bb831dac5f2	ap_small	1000	65003	-0.001127050512014366	-0.0007631292993455232	-0.0007358825844089728	-0.006152805332408513	0.0053519694449147915	0.393
C3-C2	b5cf3b047f08c526bd3b932e98ab666b3de4472d7e49e558aff28ead85f6fbf2	cc469f01db0173e3621775ecad12e530cd9a5956ae9825b9fe083bb831dac5f2	ap_medium	1000	65003	0.004431913181363489	0.0049586946696637555	0.0048175141737272775	-0.0057487995939528025	0.015945413512857547	0.798
C3-C2	b5cf3b047f08c526bd3b932e98ab666b3de4472d7e49e558aff28ead85f6fbf2	cc469f01db0173e3621775ecad12e530cd9a5956ae9825b9fe083bb831dac5f2	ap_large	1000	65003	0.0012195463991081512	0.00016511769367832962	0.00034663112016664055	-0.006814412017441926	0.006586843201034623	0.545
C4-C3	781f001f125a3913a28de0061663010aa05e03d683fbc92b097f1b65ec569ba0	b5cf3b047f08c526bd3b932e98ab666b3de4472d7e49e558aff28ead85f6fbf2	map50_95	1000	65003	0.0016398134766295036	0.0010311436590893356	0.001104457587993768	-0.0031764421433901277	0.005366105334413523	0.692
C4-C3	781f001f125a3913a28de0061663010aa05e03d683fbc92b097f1b65ec569ba0	b5cf3b047f08c526bd3b932e98ab666b3de4472d7e49e558aff28ead85f6fbf2	map50	1000	65003	0.001564739810648974	0.0019704474690079867	0.0019557992504591892	-0.0037340967036087773	0.0075103827046669675	0.754
C4-C3	781f001f125a3913a28de0061663010aa05e03d683fbc92b097f1b65ec569ba0	b5cf3b047f08c526bd3b932e98ab666b3de4472d7e49e558aff28ead85f6fbf2	ap_small	1000	65003	-0.006050688616997146	-0.003912784238657458	-0.004147761109617176	-0.011287574795477954	0.00411813718024459	0.194
C4-C3	781f001f125a3913a28de0061663010aa05e03d683fbc92b097f1b65ec569ba0	b5cf3b047f08c526bd3b932e98ab666b3de4472d7e49e558aff28ead85f6fbf2	ap_medium	1000	65003	-0.0020035509580377253	-0.0005875449417106451	-0.0006271623734133702	-0.009825338494320837	0.009056821037759327	0.442
