frontiers	tensor	shape	values	fp32_min	fp32_max	b2_dequantized_min	b2_dequantized_max	fp32_below_range_count	fp32_below_range_fraction	fp32_above_range_count	fp32_above_range_fraction	b2_low_rail_count	b2_low_rail_fraction	b2_high_rail_count	b2_high_rail_fraction	mean_bias_b2_minus_fp32	mae	normalized_mae_over_mean_abs_fp32	cosine	fp32_histogram_sample	b2_histogram_sample	per_image_pair_hash	per_image_hash_table	per_image_hash_table_sha256	per_image_hash_table_rows
C0	/model.2/cv2/act/Mul_output_0	1x64x160x160	819200000	-0.2784646153450012	43.17213439941406	-0.2770957052707672	17.38775634765625	25156377	0.030708468017578126	7797	9.517822265625e-06	105986881	0.12937851684570312	6529	7.969970703125e-06	-0.001755108848003311	0.15748530007822606	0.16791475534874795	0.9867219460224524	p0=-0.278464586;p1=-0.278332472;p10=-0.256636292;p50=-0;p90=3.42399812;p99=7.53685427;p100=16.481554	p0=-0.277095705;p1=-0.277095705;p10=-0.277095705;p50=0;p90=3.39442229;p99=7.27376223;p100=16.0715504	bbb839e8615eafb93059695b9557c38ed856a704e4e74caed89c4184f796f65e	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/activation-audit-v3/selected_region_activation_per_image_hashes.tsv	6f0b90f582ed8b7113af483ff981dbd88ce3331ba5c1b8b1713b59f64b50cfe9	11000
C7;L2;L3	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0	1x16x80x80	51200000	-0.2784646153450012	5.276412487030029	-0.2795705795288086	3.913987874984741	0	0.0	1702	3.32421875e-05	3535559	0.06905388671875	1253	2.447265625e-05	0.01240037826916511	0.09336898612443145	0.1635029248912686	0.9782032766788078	p0=-0.278464586;p1=-0.278364718;p10=-0.267053193;p50=0.113780685;p90=1.40241854;p99=2.3246692;p100=5.115798	p0=-0.27957058;p1=-0.27957058;p10=-0.263125241;p50=0.115117297;p90=1.3978529;p99=2.35168195;p100=3.91398787	ddbcdc7200fd140843f5597223f1d061b5fe20ca66f74b4891c1ff86f1eeed36	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/activation-audit-v3/selected_region_activation_per_image_hashes.tsv	6f0b90f582ed8b7113af483ff981dbd88ce3331ba5c1b8b1713b59f64b50cfe9	11000
C7;L2;L3	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0	1x16x40x40	12800000	-0.2784646153450012	10.130852699279785	-0.27434834837913513	6.919675350189209	596235	0.046580859375	244	1.90625e-05	1208818	0.09443890625	0	0.0	0.002782384477058122	0.10823522954736145	0.14247308761216265	0.9788827343437959	p0=-0.278464586;p1=-0.278259695;p10=-0.260127628;p50=0.178089119;p90=2.01554837;p99=3.22446834;p100=9.35116291	p0=-0.274348348;p1=-0.274348348;p10=-0.243865207;p50=0.182898909;p90=2.01188803;p99=3.2007308;p100=6.91967535	db45749555d2dec6442d37e65633b2190df248425d36982dac85a78d2d4069db	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/activation-audit-v3/selected_region_activation_per_image_hashes.tsv	6f0b90f582ed8b7113af483ff981dbd88ce3331ba5c1b8b1713b59f64b50cfe9	11000
C7;L2;L3	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0	1x16x20x20	3200000	-0.27846458554267883	16.048429489135742	-0.27174705266952515	12.989509582519531	208893	0.0652790625	72	2.25e-05	453761	0.1418003125	0	0.0	0.0216202876546297	0.12844294216634886	0.13739864232027074	0.9789946461679905	p0=-0.278464586;p1=-0.278340578;p10=-0.264148486;p50=0.224166177;p90=2.47509041;p99=5.18881773;p100=16.0484295	p0=-0.271747053;p1=-0.271747053;p10=-0.271747053;p50=0.217397645;p90=2.55442238;p99=5.54364014;p100=12.9895096	c2994538917d4138b2c9bc482a1f185749c635eb25727af5d896ebbaab3d1eee	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/activation-audit-v3/selected_region_activation_per_image_hashes.tsv	6f0b90f582ed8b7113af483ff981dbd88ce3331ba5c1b8b1713b59f64b50cfe9	11000
C7	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0	1x80x80x80	256000000	-0.2784646153450012	89.58053588867188	-0.22326144576072693	28.242572784423828	44087659	0.17221741796875	1623	6.33984375e-06	57936045	0.22631267578125	965	3.76953125e-06	-0.021988803092880205	0.24478834263109633	0.1785012266621496	0.9823851092753221	p0=-0.278464586;p1=-0.278286487;p10=-0.259898365;p50=0.564447939;p90=3.75533903;p99=6.3023143;p100=40.5140495	p0=-0.223261446;p1=-0.223261446;p10=-0.223261446;p50=0.558153629;p90=3.68381381;p99=6.25132036;p100=28.2425728	e7b30f3f0ab103ac43c43f14f535118d579c847f58d8997285df7584cf9639b6	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/activation-audit-v3/selected_region_activation_per_image_hashes.tsv	6f0b90f582ed8b7113af483ff981dbd88ce3331ba5c1b8b1713b59f64b50cfe9	11000
C7	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0	1x80x40x40	64000000	-0.2784646153450012	267.3121337890625	0.0	154.5798797607422	17315454	0.27055396875	388	6.0625e-06	21585590	0.33727484375	191	2.984375e-06	0.12296360376998108	0.43521427053747797	0.29116090166320013	0.9493951293318491	p0=-0.278464586;p1=-0.278049111;p10=-0.235709988;p50=0.771842808;p90=3.79549;p99=7.92918825;p100=177.172821	p0=0;p1=0;p10=0;p50=1.21239126;p90=3.63717365;p99=7.88054323;p100=154.57988	4bcada93e5602745a7862acb4abb4ae3bfe54c0cc0845ea842c727e720473e57	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/activation-audit-v3/selected_region_activation_per_image_hashes.tsv	6f0b90f582ed8b7113af483ff981dbd88ce3331ba5c1b8b1713b59f64b50cfe9	11000
C7	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0	1x80x20x20	16000000	-0.2784646153450012	153.16510009765625	-0.36928942799568176	93.79951477050781	0	0.0	105	6.5625e-06	3498674	0.218667125	97	6.0625e-06	0.1371072951168786	0.5382032283201864	0.3870986342140677	0.9418511950111573	p0=-0.278464586;p1=-0.278106217;p10=-0.242276336;p50=0.635871381;p90=3.53241758;p99=9.29491359;p100=119.648514	p0=-0.369289428;p1=-0.369289428;p10=-0.369289428;p50=0.738578856;p90=3.69289422;p99=9.23223591;p100=93.7995148	7db8e6f8695497336b8a93e1af43148ad34bea854e000c833e7a0f203602937a	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/activation-audit-v3/selected_region_activation_per_image_hashes.tsv	6f0b90f582ed8b7113af483ff981dbd88ce3331ba5c1b8b1713b59f64b50cfe9	11000
E0	/model.0/act/Mul_output_0	1x16x320x320	819200000	-0.2784646153450012	87.69042205810547	-0.24115771055221558	61.254058837890625	32977614	0.04025587646484375	1864	2.275390625e-06	100627868	0.1228367529296875	1907	2.327880859375e-06	-0.035104263338117524	0.11541607467039952	0.05659941050209102	0.9986920850476116	p0=-0.278464586;p1=-0.273646421;p10=-0.0597436056;p50=1.05819678;p90=15.426405;p99=34.1343828;p100=66.2870407	p0=-0.241157711;p1=-0.241157711;p10=0;p50=0.723473132;p90=15.4340935;p99=34.0032387;p100=61.2540588	99fe58230c8fd0889808bd965008180394dd88942e9154f24d5183d38273af63	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/activation-audit-v3/selected_region_activation_per_image_hashes.tsv	6f0b90f582ed8b7113af483ff981dbd88ce3331ba5c1b8b1713b59f64b50cfe9	11000
E1	/model.1/act/Mul_output_0	1x32x160x160	409600000	-0.2784646153450012	192.57937622070312	-0.38254737854003906	97.16703796386719	0	0.0	4252	1.0380859375e-05	92300338	0.2253426220703125	3639	8.88427734375e-06	-0.16847312796289513	0.3050142992542759	0.11800832445596292	0.9960547741538278	p0=-0.278464586;p1=-0.277781516;p10=-0.262609667;p50=-0;p90=7.76694822;p99=14.0829506;p100=77.6489105	p0=-0.382547379;p1=-0.382547379;p10=-0.382547379;p50=0;p90=8.03349495;p99=13.7717056;p100=76.5094757	a2e211f69369d0ed88a5cc0c5e11c96d9f3ca543c598edca8b83c966c6772dea	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/activation-audit-v3/selected_region_activation_per_image_hashes.tsv	6f0b90f582ed8b7113af483ff981dbd88ce3331ba5c1b8b1713b59f64b50cfe9	11000
E2	/model.2/cv1/act/Mul_output_0	1x32x160x160	409600000	-0.2784646153450012	101.01034545898438	-0.20057618618011475	50.94635009765625	31924639	0.07794101318359375	3083	7.52685546875e-06	67181087	0.16401632568359376	3200	7.8125e-06	-0.004234488379866696	0.24434387429782095	0.1378827940889453	0.992230732106918	p0=-0.278464556;p1=-0.275427414;p10=-0.169205752;p50=1.85451037;p90=4.86266184;p99=19.2117538;p100=50.3809967	p0=-0.200576186;p1=-0.200576186;p10=-0.200576186;p50=1.60460949;p90=5.01440477;p99=19.0547371;p100=49.94347	d2858c09921ce9c7105319ccb947712b8f07b0e85401013d6e9d4ff5ee9e2d97	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/activation-audit-v3/selected_region_activation_per_image_hashes.tsv	6f0b90f582ed8b7113af483ff981dbd88ce3331ba5c1b8b1713b59f64b50cfe9	11000
