region_interval	pair	point_recovery	ci_lower	ci_upper	probability_delta_gt_zero	quarter_residual_threshold	material	decision
input-to-C0	C0-D8	0.006932556424270819	0.0010344606533665675	0.01347997753616761	0.987	0.005719527144724387	1	material-distributed-region
E0-to-E1	E1-E0	-0.0018955460782069666	-0.008455051441008875	0.0029756562400710582	0.193	0.005719527144724387	0	not-individually-material
E1-to-E2	E2-E1	0.004730907443465937	-0.0012111051953689832	0.01104648835261901	0.946	0.005719527144724387	0	not-individually-material
E2-to-C0	C0-E2	0.0022080132265747676	-0.0033355714155769017	0.007853124595243984	0.776	0.005719527144724387	0	not-individually-material
C6-to-L1	L1-C6	0.001489530654097626	-0.0021753481287066874	0.004983552394035601	0.814	0.005719527144724387	0	not-individually-material
L1-to-L2	L2-L1	0.0019746265462126655	-0.0011473443781158054	0.005589997588314266	0.888	0.005719527144724387	0	not-individually-material
L2-to-L3	L3-L2	0.0027974597346216434	-0.001403885932970851	0.006379341756675835	0.906	0.005719527144724387	0	not-individually-material
L3-to-C7	C7-L3	0.002945393563371257	-0.00015833335041202378	0.0053256841095766835	0.968	0.005719527144724387	0	not-individually-material
C6-to-C7	C7-C6	0.009207010498303192	0.004455861346348828	0.01216870191367981	1.0	0.005719527144724387	1	material-distributed-region
