ref	surface	expected	observed	status
research	local	84caf893c73f2a33dfbbedacfa56c7ca40843557	84caf893c73f2a33dfbbedacfa56c7ca40843557	pass
research	github	84caf893c73f2a33dfbbedacfa56c7ca40843557	84caf893c73f2a33dfbbedacfa56c7ca40843557	pass
research	gitlab-rd	84caf893c73f2a33dfbbedacfa56c7ca40843557	84caf893c73f2a33dfbbedacfa56c7ca40843557	pass
protected	local	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass
protected	github	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass
protected	gitlab-rd	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass
