surface	local	github	gitlab_rd	expected	status
research-final-evidence-closure	a6ebce4417f9ace858fabbcb047f460635eea684	a6ebce4417f9ace858fabbcb047f460635eea684	a6ebce4417f9ace858fabbcb047f460635eea684	a6ebce4417f9ace858fabbcb047f460635eea684	pass
research-final-evidence-tree	ee25b5c49e635476fd8cdda2dcaee81acb2b097e	ee25b5c49e635476fd8cdda2dcaee81acb2b097e	ee25b5c49e635476fd8cdda2dcaee81acb2b097e	ee25b5c49e635476fd8cdda2dcaee81acb2b097e	pass
protected-main	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass
