topological_index	node_name	op_type	domain	producer_output_index	output_tensor	shape	dtype	consumer_count	consumer_nodes	architecture_region	residual_concat_attention_membership
32	/model.4/m.0/cv1/act/Mul	Mul	ai.onnx	0	/model.4/m.0/cv1/act/Mul_output_0	1x16x80x80	FLOAT	1	/model.4/m.0/cv2/conv/Conv	R1	none
33	/model.4/m.0/cv2/conv/Conv	Conv	ai.onnx	0	/model.4/m.0/cv2/conv/Conv_output_0	1x32x80x80	FLOAT	2	/model.4/m.0/cv2/act/Sigmoid;/model.4/m.0/cv2/act/Mul	R1	none
34	/model.4/m.0/cv2/act/Sigmoid	Sigmoid	ai.onnx	0	/model.4/m.0/cv2/act/Sigmoid_output_0	1x32x80x80	FLOAT	1	/model.4/m.0/cv2/act/Mul	R1	none
35	/model.4/m.0/cv2/act/Mul	Mul	ai.onnx	0	/model.4/m.0/cv2/act/Mul_output_0	1x32x80x80	FLOAT	1	/model.4/m.0/Add	R1	none
36	/model.4/m.0/Add	Add	ai.onnx	0	/model.4/m.0/Add_output_0	1x32x80x80	FLOAT	1	/model.4/Concat	R1	residual
37	/model.4/Concat	Concat	ai.onnx	0	/model.4/Concat_output_0	1x96x80x80	FLOAT	1	/model.4/cv2/conv/Conv	R1	concat
38	/model.4/cv2/conv/Conv	Conv	ai.onnx	0	/model.4/cv2/conv/Conv_output_0	1x128x80x80	FLOAT	2	/model.4/cv2/act/Sigmoid;/model.4/cv2/act/Mul	R1	none
39	/model.4/cv2/act/Sigmoid	Sigmoid	ai.onnx	0	/model.4/cv2/act/Sigmoid_output_0	1x128x80x80	FLOAT	1	/model.4/cv2/act/Mul	R1	none
40	/model.4/cv2/act/Mul	Mul	ai.onnx	0	/model.4/cv2/act/Mul_output_0	1x128x80x80	FLOAT	2	/model.5/conv/Conv;/model.15/Concat	R1	none
41	/model.5/conv/Conv	Conv	ai.onnx	0	/model.5/conv/Conv_output_0	1x128x40x40	FLOAT	2	/model.5/act/Sigmoid;/model.5/act/Mul	R1	none
42	/model.5/act/Sigmoid	Sigmoid	ai.onnx	0	/model.5/act/Sigmoid_output_0	1x128x40x40	FLOAT	1	/model.5/act/Mul	R1	none
43	/model.5/act/Mul	Mul	ai.onnx	0	/model.5/act/Mul_output_0	1x128x40x40	FLOAT	1	/model.6/cv1/conv/Conv	R1	none
