scope	frontier	region	role	path	sha256	bytes	nodes	inputs	outputs	initializers	functions	opsets	external_initializers	checker	shape_inference
coarse	C0	R0-stem-model0-model2	fp32-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C0/C0.fp32-prefix.onnx	88c02e209f8766defb5d0bb95f07ef7c89ce0dca8f00153a76f02b2dbea0cba7	51704	22	1	1	12	0	ai.onnx:18	0	pass	pass
coarse	C0	R0-stem-model0-model2	fp32-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C0/C0.fp32-suffix.onnx	33bb54b9dba320c297bf0bb65013c689b0700a8782ef1ab7464d7d802d2e0933	9689198	342	1	6	192	0	ai.onnx:18	0	pass	pass
coarse	C0	R0-stem-model0-model2	b2-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C0/C0.b2-prefix.onnx	9dd0e7aa1234b2dc239d179d349f5ebe0cc09f71f39a3c6296e8309e0f23a30d	29497	73	1	1	117	0	ai.onnx:24	0	pass	pass
coarse	C0	R0-stem-model0-model2	b2-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C0/C0.b2-suffix.onnx	a7f4ca5a9a6e83ca76a96ed0308d8c263bf2e81496762c575b56b37579595a0d	2733648	1088	1	6	1732	0	ai.onnx:24	0	pass	pass
coarse	C0	R0-stem-model0-model2	b2-d8-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C0/C0.b2-d8-suffix.onnx	0e093586a6aab3533b91fd6b3f88e9da15b404be255a40a10b31119b4f361b51	2731851	1082	1	6	1708	0	ai.onnx:24	0	pass	pass
coarse	C1	R1-early-mid-backbone-model3-model6	fp32-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C1/C1.fp32-prefix.onnx	3549f9fe87050faa98bea12843d310c50ef19ca485614e7c5caff57b1ec654f2	1252838	77	1	2	42	0	ai.onnx:18	0	pass	pass
coarse	C1	R1-early-mid-backbone-model3-model6	fp32-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C1/C1.fp32-suffix.onnx	91c978c7c6b27773d345b032c7aa6f5b018dcbb160b583a4238ae879c883e8e2	8488453	289	2	6	162	0	ai.onnx:18	0	pass	pass
coarse	C1	R1-early-mid-backbone-model3-model6	b2-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C1/C1.b2-prefix.onnx	fd71327204ca893f660d5ca5f4e7809229864c7278e22352b296d12cda2c5579	374640	251	1	2	399	0	ai.onnx:24	0	pass	pass
coarse	C1	R1-early-mid-backbone-model3-model6	b2-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C1/C1.b2-suffix.onnx	2813ab63fd234ebade758236310ecdadeb13328e85200c5ee89ca2612a45f6e4	2388676	910	2	6	1450	0	ai.onnx:24	0	pass	pass
coarse	C1	R1-early-mid-backbone-model3-model6	b2-d8-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C1/C1.b2-d8-suffix.onnx	2ba53c6edb3704f5ecc8ab7cec90a6c940b3180cb30bd525dd5a0c3e2277da62	2386879	904	2	6	1426	0	ai.onnx:24	0	pass	pass
