candidate	F0-F7	border	M12_tail	output_hash	status
P0	exact	exact	exact	0x8c18502666637c29	pass
P1	exact	exact	exact	0x8c18502666637c29	pass
P2	exact	exact	exact	0x8c18502666637c29	pass
P3	exact	exact	exact	0x8c18502666637c29	pass
P4	exact	exact	exact	0x8c18502666637c29	pass
