surface	controller_cpu	worker_cpus	mean_us	stddev_us	median_us	p90_us	p95_us	repeat_mean_cv_pct	exact
S0_condition_variable_shared_cpuset	inside-0-3	0-3	5603.697698	1122.155682	4905.277000	6702.956200	8768.343200	1.764271	yes
S1_controller_cpu4	4-no-IME	0-3	5145.442776	862.162938	4825.337500	6844.690200	7663.699800	2.029108	yes
