candidate	strategy	mean_us	median_us	p95_us
P0	four_u64	5827.159417	5789.601000	5957.284400
P1	vlse64	5260.101483	5153.821000	5365.417600
P2	vlseg2_even	5249.314750	5238.343000	5324.104600
P3	vlseg2_pair_vlse	4824.669833	4804.608000	4996.385950
P4	vlseg2_pair_shift	4857.434933	4808.149000	4931.775900
