surface	record	repeat	run	wall_us	process_cpu_us	mean_us	stddev_us	p95_us
S0	raw	0	0	4849.28	18784.7	NA	NA	NA
S0	raw	0	1	4873.11	18967.7	NA	NA	NA
S0	raw	0	2	8818.5	17755.4	NA	NA	NA
S0	raw	0	3	4843.94	18661.5	NA	NA	NA
S0	raw	0	4	4881.78	19012.2	NA	NA	NA
S0	raw	0	5	4867.11	18799	NA	NA	NA
S0	raw	0	6	8797.46	17737.3	NA	NA	NA
S0	raw	0	7	4842.15	18623.5	NA	NA	NA
S0	raw	0	8	4844.53	18831.3	NA	NA	NA
S0	raw	0	9	5499.03	18959.9	NA	NA	NA
S0	raw	0	10	4835.07	18627.5	NA	NA	NA
S0	raw	0	11	8767.91	17749.6	NA	NA	NA
S0	raw	0	12	4796.82	18806	NA	NA	NA
S0	raw	0	13	4898.32	19017.9	NA	NA	NA
S0	raw	0	14	6700.68	18529	NA	NA	NA
S0	raw	0	15	4939.69	18890.8	NA	NA	NA
S0	raw	0	16	4915.03	18841.5	NA	NA	NA
S0	raw	0	17	4850.65	18871.6	NA	NA	NA
S0	raw	0	18	4849.69	18914.3	NA	NA	NA
S0	raw	0	19	8768.16	17650.3	NA	NA	NA
S0	raw	0	20	4865.03	18895.5	NA	NA	NA
S0	raw	0	21	4811.61	18733.8	NA	NA	NA
S0	raw	0	22	8911.5	17833.5	NA	NA	NA
S0	raw	0	23	4882.23	18876	NA	NA	NA
S0	raw	0	24	4791.07	18544	NA	NA	NA
S0	raw	0	25	6664.55	18494.8	NA	NA	NA
S0	raw	0	26	4885.65	18932	NA	NA	NA
S0	raw	0	27	6214	18383.2	NA	NA	NA
S0	raw	0	28	4963.53	19278.4	NA	NA	NA
S0	raw	0	29	6209.05	18352.7	NA	NA	NA
S0	raw	0	30	4832.61	18856	NA	NA	NA
S0	raw	0	31	6449.09	18619.1	NA	NA	NA
S0	raw	0	32	4802.27	18706	NA	NA	NA
S0	raw	0	33	6341.63	18573.8	NA	NA	NA
S0	raw	0	34	4773.07	18608.3	NA	NA	NA
S0	raw	0	35	6361.17	18313.6	NA	NA	NA
S0	raw	0	36	4796.57	18711.4	NA	NA	NA
S0	raw	0	37	6342.63	18281.9	NA	NA	NA
S0	raw	0	38	4914.19	19091.4	NA	NA	NA
S0	raw	0	39	6305.84	18337.9	NA	NA	NA
S0	raw	0	40	4854.9	18946.1	NA	NA	NA
S0	raw	0	41	6392.63	18685.9	NA	NA	NA
