id	key	logical_name	h	w	c	scale	zero_point	first_op	last_op	arena_offset	bytes	physical_layout
0	model4.preact	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	80	80	128	0.066064663231372833	142	-1	0	0	819200	NCHWc8_SPATIAL_INNER_V1
1	model4.postact	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	80	80	128	0.030298452824354172	9	0	1	819200	819200	NCHWc8_SPATIAL_INNER_V1
2	model.5.output	/model.5/act/Mul_output_0_QuantizeLinear_Output	40	40	128	0.027727888897061348	10	1	2	0	204800	NCHWc8_SPATIAL_INNER_V1
3	model.6.split0_outer	/model.6/Split_output_0@outer_scale	40	40	64	0.038419272750616074	7	2	13	204800	102400	NCHWc8_SPATIAL_INNER_V1
4	model.6.split1	/model.6/Split_output_1_QuantizeLinear_Output	40	40	64	0.035990659147500992	8	2	13	307200	102400	NCHWc8_SPATIAL_INNER_V1
5	model.6.m0_cv1_act	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	40	40	32	0.016115730628371239	17	3	7	0	51200	NCHWc8_SPATIAL_INNER_V1
6	model.6.m0_cv2_inner	/model.6/m.0/cv2/act@inner_scale	40	40	32	0.04803607240319252	17	4	11	51200	51200	NCHWc8_SPATIAL_INNER_V1
7	model.6.r0_cv1_act	/model.6/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	40	40	32	0.029125306755304337	10	5	6	102400	51200	NCHWc8_SPATIAL_INNER_V1
8	model.6.r0_cv2_preact	/model.6/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	40	40	32	0.044328935444355011	146	6	7	153600	51200	NCHWc8_SPATIAL_INNER_V1
9	model.6.add0	/model.6/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	40	40	32	0.025938993319869041	21	7	10	102400	51200	NCHWc8_SPATIAL_INNER_V1
10	model.6.r1_cv1_act	/model.6/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	40	40	32	0.026028813794255257	11	8	9	0	51200	NCHWc8_SPATIAL_INNER_V1
11	model.6.r1_cv2_preact	/model.6/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	40	40	32	0.076533496379852295	132	9	10	153600	51200	NCHWc8_SPATIAL_INNER_V1
12	model.6.add1_inner	/model.6/m.0/m/m.1/Add@inner_scale	40	40	32	0.04803607240319252	17	10	11	0	51200	NCHWc8_SPATIAL_INNER_V1
13	model.6.inner_concat	/model.6/m.0/Concat_output_0_QuantizeLinear_Output	40	40	64	0.04803607240319252	17	11	12	409600	102400	NCHWc8_SPATIAL_INNER_V1
14	model.6.cv3_outer	/model.6/m.0/cv3/act@outer_scale	40	40	64	0.038419272750616074	7	12	13	512000	102400	NCHWc8_SPATIAL_INNER_V1
15	model.6.outer_concat	/model.6/Concat_output_0_QuantizeLinear_Output	40	40	192	0.038419272750616074	7	13	14	819200	307200	NCHWc8_SPATIAL_INNER_V1
16	model.6.output	/model.6/cv2/act/Mul_output_0_QuantizeLinear_Output	40	40	128	0.028037777170538902	10	14	15	614400	204800	NCHWc8_SPATIAL_INNER_V1
